frecuencia,estrategia,n_periodos,rotacion_media,sharpe_bruto,ic95_bajo_bruto,ic95_alto_bruto,sharpe_neto_rotacion,ic95_bajo_neto_rotacion,ic95_alto_neto_rotacion,sharpe_neto_ida_vuelta,ic95_bajo_neto_ida_vuelta,ic95_alto_neto_ida_vuelta,retorno_anual_neto_rotacion_%,sharpe_max_nulo_esperado
semanal,vix_log,522,0.2662835249042146,0.7340304776081127,0.18480692729672976,1.2801008723736835,0.6557696413493302,0.1112485036102798,1.1956679313368563,0.14780402838740503,-0.3887150448059915,0.6830572171839067,8.136730771049972,0.5851220266749724
semanal,vix_cambio_1,522,1.1130268199233717,0.06798563768350017,-0.47425551675646394,0.6069931206963038,-0.25733275920480375,-0.7992816304620529,0.26921900593732784,-0.5163425325711347,-1.0692020021359183,0.014847028411471059,-4.232129709985855,0.5851220266749724
semanal,spx_ret_1,522,1.1130268199233717,0.0021910526163627718,-0.5474434676850441,0.5312235489129253,-0.32325255906393374,-0.877888840576657,0.2068161324948822,-0.5821111771851256,-1.1446920501733977,-0.04790175423170001,-5.071328849987422,0.5851220266749724
semanal,eem_ret_1,522,1.0593869731800767,-0.1443383355954038,-0.7094774453888544,0.42889644133736293,-0.4545167689520237,-1.0219410139140177,0.11977455503692912,-0.7287575756666584,-1.2840931336188532,-0.16221482587862587,-6.718512432144175,0.5851220266749724
semanal,ech_ret_1,522,1.0172413793103448,0.11275127253122331,-0.47998060248052926,0.7247306313409574,-0.18411961241462207,-0.779602148425206,0.42552541507545805,-0.47162235041379436,-1.0503662964191016,0.11303731019215241,-3.3060545546929387,0.5851220266749724
semanal,wti_ret_1,522,0.9980842911877394,-0.23443514920782305,-0.805719854936379,0.39441486593086766,-0.5266413970970459,-1.0940890011324866,0.09034474503222273,-0.8190460508291043,-1.3817676324747363,-0.21585124566011996,-7.6161944384703695,0.5851220266749724
semanal,dxy_mom_4,522,0.4386973180076628,-0.29873548733087896,-0.848449393873851,0.276429443820249,-0.42714010182589573,-0.9800764741130971,0.143855764323511,-0.8835388677023731,-1.4418614124796583,-0.3168497139238289,-6.378963613692079,0.5851220266749724
semanal,ust2y_cambio_1,522,0.9712643678160919,0.15953226262340464,-0.48605544773938236,0.7886749485548756,-0.1343532589086149,-0.7799716299468828,0.49006028510022254,-0.3927503069123246,-1.0442090704725608,0.23125529059483152,-2.5336590959298633,0.5851220266749724
semanal,carry_cl_us_3m,522,0.009578544061302681,-0.11101763018367589,-0.6720814772732625,0.42490418688901055,-0.11383255663256797,-0.6744469173612637,0.42139416407972213,-0.6953890738581334,-1.263231539406455,-0.15111445498399265,-2.3838885895231643,0.5851220266749724
semanal,largo USD/CLP permanente,522,0.0019157088122605363,0.2526974538938196,-0.30908875750363196,0.8082885155996066,0.2521480749231817,-0.3091011765608089,0.807205393930051,-0.3319634004341847,-0.8957241795886732,0.20888262764081494,2.504566962644117,0.5851220266749724
semanal,corto USD/CLP permanente (largo CLP + carry),522,0.0019157088122605363,-0.2526974538938196,-0.8082885155996068,0.3090887575036319,-0.2532459912532055,-0.8093534556354741,0.3081486585087127,-0.837358308221824,-1.4002909102896044,-0.27991514891187963,-4.1819977469784835,0.5851220266749724
mensual,vix_log,120,0.4083333333333333,0.4849617374701096,-0.09366652426224503,1.1218639967193687,0.45833244071309326,-0.11823670350623998,1.0888809576227767,0.3492302827498908,-0.23164937153806267,0.9717343930477843,5.309491548944134,0.5862461814609419
mensual,vix_cambio_1,120,1.2583333333333333,-0.09555760444322489,-0.8336381554780107,0.6008132332447157,-0.1801959237796502,-0.9194676943701375,0.5114813907005901,-0.2300293300712418,-0.9755369404570147,0.46701079183746097,-3.2581405924447138,0.5862461814609419
mensual,spx_ret_1,120,1.0416666666666667,0.515640043579715,-0.062324690788670895,1.1590242247291782,0.4450602018498112,-0.13333306637002226,1.0811052043341411,0.3797384277260597,-0.20128075905142523,1.01252815248947,5.1260332188646895,0.5862461814609419
mensual,eem_ret_1,120,0.9083333333333333,0.07288075249759964,-0.5251255776535988,0.6857312419283368,0.011798487976761049,-0.5878219961028287,0.6264020141051119,-0.06156958623778684,-0.6696767891801217,0.5613258902861665,-0.7395788152064653,0.5862461814609419
mensual,ech_ret_1,120,1.175,0.4174819143264068,-0.2203852104414033,1.0369392635575463,0.3378863635836999,-0.3026861358881575,0.950559731230399,0.28208866092519047,-0.3672917481476353,0.8950293208926877,3.673114036211911,0.5862461814609419
mensual,wti_ret_1,120,1.0083333333333333,-0.17839004332720995,-0.784188750238666,0.38942707003666277,-0.24670482603999586,-0.8601587005292223,0.3286215844144054,-0.31298875395022396,-0.9281948032825714,0.26051752204451106,-4.101886781330599,0.5862461814609419
mensual,dxy_mom_3,120,0.5916666666666667,-0.20833639409727944,-0.8873721887913398,0.3680496337909866,-0.2484207988094545,-0.939051416097874,0.3309092298178189,-0.34299986709585034,-1.045404584138685,0.24066882701400252,-4.116726545421723,0.5862461814609419
mensual,ust2y_cambio_1,120,0.9916666666666667,-0.15978305879312316,-0.8335543838499117,0.4507165786795248,-0.22990421664291968,-0.9059577809005137,0.386629492860716,-0.28900442014816485,-0.9774154642364503,0.3345966654598054,-3.6756771371224795,0.5862461814609419
mensual,carry_cl_us_3m,120,0.041666666666666664,-0.024713245749703315,-0.6232254664966426,0.5622337919385135,-0.02752365480385463,-0.625633689667358,0.5585206234454851,-0.15913725888585525,-0.7593459690813554,0.41924787289711285,-1.2539147197102363,0.5862461814609419
mensual,largo USD/CLP permanente,120,0.008333333333333333,0.21320264540974831,-0.3609972362827135,0.7732110025433546,0.2126239551935474,-0.36193624949526804,0.7723842151542164,0.07852770449785502,-0.5044882846407891,0.63956866993983,1.9704345117944166,0.5862461814609419
mensual,corto USD/CLP permanente (largo CLP + carry),120,0.008333333333333333,-0.21320264540974831,-0.7732110025433547,0.3609972362827134,-0.2137807649290147,-0.7743482748016433,0.3604483616346834,-0.34787758632164145,-0.9078459561076239,0.2180600117776286,-3.6942874369582657,0.5862461814609419
