periodo,test_desde,test_hasta,estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
reciente_2025_2026 (ref. 22),2025-07-16,2026-09-10,Buy-and-hold,97.29217871786199,-2.707821282138012,-0.1282600527444416,-13.15019904850504,49.333333333333336,300
reciente_2025_2026 (ref. 22),2025-07-16,2026-09-10,Umbral cobre,183.5029334157047,83.50293341570469,4.443581408567591,-3.4454127758341335,60.0,290
reciente_2025_2026 (ref. 22),2025-07-16,2026-09-10,Kelly diario (con cobre),186.2091266902622,86.2091266902622,4.567360614297539,-3.516970320867574,60.66666666666667,300
2020_2021,2020-11-09,2021-12-31,Buy-and-hold,113.32592280687157,13.32592280687157,0.8523731672996685,-10.149986749673657,47.66666666666667,300
2020_2021,2020-11-09,2021-12-31,Umbral cobre,140.83167019810108,40.83167019810108,2.262500950799778,-8.552767877996036,56.44599303135889,287
2020_2021,2020-11-09,2021-12-31,Kelly diario (con cobre),137.18719724185726,37.18719724185726,2.0674615514061467,-5.4017359759055195,56.00000000000001,300
2017_2018,2017-11-06,2018-12-31,Buy-and-hold,109.25121108215619,9.251211082156185,0.6236164001571453,-11.25534721761986,53.333333333333336,300
2017_2018,2017-11-06,2018-12-31,Umbral cobre,187.00317382613716,87.00317382613716,4.392909412882892,-6.682864417928991,68.18181818181817,286
2017_2018,2017-11-06,2018-12-31,Kelly diario (con cobre),163.6449239988088,63.64492399880879,3.245968173749343,-5.176506700242678,60.66666666666667,300
2015_2016,2015-11-09,2016-12-30,Buy-and-hold,95.87774281279881,-4.122257187201184,-0.10183642494019766,-13.26229741664533,47.66666666666667,300
2015_2016,2015-11-09,2016-12-30,Umbral cobre,180.85139429092658,80.85139429092658,2.935917782043991,-10.312845273170069,61.267605633802816,284
2015_2016,2015-11-09,2016-12-30,Kelly diario (con cobre),292.1545805492008,192.15458054920077,5.420273102110431,-4.518104419443469,61.66666666666667,300
