estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Umbral cobre,133.12143416659285,33.121434166592856,0.8648443568468503,-25.86930020204893,48.275862068965516,290
PPO (RL diario),95.8267149201497,-4.173285079850297,0.056613510754717725,-25.21778784729989,47.333333333333336,300
Buy-and-hold,99.32776387774211,-0.6722361222578854,-0.10832007785336889,-5.2208581759299655,44.333333333333336,300
Umbral simple (forecast),56.87915875636752,-43.120841243632476,-2.4294951120882335,-44.6910527188624,37.62376237623762,101
