fecha,real,Naive,MediaMovil,GARCH,EGARCH
2024-10-20,0.01751424413167072,0.00963962976467422,0.01482765329929172,0.016127476117963925,0.017299881854279255
2024-10-27,0.028068892922494006,0.01751424413167072,0.014584388861021754,0.020299204888255942,0.0202256072961943
2024-11-03,0.019750415401263825,0.028068892922494006,0.01642412407335522,0.020127381210182427,0.020544454871774764
2024-11-10,0.018422479527125106,0.019750415401263825,0.016237862524882043,0.019529367856095835,0.020778556004204654
2024-11-17,0.03265427769557739,0.018422479527125106,0.01687785109693729,0.024469556205944282,0.025073067958901976
2024-11-24,0.017435954387941932,0.03265427769557739,0.01950385619894745,0.022241036763076052,0.022581478193511507
2024-12-01,0.014644160919698586,0.017435954387941932,0.019965993548337925,0.020234928902192736,0.020039382597301467
2024-12-08,0.026152791560686128,0.014644160919698586,0.019766256843805723,0.021921491631515574,0.02229807834518359
2024-12-15,0.017953188764459456,0.026152791560686128,0.021830402068307213,0.020728611797763884,0.02084678241873271
2024-12-22,0.02524380789831939,0.017953188764459456,0.0218852701474058,0.022099951947564013,0.022533262942236253
2024-12-29,0.023202810602594375,0.02524380789831939,0.021532134519383975,0.022057650688070415,0.021705017734900776
2025-01-05,0.020533231918946057,0.023202810602594375,0.021963683919550295,0.022358053039691617,0.022679050101274308
2025-01-12,0.010782209884095,0.020533231918946057,0.022227527968527915,0.019816840967268455,0.020353262355115632
2025-01-19,0.008317889072916161,0.010782209884095,0.019493519492092617,0.017342096101355106,0.01750170889889927
2025-01-26,0.02003512667251674,0.008317889072916161,0.018353761327714394,0.018263398326465393,0.01927631995228234
2025-02-02,0.03138363549098379,0.02003512667251674,0.019027632046816664,0.022772681613391348,0.02323967291062943
2025-02-09,0.01696409679033372,0.03138363549098379,0.01968148753810387,0.02136010199783521,0.0222169344509882
2025-02-16,0.021608405723993095,0.01696409679033372,0.019557851041338156,0.021522716648243952,0.02223587081427726
2025-02-23,0.03362789494689841,0.021608405723993095,0.019103425769547367,0.025245939216870874,0.02514554477045554
2025-03-02,0.02134016425207325,0.03362789494689841,0.02040656131258537,0.024174854995689964,0.024275286190097223
2025-03-09,0.02147594855777286,0.02134016425207325,0.020507427854226268,0.023609944150905404,0.02493913675453937
2025-03-16,0.033468510753488924,0.02147594855777286,0.021844145188436005,0.026590886587106795,0.026056548009998307
2025-03-23,0.025644645016204524,0.033468510753488924,0.0249879728985076,0.026317822475269502,0.025461771221713586
2025-03-30,0.02298242131031324,0.025644645016204524,0.02568916269146857,0.02528528552478374,0.026035561095890628
2025-04-06,0.03425733440647776,0.02298242131031324,0.024639010918884752,0.02770929095968373,0.028822775680512155
2025-04-13,0.04404166393030347,0.03425733440647776,0.02680066562090276,0.03373362256908133,0.033399217908471564
2025-04-20,0.019069075076786967,0.04404166393030347,0.02960482289669155,0.030863340727945075,0.030241136820367956
2025-04-27,0.017410410794101484,0.019069075076786967,0.027784970412927625,0.02874479090848178,0.028708763886075798
2025-05-04,0.01141246331529269,0.017410410794101484,0.027293751230681153,0.02454348762542286,0.024705693339392917
2025-05-11,0.013277510045550736,0.01141246331529269,0.026035815575371133,0.021911696594649067,0.02216985116021013
2025-05-18,0.015661665068227575,0.013277510045550736,0.02351194048687886,0.020361171099509,0.02074770471282969
2025-05-25,0.004082652150192531,0.015661665068227575,0.02226406799338174,0.01697769516767726,0.01674201799136098
2025-06-01,0.0034131011674556344,0.004082652150192531,0.019901596848366652,0.01429207245432218,0.0136142364734673
2025-06-08,0.02682079456407359,0.0034131011674556344,0.016046067693488885,0.01903420975613608,0.017695251009287455
2025-06-15,0.008202046052123407,0.02682079456407359,0.01389345902271015,0.016794798074125122,0.01591181718577845
2025-06-22,0.030943397473651435,0.008202046052123407,0.012535080394627206,0.021716045460982315,0.02027634620696667
2025-06-29,0.017363755927289726,0.030943397473651435,0.014226703729570949,0.0206721412967715,0.02013134336221146
2025-07-06,0.01864254030424371,0.017363755927289726,0.014970615306070578,0.020172792458415675,0.019873247772883226
2025-07-13,0.013712989767290627,0.01864254030424371,0.0156412440884072,0.018317668813658077,0.018359476442267934
