escala,horizonte,modelo,RMSE,MAE,MAPE
diaria,1,Naive,3.45001220703125,3.45001220703125,0.0037391616406005
diaria,1,AutoARIMA,5.6466398589642495,5.6466398589642495,0.0061198911458617
diaria,1,NBEATS,4.76959228515625,4.76959228515625,0.0051693372207825
diaria,1,NHITS,4.1690673828125,4.1690673828125,0.0045184816456941
diaria,2,Naive,0.7029602943999774,0.5400390624999432,0.0005913862137679
diaria,2,AutoARIMA,1.2265662030322002,1.1410318417746907,0.0012492516104485
diaria,2,NBEATS,2.1376952297232594,1.9846191406249432,0.0021728542001529
diaria,2,NHITS,0.96462990730833,0.7767028808593182,0.0008505115987286
diaria,3,Naive,10.728815976294138,10.689982096354166,0.0115674765047009
diaria,3,AutoARIMA,12.662802547229637,12.629916599776644,0.013666475024966
diaria,3,NBEATS,11.222231871842862,11.170654296875,0.0120877285565271
diaria,3,NHITS,10.620076717898844,10.57598876953125,0.0114441759033067
semanal,1,Naive,4.90997314453125,4.90997314453125,0.005309571551336
semanal,1,AutoARIMA,4.786648044006938,4.786648044006938,0.0051762096314162
semanal,1,NBEATS,3.5279541015625,3.5279541015625,0.003815076820316
semanal,1,NHITS,2.38494873046875,2.38494873046875,0.0025790479006583
semanal,2,Naive,11.739759188389568,11.3499755859375,0.0126356028364971
semanal,2,AutoARIMA,12.36261052703695,11.8555986331898,0.0131971185723122
semanal,2,NBEATS,10.792153416110056,10.517913818359377,0.0117106429351153
semanal,2,NHITS,5.692124856976673,5.491851806640625,0.0061249024254598
semanal,3,Naive,5.617190584518795,3.943359375,0.0045949415112872
semanal,3,AutoARIMA,5.334326359716783,3.9491088157121794,0.0045990051749997
semanal,3,NBEATS,5.618410249962581,3.8594156901041674,0.0044979093227859
semanal,3,NHITS,4.69827850971072,3.945576985677084,0.0045896867975724
mensual,1,Naive,15.140014648437614,15.140014648437614,0.01633438478409274
mensual,1,AutoARIMA,19.671812387080877,19.671812387080877,0.021223688377621255
mensual,1,NBEATS,23.624816894531364,23.624816894531364,0.025488538721383146
mensual,1,NHITS,12.320861816406364,12.320861816406364,0.013292833755718055
mensual,2,Naive,29.84800205721849,25.344970703125114,0.02645493908160263
mensual,2,AutoARIMA,32.01359885022788,26.881464588536687,0.02806991081702901
mensual,2,NBEATS,3.2542746851632414,3.12188720703125,0.003210467340629519
mensual,2,NHITS,37.53396374337744,36.934539794921875,0.03805300530711805
mensual,3,Naive,41.62917100286695,33.57334391276046,0.03622175664993039
mensual,3,AutoARIMA,41.06889783490033,35.16582585054281,0.03780200739772245
mensual,3,NBEATS,109.57494714851994,102.45668538411458,0.10930091245023262
mensual,3,NHITS,95.8115720288584,89.10221354166667,0.09504325296628165
