ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,nhits_h4,nhits_h5,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-02-10,812.7999877929688,804.75,819.166,815.30273,814.4064,808.7683,811.8525,0.009966377496014372,3.009301206239104,55.903849243929045,794.6881713867188,871.22998046875,0.012313761988536048,0.042762788102695994,4
2022-02-11,804.75,793.6327514648438,815.30273,814.4064,808.7683,811.8525,806.79364,0.009991164452417154,1.9036531770507192,53.36313504037198,794.6881713867188,871.22998046875,-0.03329086198279706,0.004795385437253877,5
2022-02-14,793.6327514648438,812.8800048828125,810.6743,811.44653,807.0225,806.77924,809.00287,0.010335939171491377,0.4499862019986649,43.12734556308419,793.6327514648438,871.22998046875,0.000554797715444434,0.010310434177770956,1
2022-02-15,812.8800048828125,800.4500122070312,811.44653,807.0225,806.77924,809.00287,800.3961,0.011759570451866526,0.7911572868877865,56.20846046851254,793.6327514648438,871.22998046875,0.00531026602842403,0.016145314351660226,2
2022-02-16,800.4500122070312,797.5499877929688,807.0225,806.77924,809.00287,800.3961,796.556,0.012071734715056136,0.2160422945563072,49.12742862279363,793.6327514648438,871.22998046875,0.0019841940669003784,-0.013042047904901643,3
2022-02-17,797.5499877929688,794.75,806.77924,809.00287,800.3961,796.556,803.13885,0.011705927701363321,-0.29554667470606155,46.95220098292261,793.6327514648438,871.22998046875,-0.0034195760465945794,-0.02844867435168828,4
2022-02-18,794.75,800.75,809.00287,800.3961,796.556,803.13885,804.6036,0.011353264519735937,-0.7334427101739278,50.02788680764049,793.6327514648438,871.22998046875,-0.001216278926307887,0.003218571351454909,5
2022-02-21,800.75,798.0399780273438,798.85455,799.97217,802.22046,810.95056,805.9954,0.011138532622965557,-0.5389278817725618,50.233581060852806,793.6327514648438,871.22998046875,0.0,0.002662142347020437,1
2022-02-22,798.0399780273438,792.219970703125,799.97217,802.22046,810.95056,805.9954,813.6868,0.010806616449313482,-0.5128518928969212,48.097438536655574,793.6327514648438,871.22998046875,-0.0021041150368183927,-0.004744485146335293,2
2022-02-23,792.219970703125,790.6799926757812,802.22046,810.95056,805.9954,813.6868,821.8954,0.010627611733351163,-0.7910201582993768,41.722456038049536,792.219970703125,871.22998046875,-0.006339359251972713,-0.012994166529529824,3
2022-02-24,790.6799926757812,816.25,810.95056,805.9954,813.6868,821.8954,832.0261,0.010289318638869761,-0.9703564222235403,36.73714575895713,790.6799926757812,871.22998046875,-0.006155277033755284,-0.015690629322818537,4
2022-02-25,816.25,791.4636840820312,805.9954,813.6868,821.8954,832.0261,832.39954,0.012909923288712728,0.6539619708158897,45.07067065426688,790.6799926757812,871.22998046875,0.004033195170668777,-0.010509936719237804,5
2022-02-28,791.4636840820312,798.7000122070312,828.147,826.3487,823.9424,832.6759,837.4607,0.014890781740982871,0.10851328664257753,38.32818286653961,790.6799926757812,871.22998046875,-0.006168393316155891,-0.01659471466683435,1
2022-03-01,798.7000122070312,806.1900024414062,826.3487,823.9424,832.6759,837.4607,844.51953,0.014564932071332956,0.2750529635382595,40.17905797291235,790.6799926757812,871.22998046875,0.031449872730158694,0.01696229159256836,2
2022-03-02,806.1900024414062,804.3599853515625,823.9424,832.6759,837.4607,844.51953,851.47906,0.014266878773059356,0.8946840884667395,47.59981028621074,790.6799926757812,871.22998046875,0.014932059853336425,0.03882623688511656,3
2022-03-03,804.3599853515625,795.6300048828125,832.6759,837.4607,844.51953,851.47906,845.15045,0.013793507217151047,1.1690018075127062,49.85167970987716,790.6799926757812,871.22998046875,0.024611441643241864,0.07128426464141129,4
2022-03-04,795.6300048828125,792.3056640625,837.4607,844.51953,851.47906,845.15045,861.21783,0.013636217445871759,0.7694996506094922,50.77359008874194,790.6799926757812,871.22998046875,0.03247536354111995,0.10219136097339607,5
2022-03-07,792.3056640625,812.0599975585938,802.25165,802.9932,800.8294,807.9318,811.0782,0.013223120974210953,0.3118242611785398,40.909743016663356,790.6799926757812,871.22998046875,-0.0429036430863589,0.06243675430156579,1
2022-03-08,812.0599975585938,809.4000244140625,802.9932,800.8294,807.9318,811.0782,808.88855,0.014279728409447941,1.3137954851036486,54.817767826840175,790.6799926757812,871.22998046875,-0.004563576043598594,0.024855519334022833,2
2022-03-09,809.4000244140625,804.0,800.8294,807.9318,811.0782,808.88855,809.4803,0.013822903696897353,1.744696849427653,54.927197635566394,790.6799926757812,871.22998046875,-0.02946942805330367,-0.01965413096874814,3
2022-03-10,804.0,801.5,807.9318,811.0782,808.88855,809.4803,811.7216,0.013474518218859225,1.6162339398690042,53.76471336389778,790.6799926757812,871.22998046875,0.017268899777085688,-0.026825999461753142,4
2022-03-11,801.5,805.4600219726562,811.0782,808.88855,809.4803,811.7216,805.62823,0.013048084355696226,1.3252956371614792,50.31419845641826,790.6799926757812,871.22998046875,-0.005939792974359469,-0.0635016700426106,5
2022-03-14,805.4600219726562,813.0,803.8733,803.7237,801.12396,801.0334,796.7324,0.012669591140426498,1.3570152659493755,53.07626983114803,790.6799926757812,871.22998046875,-0.022677285829660453,-0.044366858828737706,1
2022-03-15,813.0,809.3800048828125,803.7237,801.12396,801.0334,796.7324,798.431,0.01247273700471846,1.8146793596133683,58.49403626144647,790.6799926757812,871.22998046875,-0.002440578011937699,-0.04233589644929026,2
2022-03-16,809.3800048828125,797.6099853515625,801.12396,801.0334,796.7324,798.431,796.84814,0.012115407252352512,1.7989862482179007,57.51600316162715,790.6799926757812,864.9199829101562,0.0190334568099788,0.005258477284727984,3
2022-03-17,797.6099853515625,799.0599975585938,801.0334,796.7324,798.431,796.84814,797.4381,0.01232887989054115,0.9632088982555276,41.573330713893114,790.6799926757812,864.9199829101562,0.022094980037891683,0.01012166099736859,4
2022-03-18,799.0599975585938,803.010009765625,796.7324,798.431,796.84814,797.4381,798.8793,0.011923771069420204,0.4987076581892418,54.35243923762895,790.6799926757812,864.9199829101562,0.008491811707014074,0.024805034970467293,5
2022-03-21,803.010009765625,793.260009765625,802.80005,795.5985,793.0347,790.17737,790.6407,0.011591096690098016,0.4496725174613023,52.5661254721431,790.6799926757812,856.7999877929688,-0.006149358180897094,0.041883687022357084,1
2022-03-22,793.260009765625,792.280029296875,795.5985,793.0347,790.17737,790.6407,802.6608,0.011659000224488715,-0.21171368596650897,42.50337064337708,790.6799926757812,855.0,-0.002662225985065833,0.04165278120574175,2
2022-03-23,792.280029296875,792.1099853515625,793.0347,790.17737,790.6407,802.6608,788.28094,0.011275464233633568,-0.6620740181752758,42.926487911434386,790.6799926757812,851.5,0.015553332635634952,0.038034000735626315,3
2022-03-24,792.1099853515625,788.6099853515625,790.17737,790.6407,802.6608,788.28094,792.04987,0.0108990906929157,-0.9033615323770166,47.70917774766,790.6799926757812,851.5,-0.007058917381914071,0.008208146418343323,4
2022-03-25,788.6099853515625,777.510009765625,790.6407,802.6608,788.28094,792.04987,800.61835,0.010602800668772196,-1.2114086368247263,47.600345581940964,788.6099853515625,851.5,-0.009134470614113594,-0.009407113174252548,5
2022-03-28,777.510009765625,778.0800170898438,790.91644,792.3599,788.94336,791.7534,790.2981,0.01091151609886097,-2.0274026624912476,24.725699135685502,777.510009765625,851.2999877929688,0.005957539850870366,0.0026587868264541935,1
2022-03-29,778.0800170898438,779.7100219726562,792.3599,788.94336,791.7534,790.2981,792.55164,0.010547917705081821,-2.3696203157314066,26.365851299505806,777.510009765625,846.9299926757812,0.000530105600709956,0.0058647206206186315,2
2022-03-30,779.7100219726562,788.6300048828125,788.94336,791.7534,790.2981,792.55164,796.9458,0.010207202602561926,-2.323897090571367,30.56492390878627,777.510009765625,838.02001953125,0.0048646967103835375,-0.004829346857720597,3
2022-03-31,788.6300048828125,786.280029296875,791.7534,790.2981,792.55164,796.9458,798.122,0.010290919937865994,-1.5668909269780915,40.66174086953133,777.510009765625,837.0999755859375,0.0007381987602404795,0.0029604437923042982,4
2022-04-01,786.280029296875,782.5,790.2981,792.55164,796.9458,798.122,796.8258,0.009980902336505885,-1.119401072575057,35.75037432786496,777.510009765625,835.0999755859375,-0.012837722433705689,-0.0007469024409056691,5
2022-04-04,782.5,778.530029296875,787.4626,790.3796,791.26434,795.04724,799.70215,0.00973384303196709,-0.9780795475444943,25.99938523015446,777.510009765625,835.0999755859375,0.01987597695162795,0.013258378662701454,1
2022-04-05,778.530029296875,786.9099731445312,790.3796,791.26434,795.04724,799.70215,797.2048,0.00950583670968707,-1.0459590834384,25.856966260147843,777.510009765625,828.0,0.0030310269629588347,0.015795629597449748,2
2022-04-06,786.9099731445312,799.4099731445312,791.26434,795.04724,799.70215,797.2048,797.8764,0.00959434825173939,-0.4508767866790171,41.15700578371742,777.510009765625,828.0,-0.012074247417858537,-0.001265965165886409,3
