ds,retorno_neto,posicion,valor_portafolio
2025-08-24,-0.003189514309389746,1.0,0.9968104856906103
2025-08-31,0.004050322250512289,1.0,1.000847889380347
2025-09-07,-0.019964150466038916,1.0,0.9808668115231403
2025-09-14,0.002856091969699174,1.0,0.9836682573468759
2025-09-21,0.0042615200454659795,1.0,0.9878601793436481
2025-09-28,0.0024396753395265884,1.0,0.9902702374620932
2025-10-05,-0.01145116235134952,1.0,0.9789304922012053
2025-10-12,0.004745016756316024,1.0,0.9835755337899688
2025-10-19,-0.008408608132260376,1.0,0.9753050325578501
2025-10-26,-0.005195664875780431,1.0,0.9702376744570174
2025-11-02,-2.125170467179852e-05,1.0,0.9702170552524984
2025-11-09,-0.013397022417396617,1.0,0.9572190356135402
2025-11-16,0.0008285303398012028,1.0,0.9580121206263813
2025-11-23,-0.003515582911810288,1.0,0.9546441495858
2025-11-30,-0.010411298510299035,1.0,0.9447050643733518
2025-12-07,-0.0037940108182808823,1.0,0.9411208431390345
2025-12-14,-0.0034035407404239522,1.0,0.9379177000077488
2025-12-21,-0.007456337249930059,1.0,0.9309242693238122
2025-12-28,-0.0046578094276884035,1.0,0.9265882014856918
2026-01-04,-0.00350142764080305,1.0,0.9233438199453677
2026-01-11,-0.015594128903876691,1.0,0.9089450773945418
2026-01-18,-0.01275907314480819,1.0,0.8973477806674515
2026-01-25,-0.013876644884325681,1.0,0.8848956041773914
2026-02-01,0.008205746366793339,1.0,0.8921568330663614
2026-02-08,-0.011082804836673657,1.0,0.8822692330017821
2026-02-15,0.009817810116042398,1.0,0.8909311848026199
2026-02-22,0.0001733640557677664,1.0,0.8910856402462273
2026-03-01,0.04681161020377857,1.0,0.9327987938956182
2026-03-08,-0.012074706555522435,-1.0,0.9215355221839833
2026-03-15,-0.004505538855371877,1.0,0.917383508082178
2026-03-22,0.01704126944885686,1.0,0.9330168876313439
2026-03-29,-0.01243478546244668,1.0,0.9214150228008084
2026-04-05,-0.027146759282937808,1.0,0.8964015909771522
2026-04-12,-0.006168547172696731,1.0,0.8908720954775292
2026-04-19,0.009423075466018836,1.0,0.8992668504637842
2026-04-26,0.006707883100070447,1.0,0.9052990273724637
2026-05-03,-0.011105312031884392,1.0,0.8952453991913311
2026-05-10,0.004301118752853087,1.0,0.8990959559661983
2026-05-17,0.004517543461529458,1.0,0.9031576610233609
2026-05-24,-0.008204083010908182,1.0,0.8957480806003877
2026-05-31,0.005230293200577737,1.0,0.9004331056957824
2026-06-07,0.011600788932698796,1.0,0.9108788401029736
2026-06-14,-0.006445803326167362,1.0,0.9050074942457024
2026-06-21,0.02182899483874651,1.0,0.9247628981666187
2026-06-28,0.0053379135854529,1.0,0.9296992026040652
2026-07-05,0.0024007091309186097,1.0,0.9319311399687645
2026-07-12,-0.003053008784371657,1.0,0.9290859460120104
2026-07-19,0.019218085844834514,1.0,0.9469411994796986
2026-07-26,-0.01787897375868714,1.0,0.9300108626231812
2026-08-02,-0.010453470664031357,1.0,0.9202890213535193
2026-08-09,-0.0015075759525565073,1.0,0.918901615755525
