ds,estrategia,precio_entrada,precio_salida,posicion,notional,razon_cierre,pnl,capital
2025-06-25,PPO,935.4400024414062,919.1043090820312,-1.0,309.46205965515526,cierre_periodo,5.249439520601583,105.24943952060158
2025-06-30,PPO,919.1043090820312,925.760009765625,1.0,330.9839901734428,cierre_periodo,2.231331029120595,107.48077054972218
2025-07-03,PPO,925.760009765625,940.9400024414062,1.0,349.37980439565,cierre_periodo,5.728896059287075,113.20966660900926
2025-07-08,PPO,940.9400024414062,949.3114266975475,-1.0,381.73971614445264,stop_loss,-3.587159856342498,109.62250675266677
2025-07-11,PPO,949.5599975585938,945.4687561411932,-1.0,402.4374663055541,trailing_stop,1.733928171254295,111.35643492392106
2025-07-16,PPO,966.8400268554688,963.3900146484376,-1.0,292.5877214428046,cierre_periodo,1.044051945064951,112.40048686898601
2025-07-21,PPO,963.3900146484376,948.0599975585938,-1.0,327.51467938038337,cierre_periodo,5.211602316542812,117.61208918552882
2025-07-24,PPO,948.0599975585938,945.9778071725696,-1.0,364.2592006929486,trailing_stop,0.8000095011464078,118.41209868667522
2025-07-29,PPO,958.5599975585938,965.30707,1.0,317.085477848673,take_profit,2.0733454001716454,120.48544408684687
2025-08-01,PPO,972.2000122070312,960.7263681647058,1.0,306.27396957731025,stop_loss,-3.6145633226054046,116.87088076424146
2025-08-06,PPO,966.3499755859376,967.780029296875,1.0,259.1985108919381,cierre_periodo,0.38357510398415395,117.25445586822562
2025-08-11,PPO,967.780029296875,956.7046217705666,1.0,284.304409498492,trailing_stop,-3.253618695779407,114.00083717244621
2025-08-14,PPO,952.6199951171876,963.7264084828375,-1.0,293.3426121697822,stop_loss,-3.5666964212582797,110.43414075118793
2025-08-19,PPO,963.6900024414062,970.4299926757812,1.0,301.35279621690415,cierre_periodo,1.9569670333455627,112.39110778453349
2025-08-22,PPO,970.4299926757812,966.0499877929688,-1.0,337.7171743872016,cierre_periodo,1.3554171297460162,113.7465249142795
2025-08-27,PPO,966.0499877929688,965.9600219726562,1.0,359.06046489117045,cierre_periodo,-0.21296863591735726,113.53355627836214
2025-09-01,PPO,965.9600219726562,969.50916,1.0,397.008747804887,take_profit,1.4586927118835937,114.99224899024574
2025-09-04,PPO,967.9099731445312,971.0348,1.0,429.8075960438046,take_profit,1.3876025209646234,116.37985151121036
2025-09-09,PPO,970.0399780273438,962.7973458885216,1.0,467.61911873568965,stop_loss,-3.4913955453363115,112.88845596587404
2025-09-12,PPO,952.3400268554688,946.772371236858,-1.0,456.01285239600645,trailing_stop,2.437976781695293,115.32643274756934
2025-09-17,PPO,947.260009765625,954.9400024414062,1.0,422.9282124200743,cierre_periodo,3.2174630524178056,118.54389579998715
2025-09-22,PPO,954.9400024414062,952.010009765625,-1.0,473.94540241244164,cierre_periodo,1.2172092937237247,119.76110509371088
2025-09-25,PPO,952.010009765625,958.847955535373,-1.0,500.21062466253835,stop_loss,-3.5928331528113593,116.16827194089952
2025-09-30,PPO,964.9400024414062,961.469970703125,-1.0,505.65737077943226,cierre_periodo,1.8184002330310964,117.98667217393061
2025-10-03,PPO,961.469970703125,961.31696,-1.0,558.1099336233372,take_profit,0.08881899171776116,118.07549116564837
2025-10-08,PPO,959.1099853515624,958.81494,-1.0,449.75745008631236,take_profit,0.13835623338848588,118.21384739903687
2025-10-13,PPO,947.030029296875,954.1687304678696,-1.0,470.4724039457405,stop_loss,-3.546415421971036,114.66743197706583
2025-10-16,PPO,959.1199951171876,953.6025979591315,1.0,468.91700977394174,trailing_stop,-2.931932637698503,111.73549933936732
2025-10-21,PPO,950.5499877929688,946.9400024414062,1.0,448.8616159602216,cierre_periodo,-1.704680321186848,110.03081901818048
2025-10-24,PPO,946.9400024414062,937.2890731224335,-1.0,485.0676926023138,trailing_stop,4.701131015414102,114.73195003359459
2025-10-29,PPO,942.0999755859376,928.7900390625,-1.0,435.06106741340454,cierre_periodo,6.1465187784236495,120.87846881201824
2025-11-03,PPO,928.7900390625,942.6566,1.0,446.0509902066227,take_profit,6.4363840342835,127.31485284630175
2025-11-06,PPO,943.4199829101562,935.7840236815111,1.0,471.8911116466725,stop_loss,-3.8194455853890474,123.4954072609127
2025-11-11,PPO,937.4400024414062,929.6444069973577,1.0,445.51902051005817,stop_loss,-3.7048622178273933,119.7905450430853
2025-11-14,PPO,929.3800048828124,922.2105344725,1.0,465.8542303637434,stop_loss,-3.593716351292573,116.19682869179273
2025-11-19,PPO,931.9000244140624,931.15405,-1.0,430.6113629220972,take_profit,0.12939337501380893,116.32622206680654
2025-11-24,PPO,938.5700073242188,933.4013508825499,1.0,453.4860414897255,trailing_stop,-2.724067174789674,113.60215489201687
2025-11-27,PPO,925.7000122070312,929.2999877929688,-1.0,445.53144148157406,cierre_periodo,-1.9554029584537087,111.64675193356317
2025-12-02,PPO,929.2999877929688,917.22998046875,-1.0,483.44285603300307,cierre_periodo,6.279090594865633,117.9258425284288
2025-12-05,PPO,917.22998046875,923.3251678371688,-1.0,532.3796219926706,stop_loss,-3.5377752758528156,114.388067252576
2025-12-10,PPO,925.6799926757812,925.6368,-1.0,555.7635990279243,take_profit,-0.2519496014176759,114.13611765115832
2025-12-15,PPO,909.75,907.9870824803364,1.0,535.5237597936442,trailing_stop,-1.305502158364888,112.83061549279343
2026-01-08,PPO,894.8400268554688,895.78326,1.0,487.7852818852449,take_profit,0.5141648020658051,113.34478029485923
2026-01-13,PPO,883.6699829101562,882.510009765625,1.0,475.4640391227704,cierre_periodo,-0.624130645194546,112.7206496496647
2026-01-16,PPO,882.510009765625,884.6099853515625,1.0,511.20104607104645,cierre_periodo,1.2164278074760975,113.93707745714079
2026-01-21,PPO,884.6099853515625,879.177918387093,1.0,556.6382580311476,stop_loss,-3.4181123237142543,110.51896513342653
2026-01-26,PPO,870.0399780273438,862.4400024414062,-1.0,519.0510812270363,cierre_periodo,4.274490877946918,114.79345601137345
2026-01-29,PPO,862.4400024414062,864.5221489729701,-1.0,551.7868813299194,trailing_stop,-1.3321519617262396,113.46130404964721
2026-02-03,PPO,865.1099853515625,864.2842,-1.0,559.0398295348492,take_profit,0.5336279894888059,113.99493203913602
2026-02-06,PPO,866.2100219726562,859.6079,-1.0,546.6861994466245,take_profit,4.166759651770049,118.16169169090607
2026-02-11,PPO,855.1599731445312,859.6669894519439,-1.0,547.8220870903377,trailing_stop,-2.8872294747355833,115.27446221617049
2026-02-16,PPO,862.4000244140625,861.5900268554688,-1.0,560.062545842361,cierre_periodo,0.5260311710917843,115.80049338726228
2026-02-19,PPO,861.5900268554688,866.4000244140625,1.0,594.8261578782873,cierre_periodo,3.0233221640445964,118.82381555130688
2026-02-24,PPO,866.4000244140625,865.3654,-1.0,659.361149885433,take_profit,0.4577053024031856,119.28152085371006
2026-02-27,PPO,865.1699829101562,870.3453648691768,-1.0,598.2097099826372,stop_loss,-3.5784456256113177,115.70307522809874
2026-03-04,PPO,899.9199829101562,901.8057420268109,-1.0,418.06967435320456,trailing_stop,-0.8760542212419123,114.82702100685682
2026-03-09,PPO,910.8900146484376,903.7261,-1.0,408.76072903581644,take_profit,3.214797535766089,118.04181854262292
2026-03-12,PPO,896.9400024414062,906.8869597530507,-1.0,319.3230624038035,stop_loss,-3.541254556278663,114.50056398634426
2026-03-17,PPO,909.4199829101562,912.489990234375,-1.0,300.6627575523273,cierre_periodo,-1.0149731533847768,113.48559083295949
2026-03-20,PPO,912.489990234375,917.7696425928514,1.0,322.8829542453967,trailing_stop,1.7067540857192216,115.19234491867871
2026-03-25,PPO,917.3599853515624,927.2713107480329,-1.0,299.3835957277769,trailing_stop,-3.384287030929572,111.80805788774914
2026-03-30,PPO,922.719970703125,912.4600219726562,-1.0,306.78138278721093,cierre_periodo,3.4111771271847604,115.2192350149339
2026-04-02,PPO,912.4600219726562,915.969970703125,-1.0,318.1723336526583,cierre_periodo,-1.2239095978803265,113.99532541705358
2026-04-07,PPO,915.969970703125,891.6199951171875,-1.0,345.95809527295324,cierre_periodo,9.196885752910973,123.19221116996455
