estrategia,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Buy-and-hold,-4.9627457424043175,-0.5400501430736394,-11.847819997100695,44.230769230769226,1
PPO (RL),-8.109838424447503,-0.9431951884651395,-11.847819997100684,41.17647058823529,3
Umbral simple (Opcion A),-8.477260279310839,-1.0684009106441323,-12.366523732175983,36.53846153846153,27
