ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,cierre_periodo,3,1.5382490104232962,101.5382490104233
2025-06-25,-1.0,cierre_periodo,3,5.487300150442725,107.02554916086602
2025-06-30,-1.0,stop_loss,1,-3.2107664748259435,103.81478268604008
2025-07-03,1.0,cierre_periodo,3,5.364761549834056,109.17954423587413
2025-07-08,-1.0,stop_loss,3,-3.4594614572032536,105.72008277867089
2025-07-11,-1.0,trailing_stop,2,1.6722024995365665,107.39228527820745
2025-07-16,1.0,cierre_periodo,3,-1.147970985619845,106.2443142925876
2025-07-21,-1.0,cierre_periodo,3,4.771374601304941,111.01568889389254
2025-07-24,-1.0,trailing_stop,3,0.7551401093753851,111.77082900326793
2025-07-29,-1.0,stop_loss,2,-3.3531248700980414,108.41770413316989
2025-08-01,1.0,stop_loss,1,-3.3903300127695335,105.02737412040035
2025-08-06,1.0,cierre_periodo,3,0.3447042213250892,105.37207834172544
2025-08-11,1.0,trailing_stop,2,-2.9239022224542635,102.44817611927118
2025-08-14,-1.0,stop_loss,1,-3.2052531559597996,99.24292296331139
2025-08-19,1.0,cierre_periodo,3,1.7586511491009593,101.00157411241234
2025-08-22,-1.0,take_profit,1,2.9197137805296025,103.92128789294195
2025-08-27,1.0,take_profit,1,-0.015862445769256883,103.90542544717269
2025-09-01,-1.0,cierre_periodo,3,-0.9151340853754016,102.99029136179729
2025-09-04,1.0,cierre_periodo,3,0.6546510012111235,103.64494236300841
2025-09-09,-1.0,cierre_periodo,3,7.390575067316547,111.03551743032496
2025-09-12,-1.0,trailing_stop,2,2.3979601024969988,113.43347753282195
2025-09-17,1.0,cierre_periodo,3,3.164651972440482,116.59812950526243
2025-09-22,-1.0,cierre_periodo,3,1.1972301560265008,117.79535966128894
2025-09-25,-1.0,stop_loss,1,-3.5338607898387004,114.26149887145024
2025-09-30,1.0,cierre_periodo,3,-2.0372319977786724,112.22426687367157
2025-10-03,-1.0,take_profit,1,3.7476603000715163,115.97192717374308
2025-10-08,-1.0,take_profit,1,2.7575927104092615,118.72951988415234
2025-10-13,-1.0,stop_loss,1,-3.5618855965244998,115.16763428762783
2025-10-16,1.0,trailing_stop,3,-2.9447223152425357,112.2229119723853
2025-10-21,1.0,cierre_periodo,3,-1.7121164782606177,110.5107954941247
2025-10-24,-1.0,trailing_stop,2,4.721638290719921,115.23243378484462
2025-10-29,-1.0,cierre_periodo,3,6.173331124718238,121.40576490956285
2025-11-03,-1.0,stop_loss,1,-3.642172947286919,117.76359196227592
2025-11-06,-1.0,cierre_periodo,3,2.766740728090065,120.530332690366
2025-11-11,-1.0,cierre_periodo,3,3.738550291097461,124.26888298146346
2025-11-14,-1.0,trailing_stop,3,2.100286206558824,126.36916918802228
2025-11-19,-1.0,trailing_stop,3,-2.9045263028003903,123.46464288522189
2025-11-24,1.0,trailing_stop,3,-2.891231013568113,120.57341187165378
2025-11-27,-1.0,cierre_periodo,3,-2.0753973065809994,118.49801456507278
2025-12-02,-1.0,take_profit,1,1.5355122266103796,120.03352679168316
2025-12-05,-1.0,stop_loss,3,-3.8719532154867577,116.1615735761964
2025-12-10,-1.0,take_profit,1,0.7208351979411645,116.88240877413757
2026-01-05,-1.0,take_profit,1,0.6869420621196006,117.56935083625717
2026-01-08,1.0,trailing_stop,3,-2.8505360207373287,114.71881481551985
2026-01-13,-1.0,cierre_periodo,3,0.3910827853181027,115.10989760083795
2026-01-16,1.0,cierre_periodo,3,0.9811931590865766,116.09109075992453
2026-01-21,1.0,stop_loss,1,-3.4827327227977674,112.60835803712676
2026-01-26,-1.0,take_profit,1,-0.2381248949220866,112.37023314220468
2026-01-29,-1.0,trailing_stop,2,-1.3040310111857905,111.0662021310189
2026-02-03,-1.0,trailing_stop,3,1.0592688029368833,112.12547093395578
2026-02-06,-1.0,take_profit,1,1.120908324561902,113.24637925851768
2026-02-11,-1.0,trailing_stop,3,-2.767125956165036,110.47925330235265
