ds,estrategia,precio_entrada,precio_salida,take_profit,stop_loss,posicion,notional,razon_cierre,pnl,capital
2025-06-25,Umbral simple (forecast),935.4400024414062,936.9299926757812,946.9889,926.371620971796,1.0,309.46205965515526,cierre_dia,0.33818721783378103,100.33818721783378
2025-06-26,Umbral simple (forecast),936.9299926757812,936.9299926757812,937.9911,,0.0,0.0,plano,0.0,100.33818721783378
2025-06-27,Umbral simple (forecast),930.75,930.75,937.66693,,0.0,0.0,plano,0.0,100.33818721783378
2025-06-30,Umbral simple (forecast),919.1043090820312,931.1400146484376,936.38025,910.3363429932942,1.0,315.5392914527393,cierre_dia,3.9742292678144664,104.31241648564824
2025-07-01,Umbral simple (forecast),931.1400146484376,931.1400146484376,937.41846,,0.0,0.0,plano,0.0,104.31241648564824
2025-07-02,Umbral simple (forecast),928.1300048828124,928.1300048828124,934.7163,,0.0,0.0,plano,0.0,104.31241648564824
2025-07-03,Umbral simple (forecast),925.760009765625,925.760009765625,924.8698,,0.0,0.0,plano,0.0,104.31241648564824
2025-07-04,Umbral simple (forecast),927.2899780273438,930.0,917.2302,935.5592781365265,-1.0,350.91672976124033,cierre_dia,-1.2010189454540403,103.1113975401942
2025-07-07,Umbral simple (forecast),930.0,930.0,927.9908,,0.0,0.0,plano,0.0,103.1113975401942
2025-07-08,Umbral simple (forecast),940.9400024414062,943.22998046875,928.8174,949.3114266975475,-1.0,347.6886453892192,cierre_dia,-1.0200187400138532,102.09137880018035
2025-07-09,Umbral simple (forecast),943.22998046875,948.9400024414062,926.345,951.3520223523592,-1.0,355.6826618663006,cierre_dia,-2.153192600536436,99.93818619964391
2025-07-10,Umbral simple (forecast),948.9400024414062,948.9400024414062,943.72705,,0.0,0.0,plano,0.0,99.93818619964391
2025-07-11,Umbral simple (forecast),949.5599975585938,937.8051147460938,937.75,957.3196985774891,-1.0,366.8851555465729,cierre_dia,4.358336793918999,104.2965229935629
2025-07-14,Umbral simple (forecast),937.8051147460938,937.8051147460938,940.1811,,0.0,0.0,plano,0.0,104.2965229935629
2025-07-15,Umbral simple (forecast),967.97998046875,966.8400268554688,946.54346,979.4353403523647,-1.0,264.3922512674759,cierre_dia,0.17916868380165046,104.47569167736455
2025-07-16,Umbral simple (forecast),966.8400268554688,967.4299926757812,945.5314,977.8791632212871,-1.0,274.50864958927076,cierre_dia,-0.1675051881794096,104.30818648918515
2025-07-17,Umbral simple (forecast),967.4299926757812,967.4299926757812,973.0932,,0.0,0.0,plano,0.0,104.30818648918515
2025-07-18,Umbral simple (forecast),964.4500122070312,964.4500122070312,970.8759,,0.0,0.0,plano,0.0,104.30818648918515
2025-07-21,Umbral simple (forecast),963.3900146484376,953.6199951171876,980.1897,953.4711761802444,1.0,303.93518041051254,cierre_dia,-3.23426302994813,101.07392345923702
2025-07-22,Umbral simple (forecast),953.6199951171876,950.22998046875,983.99023,943.7798636056195,1.0,293.8561774779944,cierre_dia,-1.0446265297340656,100.02929692950296
2025-07-23,Umbral simple (forecast),950.22998046875,948.0599975585938,988.4846,940.7178294511648,1.0,299.7771062251947,cierre_dia,-0.6845829017559192,99.34471402774705
2025-07-24,Umbral simple (forecast),948.0599975585938,949.75,959.00037,938.8767030715383,1.0,307.6828783113669,cierre_dia,0.5484724773370423,99.89318650508409
2025-07-25,Umbral simple (forecast),949.75,949.75,952.67303,,0.0,0.0,plano,0.0,99.89318650508409
2025-07-28,Umbral simple (forecast),936.902587890625,958.5599975585938,959.0025,927.7548840134939,1.0,306.9300871770459,cierre_dia,6.941520842174298,106.83470734725839
2025-07-29,Umbral simple (forecast),958.5599975585938,958.5599975585938,965.30707,,0.0,0.0,plano,0.0,106.83470734725839
2025-07-30,Umbral simple (forecast),960.239990234375,960.239990234375,968.0975,,0.0,0.0,plano,0.0,106.83470734725839
2025-07-31,Umbral simple (forecast),981.4299926757812,972.2000122070312,960.90515,993.1455478466762,-1.0,268.49120981433583,cierre_dia,2.390813381583425,109.22552072884181
2025-08-01,Umbral simple (forecast),972.2000122070312,956.5645,956.5645,983.6736562493567,-1.0,277.65124713868363,take_profit,4.4653563149821105,113.69087704382393
2025-08-04,Umbral simple (forecast),946.9133911132812,960.55774,960.55774,934.1918017223092,1.0,253.8725561994831,take_profit,3.5311868005868243,117.22206384441075
2025-08-05,Umbral simple (forecast),966.280029296875,966.280029296875,962.89374,,0.0,0.0,plano,0.0,117.22206384441075
2025-08-06,Umbral simple (forecast),966.3499755859376,966.3499755859376,957.4436,,0.0,0.0,plano,0.0,117.22206384441075
2025-08-07,Umbral simple (forecast),974.3499755859376,969.8300170898438,963.3443,987.2300944788257,-1.0,266.02700486251183,cierre_dia,1.1010718374853554,118.3231356818961
2025-08-08,Umbral simple (forecast),969.8300170898438,969.8300170898438,965.1355,,0.0,0.0,plano,0.0,118.3231356818961
2025-08-11,Umbral simple (forecast),967.780029296875,967.780029296875,966.9499,,0.0,0.0,plano,0.0,118.3231356818961
2025-08-12,Umbral simple (forecast),968.6900024414062,968.6900024414062,966.3482,,0.0,0.0,plano,0.0,118.3231356818961
2025-08-13,Umbral simple (forecast),956.3499755859376,952.6199951171876,967.8284,944.8439025233407,1.0,295.0398297621107,cierre_dia,-1.2982417537578186,117.02489392813828
2025-08-14,Umbral simple (forecast),952.6199951171876,952.6199951171876,956.30176,,0.0,0.0,plano,0.0,117.02489392813828
2025-08-15,Umbral simple (forecast),965.510009765625,963.5999755859376,953.9706,976.8967058621533,-1.0,297.68610364641614,cierre_dia,0.44005880008057546,117.46495272821886
2025-08-18,Umbral simple (forecast),963.5999755859376,963.5999755859376,961.0988,,0.0,0.0,plano,0.0,117.46495272821886
2025-08-19,Umbral simple (forecast),963.6900024414062,963.6900024414062,958.7594,,0.0,0.0,plano,0.0,117.46495272821886
2025-08-20,Umbral simple (forecast),963.0399780273438,963.0399780273438,967.6203,,0.0,0.0,plano,0.0,117.46495272821886
2025-08-21,Umbral simple (forecast),965.77001953125,965.77001953125,960.4566,,0.0,0.0,plano,0.0,117.46495272821886
2025-08-22,Umbral simple (forecast),970.4299926757812,959.52001953125,959.2441,980.1186650480473,-1.0,352.9632611233982,cierre_dia,3.7916765353298167,121.25662926354867
2025-08-25,Umbral simple (forecast),959.52001953125,959.52001953125,959.0318,,0.0,0.0,plano,0.0,121.25662926354867
2025-08-26,Umbral simple (forecast),962.1300048828124,962.1300048828124,962.78326,,0.0,0.0,plano,0.0,121.25662926354867
2025-08-27,Umbral simple (forecast),966.0499877929688,966.0499877929688,961.5613,,0.0,0.0,plano,0.0,121.25662926354867
2025-08-28,Umbral simple (forecast),968.1699829101562,968.1699829101562,972.3871,,0.0,0.0,plano,0.0,121.25662926354867
2025-08-29,Umbral simple (forecast),967.8200073242188,967.8200073242188,965.84314,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-01,Umbral simple (forecast),965.9600219726562,965.9600219726562,969.50916,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-02,Umbral simple (forecast),966.9600219726562,966.9600219726562,973.0338,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-03,Umbral simple (forecast),973.1400146484376,973.1400146484376,970.3352,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-04,Umbral simple (forecast),967.9099731445312,967.9099731445312,971.0348,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-05,Umbral simple (forecast),971.739990234375,971.739990234375,975.3501,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-08,Umbral simple (forecast),966.7100219726562,966.7100219726562,976.24304,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-09,Umbral simple (forecast),970.0399780273438,970.0399780273438,976.66266,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-10,Umbral simple (forecast),966.6699829101562,966.6699829101562,974.976,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-11,Umbral simple (forecast),961.3900146484376,961.3900146484376,965.3205,,0.0,0.0,plano,0.0,121.25662926354867
2025-09-12,Umbral simple (forecast),952.3400268554688,945.2673186222684,965.65497,945.2673186222684,1.0,489.8160835782123,stop_loss,-3.8826069196956126,117.37402234385306
2025-09-15,Umbral simple (forecast),939.7928466796876,951.0700073242188,965.7932,932.230465173059,1.0,437.58940151890596,cierre_dia,5.250908213131857,122.6249305569849
2025-09-16,Umbral simple (forecast),951.0700073242188,947.260009765625,966.38824,943.0897208552877,1.0,438.42371094199274,cierre_dia,-1.7563305071707187,120.86860004981419
2025-09-17,Umbral simple (forecast),947.260009765625,951.6400146484376,967.7896,939.5108848832544,1.0,443.2525982024898,cierre_dia,1.8279150353066587,122.69651508512085
2025-09-18,Umbral simple (forecast),951.6400146484376,951.6400146484376,946.74066,,0.0,0.0,plano,0.0,122.69651508512085
