ds,retorno_neto,posicion,valor_portafolio
2025-08-24,-0.002689514309389746,1.0,0.9973104856906102
2025-08-31,0.004050322250512289,1.0,1.0013499145414722
2025-09-07,-0.019964150466038916,1.0,0.981358814178411
2025-09-14,0.002856091969699174,1.0,0.9841616652069795
2025-09-21,0.0042615200454659795,1.0,0.9883556898712381
2025-09-28,0.0024396753395265884,1.0,0.9907669568744978
2025-10-05,-0.01145116235134952,1.0,0.9794215235989754
2025-10-12,0.004745016756316024,1.0,0.9840688951399492
2025-10-19,-0.008408608132260376,1.0,0.9757942454255709
2025-10-26,-0.005195664875780431,1.0,0.9707243455386246
2025-11-02,-2.125170467179852e-05,1.0,0.9707037159915155
2025-11-09,-0.013397022417396617,1.0,0.957699176547727
2025-11-16,0.0008285303398012028,1.0,0.9584926593718994
2025-11-23,-0.003515582911810288,1.0,0.955122998957516
2025-11-30,-0.010411298510299035,1.0,0.9451789283013172
2025-12-07,-0.0037940108182808823,1.0,0.9415929092221309
2025-12-14,-0.0034035407404239522,1.0,0.9383881593946991
2025-12-21,-0.007456337249930059,1.0,0.9313912208069111
2025-12-28,-0.0046578094276884035,1.0,0.9270529779977704
2026-01-04,-0.00350142764080305,1.0,0.9238069690761203
2026-01-11,-0.015594128903876691,1.0,0.9094010041180476
2026-01-18,-0.01275907314480819,1.0,0.8977978901885434
2026-01-25,-0.013876644884325681,1.0,0.8853394676885001
2026-02-01,0.008205746366793339,1.0,0.8926043388088637
2026-02-08,-0.011082804836673657,1.0,0.8827117791254769
2026-02-15,0.009817810116042398,1.0,0.8913780757601248
2026-02-22,0.0001733640557677664,1.0,0.8915326086785611
2026-03-01,0.04681161020377857,1.0,0.9332666856399797
2026-03-08,0.011074706555522435,1.0,0.9436023403214874
2026-03-15,-0.003505538855371877,1.0,0.9402945056534706
2026-03-22,0.01704126944885686,1.0,0.9563183176855911
2026-03-29,-0.01243478546244668,1.0,0.9444267045713628
2026-04-05,-0.027146759282937808,1.0,0.9187885801619857
2026-04-12,-0.006168547172696731,1.0,0.9131209894635214
2026-04-19,0.009423075466018836,1.0,0.9217253974568418
2026-04-26,0.006707883100070447,1.0,0.9279082236733482
2026-05-03,-0.011105312031884392,1.0,0.9176035133125041
2026-05-10,0.004301118752853087,1.0,0.9215502349912963
2026-05-17,0.004517543461529458,1.0,0.9257133782298521
2026-05-24,-0.008204083010908182,1.0,0.9181187488305462
2026-05-31,0.005230293200577737,1.0,0.9229207790798775
2026-06-07,0.011600788932698796,1.0,0.933627388239585
2026-06-14,-0.006445803326167362,1.0,0.9276094097150693
2026-06-21,0.02182899483874651,1.0,0.9478581907321122
2026-06-28,0.0053379135854529,1.0,0.9529177758455041
2026-07-05,0.0024007091309186097,1.0,0.955205454250991
2026-07-12,-0.003053008784371657,1.0,0.9522892036082831
2026-07-19,0.019218085844834514,1.0,0.9705903792723362
2026-07-26,-0.01787897375868714,1.0,0.9532372193508918
2026-08-02,-0.010453470664031357,1.0,0.9432725820425444
2026-08-09,-0.0015075759525565073,1.0,0.9418505269811512
2026-08-16,0.009048161412746171,1.0,0.9503725425759568
