estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Kelly diario (con cobre),186.2091266902622,86.2091266902622,4.567360614297539,-3.516970320867574,60.66666666666667,300
Umbral cobre,183.5029334157047,83.50293341570469,4.443581408567591,-3.4454127758341335,60.0,290
Kelly diario (sin cobre),106.02926958711255,6.029269587112562,0.4684051344588102,-9.667119026898474,49.333333333333336,300
Buy-and-hold,97.29217871786199,-2.707821282138012,-0.1282600527444416,-13.15019904850504,49.333333333333336,300
