variante,feature,corr_con_retorno_siguiente_(operado),corr_con_retorno_que_termina_en_la_fila,corr_operado_2010-2017,corr_operado_2018-2026
original,copper_ret_1d,-0.25560392747277083,-0.01833378329669406,-0.2570897356735268,-0.25506098304946107
original,copper_mom_5d,-0.1646697486705508,-0.16803578894171736,-0.1591908135242545,-0.16959530793237956
original,copper_mom_20d,-0.07501639150993024,-0.0806578542022525,-0.0712830625056993,-0.07892203181338807
original,rate_diff,0.004037304330717061,0.00362418342289522,0.015189097090528618,0.0029157402805015395
corregido,copper_ret_1d,-0.07795471998194647,-0.25399348719936643,-0.06845866712595045,-0.08561725773263434
corregido,copper_mom_5d,-0.040597817494168416,-0.16314007442891235,-0.039873205612820206,-0.041486340681784376
corregido,copper_mom_20d,-0.014383699153813205,-0.07200610480612987,-0.010816035440247678,-0.017946306174264515
corregido,rate_diff,0.00437276466648678,0.0037853626970170517,0.01599456053675611,0.0029179760332695348
