variante,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
corregido,Umbral cobre,0.0,0.7812760083826865,10.908639597463177
corregido,Umbral cobre,0.02,0.37747402448212564,4.660310867373574
corregido,Umbral cobre,0.05,-0.2282678822161815,-4.060480549646495
corregido,Umbral cobre,0.1,-1.237716281294319,-17.015267152073065
corregido,Umbral cobre,0.15,-2.2466471149541976,-28.225970151194534
corregido,Umbral cobre,0.2,-3.2546393906236437,-37.926690695003494
corregido,Umbral cobre,0.3,-5.266134953329174,-53.58212835691252
corregido,Kelly diario (con cobre),0.0,0.6897707933871695,9.464919803285499
corregido,Kelly diario (con cobre),0.02,0.2744291957869642,3.123898268256897
corregido,Kelly diario (con cobre),0.05,-0.34869295133171324,-5.707713498959432
corregido,Kelly diario (con cobre),0.1,-1.3875048235218495,-18.78335492575506
corregido,Kelly diario (con cobre),0.15,-2.4266315773569445,-30.050990968928716
corregido,Kelly diario (con cobre),0.2,-3.466039904890957,-39.75989824387787
corregido,Kelly diario (con cobre),0.3,-5.545567770440888,-55.33198451461391
