ds,y,y_next,nhits_h1,nhits_h2,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2020-12-11,0.7849786120996974,0.7842767828919635,0.78252906,0.7831054,0.0040421375725827316,0.0011321092027688313,84.3026351398094,0.747171965802526,0.7849786120996974,-0.013108925112561077,0.002845757153371549,1
2020-12-14,0.7842767828919635,0.7836806686026823,0.7831054,0.7831081,0.003959739527894527,0.0010609428514959905,82.10975013795864,0.747171965802526,0.7849786120996974,-0.0005676568532849705,0.0038477910283128596,2
2020-12-15,0.7836806686026823,0.7874263472270343,0.7831081,0.78286713,0.0038790701184832676,0.0008809519707486634,77.11680077556741,0.747171965802526,0.7849786120996974,0.004532594732826386,0.012593059330743893,3
2020-12-16,0.7874263472270343,0.7844982852735151,0.78286713,0.78219754,0.003939603801951987,0.0009172626153863351,80.86752410732618,0.747171965802526,0.7874263472270343,0.004512075897879891,0.013112886307093197,4
2020-12-17,0.7844982852735151,0.7854842396257441,0.78219754,0.78186196,0.0039390098358054295,0.0006592502420375516,76.14177764635949,0.747171965802526,0.7874263472270343,0.012026430542292521,0.00742192617644431,5
2020-12-18,0.7854842396257441,0.7806035746223587,0.785768,0.7853909,0.0038662339389558065,0.0004785681500782471,75.15592736480437,0.747171965802526,0.7874263472270343,0.008719203163225152,0.029653818787127317,1
2020-12-21,0.7806035746223587,0.7780163430948078,0.7853909,0.78548324,0.004018245408761151,-1.9657861220196034e-05,65.75955432670784,0.747171965802526,0.7874263472270343,-0.015413769301266707,0.014480374434948994,2
2020-12-22,0.7780163430948078,0.7755966243096599,0.78548324,0.78502494,0.003996229661616529,-0.0005443900477298015,57.13192291225159,0.747171965802526,0.7874263472270343,-0.015512951902100029,-0.005652973075548363,3
2020-12-23,0.7755966243096599,0.7784827665056917,0.78502494,0.7853416,0.003967536839484968,-0.0010462974161386893,52.04253740922956,0.7480606719912337,0.7874263472270343,0.00961822368998747,-0.0005627054297451403,4
2020-12-24,0.7784827665056917,0.778319165852265,0.7853416,0.7852225,0.003968807772366651,-0.0011665954413219229,51.65833301899506,0.7480606719912337,0.7874263472270343,0.002249690773362123,-0.010286333630522511,5
2020-12-25,0.778319165852265,0.7788404715524253,0.7806508,0.78091663,0.003884961401151148,-0.0012333704588178007,43.000202172995394,0.7480606719912337,0.7874263472270343,0.0,-0.01887833602031982,1
2020-12-28,0.7788404715524253,0.7788161756602676,0.78091663,0.78133154,0.003807154891082484,-0.0012165776110700799,46.05548620043913,0.7480606719912337,0.7874263472270343,0.0028050483012747717,-0.0008396364453597725,2
2020-12-29,0.7788161756602676,0.7799034525705151,0.78133154,0.7811311,0.0037288249547009484,-0.0011803325457269585,47.43150984482016,0.7480606719912337,0.7874263472270343,-0.004773267568748166,0.009948859280917885,3
2020-12-30,0.7799034525705151,0.7842706970097967,0.7811311,0.7808691,0.0036666800314452347,-0.001060167037423412,50.24326849312043,0.7480606719912337,0.7874263472270343,-0.0028184884850533864,-0.002533801471429239,4
2020-12-31,0.7842706970097967,0.8097231551778709,0.7808691,0.78050655,0.003797007354794665,-0.0006819648955620149,48.731113001639784,0.7480606719912337,0.7874263472270343,-0.00821884864248363,-0.012921349593837747,5
2021-01-01,0.8097231551778709,0.7860337510873007,0.7815219,0.7803522,0.007811895908915009,0.0011853070451993287,74.16754725065681,0.7480606719912337,0.8097231551778709,0.0,-0.012921349593837747,1
2021-01-04,0.7860337510873007,0.7824113835030239,0.7803522,0.77928627,0.010257533761028588,0.0007491932076650124,51.55341455183127,0.7480606719912337,0.8097231551778709,0.011037337127536937,-0.004761893631251935,2
2021-01-05,0.7824113835030239,0.7889733076794514,0.77928627,0.77955455,0.009985091110827037,0.0001711474230093931,46.68391490368917,0.7480606719912337,0.8097231551778709,0.024328744190622302,0.02462710273713657,3
2021-01-06,0.7889733076794514,0.7895526079890005,0.77955455,0.7800601,0.009865096786560033,0.00018399118699275298,52.823372610102915,0.7480606719912337,0.8097231551778709,0.0026061400085380447,0.030200427053907554,4
2021-01-07,0.7895526079890005,0.7884072311289637,0.7800601,0.77962816,0.009558995761069233,0.00018430334948229838,52.580046227822166,0.7480606719912337,0.8097231551778709,0.01238864164946358,0.051650529650207104,5
2021-01-08,0.7884072311289637,0.7854965962876646,0.7930891,0.7912642,0.00927127267362081,6.625965044257734e-05,55.19498132871126,0.7480606719912337,0.8097231551778709,-0.0059709326787447245,0.04538990462171073,1
2021-01-11,0.7854965962876646,0.7829995014667109,0.7912642,0.78601164,0.009029593305145559,-0.00023258482345387159,54.958338199384414,0.7480606719912337,0.8097231551778709,-0.030261423589353787,0.003095952171877183,2
2021-01-12,0.7829995014667109,0.7869244917748992,0.78601164,0.78076017,0.008789197345465953,-0.0006021645333455423,54.90202053348374,0.7480606719912337,0.8097231551778709,0.011438296923926266,-0.00975142121178066,3
2021-01-13,0.7869244917748992,0.7875194166545093,0.78076017,0.77810097,0.0086064292403158,-0.0005854908151388498,55.51405996899632,0.7480606719912337,0.8097231551778709,0.003323205417966472,-0.009041093563939735,4
2021-01-14,0.7875194166545093,0.7906575705536275,0.77810097,0.7790584,0.008358119121588367,-0.0005387775390444413,55.975849732297085,0.7480606719912337,0.8097231551778709,0.014001568268525182,-0.007441459866258496,5
2021-01-15,0.7906575705536275,0.7834105324657544,0.7971386,0.79841006,0.008167465825333215,-0.0003121539195785313,57.42322546069102,0.7480606719912337,0.8097231551778709,-0.017879738594029113,-0.0191915432830798,1
2021-01-18,0.7834105324657544,0.7844368094887157,0.79841006,0.79879814,0.008191247750838508,-0.000646693195922963,52.645964422049445,0.7480606719912337,0.8097231551778709,0.0,0.010942770909641162,2
2021-01-19,0.7844368094887157,0.7859967051997016,0.79879814,0.7983884,0.007963788236367363,-0.0007859638151563771,52.612669304378635,0.7480606719912337,0.8097231551778709,0.009117342638361609,0.008599139735508151,3
2021-01-20,0.7859967051997016,0.7920165084007336,0.7983884,0.7968321,0.007752397167544301,-0.000759697358543302,51.027999680690776,0.7480606719912337,0.8097231551778709,0.0031578581146133864,0.0084323843742432,4
2021-01-21,0.7920165084007336,0.7907200998112797,0.7968321,0.7968147,0.00772428884108798,-0.0003447000200257947,36.27757351817815,0.7480606719912337,0.8097231551778709,0.0021908531376899996,-0.0034078647061656746,5
2021-01-22,0.7907200998112797,0.7859843327984505,0.7899153,0.7880482,0.0075166374422980875,-0.00017392644532763634,55.562538640529155,0.7480606719912337,0.8097231551778709,-0.005486224494399296,0.009020269020598558,1
2021-01-25,0.7859843327984505,0.7850834474420142,0.7880482,0.7912261,0.007424850406190625,-0.00038427523342735243,54.13176280007536,0.756401057910892,0.8097231551778709,0.0013744131974424212,0.010408033257109529,2
2021-01-26,0.7850834474420142,0.7877799653751286,0.7912261,0.795558,0.007223554650248629,-0.0005768682745885619,44.82408557433172,0.7612667802555069,0.8097231551778709,-0.0034395156780045112,-0.0022001917446712693,3
2021-01-27,0.7877799653751286,0.7802746576081497,0.795558,0.79655546,0.007066745694179628,-0.0005173436388567878,47.76710214248754,0.7612667802555069,0.8097231551778709,-0.015695844799481936,-0.020836182154799314,4
2021-01-28,0.7802746576081497,0.7793685583999538,0.79655546,0.79393524,0.007185432211788177,-0.0009527944593985408,41.17055348286636,0.7612667802555069,0.8097231551778709,0.0032147296487249717,-0.019833125906013445,5
2021-01-29,0.7793685583999538,0.7811157263663506,0.7821839,0.7874889,0.006992456484150098,-0.0012523415705325898,43.044092827902425,0.7612667802555069,0.8097231551778709,-0.0026549381584333254,-0.017054060519955155,1
2021-02-01,0.7811157263663506,0.7784524247666529,0.7874889,0.78978723,0.00682026023530006,-0.0012788244626302178,47.824701734544924,0.7612667802555069,0.8097231551778709,-0.0032232896853065453,-0.021562980619232078,2
2021-02-02,0.7784524247666529,0.7821604993007406,0.78978723,0.7914148,0.006675760659663172,-0.0014113188798211282,39.92321464497743,0.7612667802555069,0.8097231551778709,-0.006477983976974251,-0.0245314184492475,3
2021-02-03,0.7821604993007406,0.7822278188093319,0.7914148,0.7925833,0.006580617133011485,-0.0011934906695008746,44.065521017057044,0.7612667802555069,0.8097231551778709,0.011099516193104106,0.0019599522214916905,4
2021-02-04,0.7822278188093319,0.7798548020810983,0.7925833,0.7923053,0.006402478097222184,-0.0009971302114683317,39.98362750800135,0.7612667802555069,0.8097231551778709,-0.003499212095570062,-0.0047446163014563765,5
2021-02-05,0.7798548020810983,0.7837973143152613,0.77366805,0.7784231,0.006264272892034645,-0.0009779827604635726,45.22154293488031,0.7619860123751075,0.8097231551778709,0.020264386695531118,0.018329375257908852,1
2021-02-08,0.7837973143152613,0.7850711037750779,0.7784231,0.77892697,0.006199141738579725,-0.0006656414054091922,49.203063231406595,0.7630675164834925,0.8097231551778709,0.010932047306130873,0.03284667697582702,2
2021-02-09,0.7850711037750779,0.7875814505151064,0.77892697,0.7790692,0.006043698747347057,-0.0003546997627852753,48.83823413978954,0.7630675164834925,0.8097231551778709,0.014705183351721931,0.054959018817618895,3
2021-02-10,0.7875814505151064,0.787649632489676,0.7790692,0.77870417,0.005925293868864022,1.8787121798761094e-05,43.89556370901485,0.7641929580368406,0.8097231551778709,0.013831859146124684,0.057845470250245355,4
2021-02-11,0.787649632489676,0.7873644116994172,0.77870417,0.78174335,0.005766191485758627,0.00025600128305272287,45.625901583035414,0.7641929580368406,0.8097231551778709,0.000528153994474969,0.06211439171036102,5
2021-02-12,0.7873644116994172,0.788152487620946,0.7843202,0.78674275,0.005611689430979885,0.00037223036550832796,52.251518088913585,0.7643974086363904,0.8097231551778709,0.0038211104503456115,0.044792555522243364,1
2021-02-15,0.788152487620946,0.7914146974718642,0.78674275,0.7839719,0.005466108624655819,0.00047418232431356154,55.0254576335383,0.7648534292181646,0.8097231551778709,0.0,0.03343303840023268,2
2021-02-16,0.7914146974718642,0.7868439619918504,0.7839719,0.78291684,0.005402707352118377,0.0007186538583717505,55.843503435183386,0.7680255711638837,0.8097231551778709,0.012026289584637934,0.030668285967424096,3
2021-02-17,0.7868439619918504,0.7874077951100902,0.78291684,0.7821282,0.0054158059167606805,0.0005381200700067774,61.66174156128943,0.7680255711638837,0.8097231551778709,-0.0031233976197787097,0.01334035541278491,4
2021-02-18,0.7874077951100902,0.7885875547943081,0.7821282,0.7796968,0.005274558779423122,0.0004271147469342843,64.44669811854298,0.7680255711638837,0.8097231551778709,0.02076827313014467,0.03405945615005395,5
