ds,estrategia,posicion,pnl,capital
2025-07-16,Kelly diario (sin cobre),1.0,0.011020003715743236,100.01102000371574
2025-07-17,Kelly diario (sin cobre),-1.0,0.2580590409498085,100.26907904466555
2025-07-18,Kelly diario (sin cobre),1.0,-0.16033722254844113,100.10874182211711
2025-07-21,Kelly diario (sin cobre),0.6838962218842365,-0.7285453182563826,99.38019650386073
2025-07-22,Kelly diario (sin cobre),1.0,-0.4029758133561902,98.97722069050454
2025-07-23,Kelly diario (sin cobre),1.0,-0.2260283108381906,98.75119237966635
2025-07-24,Kelly diario (sin cobre),1.0,0.17603290576881445,98.92722528543517
2025-07-25,Kelly diario (sin cobre),-1.0,1.288739948377518,100.21596523381268
2025-07-28,Kelly diario (sin cobre),1.0,2.2664810015443497,102.48244623535703
2025-07-29,Kelly diario (sin cobre),-1.0,-0.23085414198561965,102.25159209337141
2025-07-30,Kelly diario (sin cobre),-1.0,-2.256427047541903,99.99516504582951
2025-07-31,Kelly diario (sin cobre),-1.0,0.9404169703700301,100.93558201619953
2025-08-01,Kelly diario (sin cobre),1.0,-2.675771005648715,98.25981101055082
2025-08-04,Kelly diario (sin cobre),1.0,2.00964758307234,100.26945859362316
2025-08-05,Kelly diario (sin cobre),-1.0,-0.057392952919672516,100.21206564070349
2025-08-06,Kelly diario (sin cobre),1.0,0.7795069908044756,100.99157263150796
2025-08-07,Kelly diario (sin cobre),-1.0,0.417998828748157,101.40957146025612
2025-08-08,Kelly diario (sin cobre),1.0,-0.26506027062997173,101.14451118962614
2025-08-11,Kelly diario (sin cobre),1.0,0.09510300493198812,101.23961419455813
2025-08-12,Kelly diario (sin cobre),-0.25257481918668256,0.31295525703589355,101.55256945159402
2025-08-13,Kelly diario (sin cobre),1.0,-0.4468541958207878,101.10571525577323
2025-08-14,Kelly diario (sin cobre),1.0,1.3680734787929105,102.47378873456614
2025-08-15,Kelly diario (sin cobre),-1.0,0.15148336438238863,102.62527209894853
2025-08-18,Kelly diario (sin cobre),1.0,-0.041724600793388335,102.58354749815514
2025-08-19,Kelly diario (sin cobre),1.0,-0.0691942535317474,102.5143532446234
2025-08-20,Kelly diario (sin cobre),1.0,0.29060936772033136,102.80496261234373
2025-08-21,Kelly diario (sin cobre),-1.0,-0.5474505623292125,102.25751205001451
2025-08-22,Kelly diario (sin cobre),-1.0,1.149621012038287,103.4071330620528
2025-08-25,Kelly diario (sin cobre),1.0,0.2295736314901978,103.63670669354299
2025-08-26,Kelly diario (sin cobre),-1.0,-0.4740628702434854,103.1626438232995
2025-08-27,Kelly diario (sin cobre),-1.0,-0.22639025303566176,102.93625357026384
2025-08-28,Kelly diario (sin cobre),-1.0,0.03720955647600078,102.97346312673984
2025-08-29,Kelly diario (sin cobre),1.0,-0.24938420378542872,102.72407892295442
2025-09-01,Kelly diario (sin cobre),1.0,0.10634402727472532,102.83042295022915
2025-09-02,Kelly diario (sin cobre),-1.0,-0.7086205211460106,102.12180242908313
2025-09-03,Kelly diario (sin cobre),-1.0,0.5488431850690911,102.67064561415222
2025-09-04,Kelly diario (sin cobre),1.0,0.3549321382564498,103.02557775240867
2025-09-05,Kelly diario (sin cobre),-1.0,0.48177326649634855,103.50735101890501
2025-09-08,Kelly diario (sin cobre),1.0,0.30479060601845365,103.81214162492347
2025-09-09,Kelly diario (sin cobre),-1.0,0.3087454675831112,104.12088709250658
2025-09-10,Kelly diario (sin cobre),1.0,-0.6207705400110148,103.50011655249557
2025-09-11,Kelly diario (sin cobre),1.0,-0.9742921988985541,102.52582435359702
2025-09-12,Kelly diario (sin cobre),1.0,-1.3507885361940188,101.175035817403
2025-09-15,Kelly diario (sin cobre),1.0,1.2140623714684693,102.38909818887147
2025-09-16,Kelly diario (sin cobre),-1.0,0.3589773742361574,102.74807556310763
2025-09-17,Kelly diario (sin cobre),1.0,0.4237194613912455,103.17179502449888
2025-09-18,Kelly diario (sin cobre),-1.0,-0.422362420527908,102.74943260397097
2025-09-19,Kelly diario (sin cobre),-1.0,0.012909587081209742,102.76234219105218
2025-09-22,Kelly diario (sin cobre),1.0,0.040085813000690834,102.80242800405287
2025-09-23,Kelly diario (sin cobre),1.0,-0.8281878803700496,101.97424012368282
2025-09-24,Kelly diario (sin cobre),1.0,0.42162375643462413,102.39586388011745
2025-09-25,Kelly diario (sin cobre),-1.0,-0.81700716017087,101.57885671994657
2025-09-26,Kelly diario (sin cobre),-1.0,-0.04024528619435571,101.53861143375222
2025-09-29,Kelly diario (sin cobre),1.0,0.5238509804528841,102.0624624142051
2025-09-30,Kelly diario (sin cobre),-1.0,0.3382044862532487,102.40066690045835
2025-10-01,Kelly diario (sin cobre),1.0,-0.23336477245267154,102.16730212800567
2025-10-02,Kelly diario (sin cobre),1.0,0.2044286139940677,102.37173074199974
2025-10-03,Kelly diario (sin cobre),-1.0,1.4537042930672575,103.825435035067
2025-10-06,Kelly diario (sin cobre),1.0,1.4927369239355324,105.31817195900254
2025-10-07,Kelly diario (sin cobre),-1.0,0.20148207060975956,105.5196540296123
2025-10-08,Kelly diario (sin cobre),1.0,-1.0033195859977284,104.51633444361457
2025-10-09,Kelly diario (sin cobre),1.0,-0.0010939902080147165,104.51524045340655
2025-10-10,Kelly diario (sin cobre),1.0,-0.3771715811030861,104.13806887230346
2025-10-13,Kelly diario (sin cobre),1.0,1.0468412435281929,105.18491011583166
2025-10-14,Kelly diario (sin cobre),-1.0,-0.5254311307931725,104.65947898503849
2025-10-15,Kelly diario (sin cobre),-1.0,0.1884361337504909,104.84791511878898
2025-10-16,Kelly diario (sin cobre),1.0,-0.5060912877388416,104.34182383105014
2025-10-17,Kelly diario (sin cobre),1.0,0.6206134033944152,104.96243723444455
2025-10-20,Kelly diario (sin cobre),-1.0,1.0510678710252237,106.01350510546978
2025-10-21,Kelly diario (sin cobre),1.0,-0.008392591480583127,106.00511251398919
2025-10-22,Kelly diario (sin cobre),1.0,-0.13376878636267772,105.87134372762651
2025-10-23,Kelly diario (sin cobre),1.0,-0.31323844948635976,105.55810527814015
2025-10-24,Kelly diario (sin cobre),1.0,-1.7820212205764436,103.77608405756371
2025-10-27,Kelly diario (sin cobre),1.0,0.9972547730188126,104.77333883058252
2025-10-28,Kelly diario (sin cobre),-1.0,-0.29762150668993925,104.47571732389258
2025-10-29,Kelly diario (sin cobre),-0.675280301335208,0.08379148152512061,104.5595088054177
2025-10-30,Kelly diario (sin cobre),1.0,0.11559286550112297,104.67510167091883
2025-10-31,Kelly diario (sin cobre),0.6311730618932299,-0.9609121365800796,103.71418953433876
2025-11-03,Kelly diario (sin cobre),1.0,1.0357678266308095,104.74995736096956
2025-11-04,Kelly diario (sin cobre),-1.0,-0.9296331427595301,103.82032421821003
2025-11-05,Kelly diario (sin cobre),-1.0,0.3258166857574993,104.14614090396753
2025-11-06,Kelly diario (sin cobre),1.0,-0.20882800772411714,103.93731289624341
2025-11-07,Kelly diario (sin cobre),1.0,-1.3245203468092905,102.61279254943412
2025-11-10,Kelly diario (sin cobre),1.0,0.8213845792363981,103.43417712867051
2025-11-11,Kelly diario (sin cobre),-1.0,0.14799234093567223,103.58216946960619
2025-11-12,Kelly diario (sin cobre),1.0,-0.7282182352531485,102.85395123435303
2025-11-13,Kelly diario (sin cobre),1.0,-0.015493006626968345,102.83845822772606
2025-11-14,Kelly diario (sin cobre),1.0,-1.2307620151103988,101.60769621261566
2025-11-17,Kelly diario (sin cobre),1.0,0.5657378753793515,102.17343408799502
2025-11-18,Kelly diario (sin cobre),-1.0,-0.9949579612274204,101.1784761267676
2025-11-19,Kelly diario (sin cobre),-1.0,-0.005427286817284964,101.17304883995033
2025-11-20,Kelly diario (sin cobre),1.0,-0.24599427215751982,100.92705456779281
2025-11-21,Kelly diario (sin cobre),1.0,0.9136204400667073,101.84067500785952
2025-11-24,Kelly diario (sin cobre),-1.0,-0.2755289884565271,101.56514601940299
2025-11-25,Kelly diario (sin cobre),-1.0,0.6132944341310899,102.17844045353408
2025-11-26,Kelly diario (sin cobre),1.0,-1.0630826041147146,101.11535784941937
2025-11-27,Kelly diario (sin cobre),1.0,0.1288920601684283,101.2442499095878
2025-11-28,Kelly diario (sin cobre),1.0,0.07536982052472262,101.31961973011252
2025-12-01,Kelly diario (sin cobre),1.0,0.18896790738190059,101.50858763749441
2025-12-02,Kelly diario (sin cobre),0.23641163362454656,-0.16280746897172843,101.34578016852268
2025-12-03,Kelly diario (sin cobre),1.0,-0.6004999927936598,100.74528017572902
2025-12-04,Kelly diario (sin cobre),1.0,-0.13382594334237982,100.61145423238665
2025-12-05,Kelly diario (sin cobre),1.0,0.4552184297174209,101.06667266210407
2025-12-08,Kelly diario (sin cobre),-1.0,-0.19422767931758203,100.87244498278649
2025-12-09,Kelly diario (sin cobre),1.0,0.27644238746213134,101.14888737024862
2025-12-10,Kelly diario (sin cobre),-1.0,0.2062069686231781,101.3550943388718
2025-12-11,Kelly diario (sin cobre),1.0,-1.1022880417242085,100.25280629714759
2025-12-12,Kelly diario (sin cobre),1.0,-0.4388631739410017,99.81394312320658
2025-12-15,Kelly diario (sin cobre),1.0,0.44764231244558933,100.26158543565218
2025-12-16,Kelly diario (sin cobre),-1.0,-0.007340026093634787,100.25424540955855
2025-12-17,Kelly diario (sin cobre),1.0,0.38669405610593016,100.64093946566447
2025-12-18,Kelly diario (sin cobre),-1.0,0.6934418072150573,101.33438127287953
2025-12-19,Kelly diario (sin cobre),1.0,-0.1063062904139741,101.22807498246556
2025-12-22,Kelly diario (sin cobre),1.0,-0.08787014324243136,101.14020483922313
2025-12-23,Kelly diario (sin cobre),1.0,-0.22577820566286996,100.91442663356025
2025-12-24,Kelly diario (sin cobre),1.0,-0.38594570872696127,100.52848092483329
2025-12-26,Kelly diario (sin cobre),1.0,0.17240035211561028,100.7008812769489
2025-12-29,Kelly diario (sin cobre),1.0,0.9843166741243994,101.6851979510733
2025-12-30,Kelly diario (sin cobre),-1.0,1.5407515321975356,103.22594948327084
2025-12-31,Kelly diario (sin cobre),1.0,-0.08602251835407894,103.13992696491675
2026-01-02,Kelly diario (sin cobre),1.0,0.6844539546269287,103.82438091954369
2026-01-05,Kelly diario (sin cobre),-1.0,0.23914099249586873,104.06352191203955
2026-01-06,Kelly diario (sin cobre),1.0,-1.2141573454138894,102.84936456662565
2026-01-07,Kelly diario (sin cobre),1.0,0.1623195108592125,103.01168407748486
2026-01-08,Kelly diario (sin cobre),1.0,0.1899395436350572,103.20162362111992
2026-01-09,Kelly diario (sin cobre),1.0,-0.2141167333531141,102.98750688776681
2026-01-12,Kelly diario (sin cobre),1.0,-1.2616895613140824,101.72581732645273
2026-01-13,Kelly diario (sin cobre),1.0,0.21642133033873534,101.94223865679146
2026-01-14,Kelly diario (sin cobre),1.0,-0.48463988317137224,101.45759877362009
2026-01-15,Kelly diario (sin cobre),1.0,0.13468542566272376,101.59228419928282
2026-01-16,Kelly diario (sin cobre),1.0,0.42363129894530777,102.01591549822813
2026-01-19,Kelly diario (sin cobre),-1.0,-0.17763432017248557,101.83828117805564
2026-01-20,Kelly diario (sin cobre),1.0,-0.3585140130997256,101.47976716495592
2026-01-21,Kelly diario (sin cobre),1.0,-1.1769971166581519,100.30277004829776
2026-01-22,Kelly diario (sin cobre),1.0,-0.3556197712972488,99.94715027700052
2026-01-23,Kelly diario (sin cobre),1.0,-0.1388100406766678,99.80834023632384
2026-01-26,Kelly diario (sin cobre),1.0,-0.6252018235612117,99.18313841276263
2026-01-27,Kelly diario (sin cobre),1.0,-0.5552331609391717,98.62790525182346
2026-01-28,Kelly diario (sin cobre),1.0,0.30858889900341896,98.93649415082689
2026-01-29,Kelly diario (sin cobre),1.0,-0.376274985420637,98.56021916540625
2026-01-30,Kelly diario (sin cobre),1.0,0.7766360510393944,99.33685521644564
2026-02-02,Kelly diario (sin cobre),-1.0,0.044400318746936424,99.38125553519258
2026-02-03,Kelly diario (sin cobre),1.0,-0.6321179514433506,98.74913758374923
2026-02-04,Kelly diario (sin cobre),1.0,-0.21011416542639552,98.53902341832284
2026-02-05,Kelly diario (sin cobre),1.0,0.9185539287161802,99.45757734703902
2026-02-06,Kelly diario (sin cobre),-1.0,0.6185200354287401,100.07609738246776
2026-02-09,Kelly diario (sin cobre),1.0,-0.98288506220129,99.09321232026647
2026-02-10,Kelly diario (sin cobre),1.0,0.3243519675917762,99.41756428785826
2026-02-11,Kelly diario (sin cobre),-1.0,0.06886761588775192,99.48643190374601
2026-02-12,Kelly diario (sin cobre),1.0,0.23794799151583282,99.72437989526185
2026-02-13,Kelly diario (sin cobre),-1.0,-0.7239239741330918,99.00045592112876
