ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2025-06-24,Umbral cobre,-1.0,321.7682674367333,take_profit,3.812554416758529,103.81255441675853
2025-06-27,Umbral cobre,-1.0,337.75158524854413,trailing_stop,1.150592087908485,104.96314650466701
2025-07-02,Umbral cobre,-1.0,330.3734700649634,cierre_periodo,-0.6656360344128882,104.29751047025412
2025-07-07,Umbral cobre,1.0,362.1056075565957,take_profit,1.9556817695002864,106.25319223975441
2025-07-10,Umbral cobre,-1.0,376.7216441516872,trailing_stop,1.0819087236330849,107.3351009633875
2025-07-15,Umbral cobre,-1.0,272.0950628956571,cierre_periodo,0.9922590916879451,108.32736005507545
2025-07-18,Umbral cobre,-1.0,304.7818426721761,cierre_periodo,4.4937606109126556,112.8211206659881
2025-07-23,Umbral cobre,-1.0,338.1128340646979,cierre_periodo,4.742180911888054,117.56330157787616
2025-07-28,Umbral cobre,1.0,361.22297890940115,take_profit,5.680951404939951,123.2442529828161
2025-07-31,Umbral cobre,1.0,309.73079262026476,stop_loss,-3.6973275894844644,119.54692539333165
2025-08-05,Umbral cobre,1.0,255.54158057161735,cierre_periodo,0.9388267004600047,120.48575209379165
2025-08-08,Umbral cobre,-1.0,282.10407523364466,take_profit,1.4130545208010694,121.89880661459271
2025-08-13,Umbral cobre,1.0,303.9557982004754,cierre_periodo,2.1522826678572646,124.05108928244998
2025-08-18,Umbral cobre,1.0,326.63857323733515,cierre_periodo,0.7355957618493528,124.78668504429933
2025-08-21,Umbral cobre,-1.0,364.6859806017785,take_profit,1.2097296181593158,125.99641466245865
2025-08-26,Umbral cobre,1.0,386.1829117645756,cierre_periodo,2.0907804737094877,128.08719513616813
2025-08-29,Umbral cobre,-1.0,433.24433343605443,cierre_periodo,-2.5981218356786857,125.48907330048945
2025-09-03,Umbral cobre,1.0,460.9717397602845,cierre_periodo,-3.276342443223939,122.21273085726551
2025-09-08,Umbral cobre,-1.0,477.28790746544445,take_profit,1.0171044336208779,123.22983529088638
2025-09-11,Umbral cobre,-1.0,514.0478018587139,trailing_stop,7.933992524752728,131.1638278156391
2025-09-16,Umbral cobre,1.0,468.95302505852044,cierre_periodo,1.732905463513066,132.8967332791522
2025-09-19,Umbral cobre,-1.0,513.180205529568,take_profit,2.36989869267409,135.26663197182629
2025-09-24,Umbral cobre,-1.0,551.8502730984856,stop_loss,-4.057998959154769,131.20863301267153
2025-09-29,Umbral cobre,-1.0,564.9444934911745,cierre_periodo,-0.02353843751354714,131.185094575158
2025-10-02,Umbral cobre,-1.0,601.5122843071996,trailing_stop,3.7710383418563973,134.9561329170144
2025-10-07,Umbral cobre,-1.0,498.4299043947401,cierre_periodo,5.687113456440258,140.64324637345464
2025-10-10,Umbral cobre,1.0,545.7860215479699,take_profit,5.440459674016973,146.08370604747162
2025-10-15,Umbral cobre,1.0,578.7345604286608,cierre_periodo,-0.12043363324418957,145.96327241422745
2025-10-20,Umbral cobre,-1.0,614.8832952215172,take_profit,4.177672731794336,150.14094514602178
2025-10-23,Umbral cobre,-1.0,644.8401666843754,trailing_stop,8.346700660049319,158.4876458060711
2025-10-28,Umbral cobre,0.0,0.0,plano,0.0,158.4876458060711
2025-10-31,Umbral cobre,1.0,641.6201061429489,stop_loss,-5.0754394272536,153.4122063788175
2025-11-05,Umbral cobre,-1.0,552.5215417997002,take_profit,4.914492560899968,158.32669893971746
2025-11-10,Umbral cobre,-1.0,569.9521112836592,cierre_periodo,0.2915024295868285,158.6182013693043
2025-11-13,Umbral cobre,1.0,595.9457936017014,stop_loss,-5.056518937879959,153.56168243142434
2025-11-18,Umbral cobre,1.0,576.0720521698516,cierre_periodo,4.229924528061659,157.791606959486
2025-11-21,Umbral cobre,-1.0,624.7547617045011,stop_loss,-5.046125589636866,152.74548136984913
2025-11-26,Umbral cobre,-1.0,619.4269232215943,cierre_periodo,4.89601044821789,157.641491818067
2025-12-01,Umbral cobre,-1.0,661.2812626800999,cierre_periodo,6.501807776350499,164.1432995944175
2025-12-04,Umbral cobre,1.0,717.8491954076693,cierre_periodo,2.9549994458796967,167.0982990402972
2025-12-09,Umbral cobre,1.0,792.4351773990653,trailing_stop,-2.8575134943073905,164.2407855459898
2025-12-12,Umbral cobre,1.0,759.4828514612171,trailing_stop,-4.8611471281095655,159.37963841788024
2026-01-07,Umbral cobre,1.0,667.0009803691548,cierre_periodo,0.8958836451724754,160.27552206305273
2026-01-12,Umbral cobre,-1.0,736.1780366442114,cierre_periodo,10.568040865334334,170.84356292838706
2026-01-15,Umbral cobre,1.0,750.1030567338848,cierre_periodo,4.688915187594659,175.53247811598172
2026-01-20,Umbral cobre,1.0,838.0194498041723,stop_loss,-5.265974343479442,170.2665037725023
2026-01-23,Umbral cobre,-1.0,775.1772001147438,cierre_periodo,9.844305576493047,180.11080934899533
