modelo,RMSE,MAE,mejora_vs_naive_%
GARCH,0.006530201262028372,0.005226373361498521,37.4212120019012
EGARCH,0.00660897090316482,0.005446956717318752,36.6663641073919
MediaMovil,0.008847307010225514,0.006815184052886007,15.216433991649577
Naive,0.010435167364102299,0.00809497830791854,0.0
