unique_id,ds,y,y_next,nhits_h1,nhits_h2,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana
USDCLP,2019-12-15,767.9000244140625,753.7999877929688,773.60223,785.17615,0.044178650379862176,5.402868616601538,61.191670316428535,711.6738891601562,828.4000244140625
USDCLP,2019-12-22,753.7999877929688,746.5,770.3153,779.6442,0.038145738928153226,2.25365022638265,59.235832285088,711.6738891601562,828.4000244140625
USDCLP,2019-12-29,746.5,749.2999877929688,728.4019,748.57043,0.03297988240806316,-0.4956249872848346,56.226290879640146,711.6738891601562,828.4000244140625
USDCLP,2020-01-05,749.2999877929688,767.7999877929688,756.93494,762.9482,0.031410273096715284,-2.2044155403039483,54.79007042067674,711.6738891601562,828.4000244140625
USDCLP,2020-01-12,767.7999877929688,776.5999755859375,778.8412,762.21155,0.031445420695814824,-2.1645104312490204,60.48367511535705,724.6680908203125,828.4000244140625
USDCLP,2020-01-19,776.5999755859375,776.5,750.52515,762.2713,0.027480371520336257,-1.6447474117748193,61.495600409101215,742.584716796875,828.4000244140625
USDCLP,2020-01-26,776.5,796.7999877929688,779.3341,782.9108,0.024017011782432488,-1.4156917456457592,63.31031883027809,742.584716796875,828.4000244140625
USDCLP,2020-02-02,796.7999877929688,783.2999877929688,800.8848,811.0148,0.022393276086261436,-0.07574864051031227,64.37898421243844,746.5,828.4000244140625
USDCLP,2020-02-09,783.2999877929688,793.5999755859375,799.411,769.9986,0.02221462554379674,-0.26662845333253316,58.04051446144652,746.5,828.4000244140625
USDCLP,2020-02-16,793.5999755859375,807.2999877929688,778.1822,772.527,0.019723780680971935,0.11247514105449241,60.0380802225918,746.5,828.4000244140625
USDCLP,2020-02-23,807.2999877929688,814.0,793.935,796.9805,0.018562079189572166,1.0456853172404657,50.95468999511534,746.5,807.2999877929688
USDCLP,2020-03-01,814.0,824.9000244140625,817.16394,826.0748,0.016453839131070503,1.8281713694952657,54.02022417562138,746.5,814.0
USDCLP,2020-03-08,824.9000244140625,851.0,819.83746,830.5634,0.015447106293326901,2.7390354437316766,49.06666666666667,746.5,824.9000244140625
USDCLP,2020-03-15,851.0,861.7999877929688,857.1777,859.2964,0.01785771496677425,4.646397933253102,70.14734586036583,746.5,851.0
USDCLP,2020-03-22,861.7999877929688,828.9000244140625,859.3423,866.15753,0.02355523293698415,6.091359672479417,78.64551078691427,749.2999877929688,861.7999877929688
USDCLP,2020-03-29,828.9000244140625,862.4000244140625,853.1919,832.0387,0.025435169257720745,4.368038063971596,70.55284120994669,767.7999877929688,861.7999877929688
USDCLP,2020-04-05,862.4000244140625,841.7999877929688,838.6695,829.4306,0.028542072285491316,4.976772097433376,77.7405645272505,776.5,862.4000244140625
USDCLP,2020-04-12,841.7999877929688,852.2000122070312,835.5973,837.47675,0.028276091002838847,3.551401564021141,70.40141595131402,776.5,862.4000244140625
USDCLP,2020-04-19,852.2000122070312,859.9000244140625,862.87933,861.2202,0.02526142553131906,2.8960710848503304,69.30467379692881,783.2999877929688,862.4000244140625
USDCLP,2020-04-26,859.9000244140625,834.5999755859375,867.5547,865.0519,0.0215138288767657,2.5788310969742554,69.14943651221265,783.2999877929688,862.4000244140625
USDCLP,2020-05-03,834.5999755859375,838.0,837.8927,869.28076,0.021244492611573348,0.3782654447013769,61.969501040891785,793.5999755859375,862.4000244140625
USDCLP,2020-05-10,838.0,821.7999877929688,850.7168,835.2484,0.019219607920290337,-1.0566654779311477,59.12311606756464,807.2999877929688,862.4000244140625
USDCLP,2020-05-17,821.7999877929688,804.2000122070312,818.391,826.64087,0.019242540501827842,-3.1849101282925645,58.42450315806682,814.0,862.4000244140625
USDCLP,2020-05-24,804.2000122070312,808.0999755859375,839.3106,825.6665,0.020552036934791365,-5.71822762799464,52.2476742329,804.2000122070312,862.4000244140625
USDCLP,2020-05-31,808.0999755859375,770.4000244140625,812.6858,794.73663,0.02170128091633157,-6.9875273782538585,50.17698840197311,804.2000122070312,862.4000244140625
USDCLP,2020-06-07,770.4000244140625,792.2999877929688,764.0967,772.4553,0.025919229051561188,-10.036909874247172,41.51751447744406,770.4000244140625,862.4000244140625
USDCLP,2020-06-14,792.2999877929688,817.0,810.62463,810.7476,0.02643545788046837,-10.215756621802676,43.91790223031166,770.4000244140625,862.4000244140625
USDCLP,2020-06-21,817.0,808.5999755859375,812.3113,801.61005,0.02850803177057017,-8.384055381156458,43.623405267522195,770.4000244140625,862.4000244140625
USDCLP,2020-06-28,808.5999755859375,800.5999755859375,800.00385,793.4265,0.02514758897800192,-7.481460469373884,39.93186795060727,770.4000244140625,859.9000244140625
USDCLP,2020-07-05,800.5999755859375,788.0999755859375,803.9305,804.9231,0.02526754055873808,-7.165946536156172,44.08691118812699,770.4000244140625,859.9000244140625
USDCLP,2020-07-12,788.0999755859375,788.9000244140625,781.17816,787.3988,0.022656392213362,-7.505790193897328,32.98212729979187,770.4000244140625,859.9000244140625
USDCLP,2020-07-19,788.9000244140625,769.9000244140625,803.40314,800.4679,0.020471584627468013,-7.37269886817244,36.675076293921855,770.4000244140625,838.0
USDCLP,2020-07-26,769.9000244140625,761.0,775.9462,785.0561,0.020515571658704043,-8.196946911923934,30.130378261703726,769.9000244140625,838.0
USDCLP,2020-08-02,761.0,773.0,768.5254,772.7364,0.019510435101644946,-8.91478893466488,26.26020133685421,761.0,821.7999877929688
USDCLP,2020-08-09,773.0,793.0,787.4582,778.9114,0.020201596082555416,-8.174197920757692,34.205134465144226,761.0,817.0
USDCLP,2020-08-16,793.0,785.9000244140625,792.03406,785.10864,0.024103797384933356,-6.029140377667215,39.36672845178943,761.0,817.0
USDCLP,2020-08-23,785.9000244140625,783.9000244140625,780.82294,772.2205,0.0245040479754709,-4.831953384991093,41.13580883964145,761.0,817.0
USDCLP,2020-08-30,783.9000244140625,775.2999877929688,789.86694,807.41504,0.021784858483259572,-3.955150283834562,44.56929059108102,761.0,817.0
USDCLP,2020-09-06,775.2999877929688,772.5999755859375,787.7869,777.82,0.01948760668520859,-3.737305397153994,41.44050586539457,761.0,817.0
USDCLP,2020-09-13,772.5999755859375,760.7000122070312,771.2005,771.74744,0.01833631407015668,-3.5588586925443035,50.702410536391895,761.0,808.5999755859375
USDCLP,2020-09-20,760.7000122070312,782.7999877929688,759.448,768.0216,0.016275041351999097,-3.9934685084940824,39.22238931244318,760.7000122070312,800.5999755859375
USDCLP,2020-09-27,782.7999877929688,786.5999755859375,778.1179,778.098,0.016542312800182667,-2.6106487127354,38.12500079472826,760.7000122070312,793.0
USDCLP,2020-10-04,786.5999755859375,798.0999755859375,791.6211,791.24677,0.014649423905608562,-1.3231012168582446,42.10904011944324,760.7000122070312,793.0
USDCLP,2020-10-11,798.0999755859375,803.5999755859375,801.7477,801.54504,0.014541984853389804,0.3316484856084827,49.12526257072005,760.7000122070312,798.0999755859375
USDCLP,2020-10-18,803.5999755859375,778.2999877929688,806.1903,803.17975,0.013351174250438944,1.7461468266388351,55.70272156566151,760.7000122070312,803.5999755859375
USDCLP,2020-10-25,778.2999877929688,771.5,777.6284,775.24603,0.01455515148301176,0.9663468399917754,46.69574842855366,760.7000122070312,803.5999755859375
USDCLP,2020-11-01,771.5,755.5999755859375,772.4567,762.2527,0.01279754240122199,0.03050585674431261,50.539803007115005,760.7000122070312,803.5999755859375
USDCLP,2020-11-08,755.5999755859375,760.5999755859375,768.0011,767.75024,0.013809596582381576,-1.5348928762415994,48.26030086566127,755.5999755859375,803.5999755859375
USDCLP,2020-11-15,760.5999755859375,758.7000122070312,765.5309,767.1384,0.014003641376327567,-2.0755363587419646,45.816454622282045,755.5999755859375,803.5999755859375
USDCLP,2020-11-22,758.7000122070312,765.7999877929688,751.9143,745.54736,0.013395126197174749,-2.381150654392349,36.817828469986964,755.5999755859375,803.5999755859375
USDCLP,2020-11-29,765.7999877929688,750.0999755859375,750.2914,745.608,0.015222476235226722,-1.9436501993790944,42.27515379602798,755.5999755859375,803.5999755859375
USDCLP,2020-12-06,750.0999755859375,734.2999877929688,745.5758,754.341,0.014952038396777601,-2.5139262960160194,38.24754310026494,750.0999755859375,803.5999755859375
USDCLP,2020-12-13,734.2999877929688,721.4000244140625,738.52515,753.10406,0.015248686513330991,-3.686612857818428,36.423830084454934,734.2999877929688,803.5999755859375
USDCLP,2020-12-20,721.4000244140625,714.2999877929688,735.93396,735.21533,0.016494900362856113,-4.9819291416663845,34.119105008598694,721.4000244140625,803.5999755859375
USDCLP,2020-12-27,714.2999877929688,710.0,720.10345,728.76184,0.015952789449215757,-5.904712139300351,35.16622334198129,714.2999877929688,803.5999755859375
USDCLP,2021-01-03,710.0,712.2999877929688,714.37463,719.96466,0.014375997564829894,-6.353474072589659,23.73736194970894,710.0,803.5999755859375
USDCLP,2021-01-10,712.2999877929688,726.0,720.5619,710.14746,0.019946790441947075,-6.045928068239602,22.90297808119773,710.0,778.2999877929688
USDCLP,2021-01-17,726.0,716.9000244140625,713.76764,720.65656,0.025769981223180242,-4.539162151837614,24.12059817113513,710.0,771.5
USDCLP,2021-01-24,716.9000244140625,735.5,722.7993,724.12476,0.026256576787879245,-3.8044318737588103,19.664097123273166,710.0,765.7999877929688
USDCLP,2021-01-31,735.5,735.2000122070312,737.9411,750.9293,0.023974504935334515,-1.8156971107761422,34.28780384844448,710.0,765.7999877929688
USDCLP,2021-02-07,735.2000122070312,725.7999877929688,740.88635,749.075,0.020388404796677462,-0.34724256135152487,36.006160932478686,710.0,765.7999877929688
USDCLP,2021-02-14,725.7999877929688,710.5,733.1761,726.62714,0.019153761578429337,0.13817997395464943,37.90583832505907,710.0,765.7999877929688
USDCLP,2021-02-21,710.5,715.5,711.9655,709.0982,0.017297955099942367,-0.3948263836806838,31.23594704246679,710.0,750.0999755859375
USDCLP,2021-02-28,715.5,731.5999755859375,713.5201,708.6153,0.01973930819936366,-0.2418254814785783,34.187394132310544,710.0,735.5
USDCLP,2021-03-07,731.5999755859375,712.7999877929688,733.24384,737.6222,0.018564003510701584,1.0420566004210006,38.25548342093868,710.0,735.5
USDCLP,2021-03-14,712.7999877929688,720.0999755859375,708.48224,732.78046,0.020289510684152853,0.7378406887555649,37.45796390344535,710.0,735.5
USDCLP,2021-03-21,720.0999755859375,724.7000122070312,730.692,730.4305,0.019641994850521628,1.118141001490038,44.93579766960451,710.0,735.5
USDCLP,2021-03-28,724.7000122070312,716.5999755859375,734.44556,736.5026,0.01869488912775064,1.7326938058553605,51.2509434075766,710.5,735.5
USDCLP,2021-04-04,716.5999755859375,707.7000122070312,715.2092,717.73944,0.018709411474581664,1.6474174959437171,50.865307910737094,710.5,735.5
USDCLP,2021-04-11,707.7000122070312,698.0,705.9929,709.0295,0.017388945775380256,1.0731679256038582,49.16364043130346,707.7000122070312,735.5
USDCLP,2021-04-18,698.0,706.2999877929688,702.52264,704.1138,0.01815101903312253,0.16903928606039287,45.06556542199566,698.0,735.5
USDCLP,2021-04-25,706.2999877929688,708.9000244140625,709.5854,712.39465,0.017579412314729752,0.2538774280383098,42.93906063571972,698.0,735.2000122070312
USDCLP,2021-05-02,708.9000244140625,699.7000122070312,706.19556,705.4832,0.020708962082552174,0.5897972279360051,46.99248120300752,698.0,731.5999755859375
USDCLP,2021-05-09,699.7000122070312,707.2000122070312,695.67474,696.68994,0.01869459052965772,0.3110848594346436,35.517808581757706,698.0,731.5999755859375
USDCLP,2021-05-16,707.2000122070312,720.7000122070312,705.84033,711.7381,0.017269180286412035,0.7267902575502951,39.296640081230855,698.0,731.5999755859375
USDCLP,2021-05-23,720.7000122070312,724.2000122070312,718.1017,714.07,0.020469447106668072,1.9372007756783134,48.10972028800988,698.0,731.5999755859375
