ds,retorno_neto,posicion,valor_portafolio
2025-08-24,-0.003189514309389746,1.0,0.9968104856906103
2025-08-31,0.004050322250512289,1.0,1.000847889380347
2025-09-07,-0.019964150466038916,1.0,0.9808668115231403
2025-09-14,0.002856091969699174,1.0,0.9836682573468759
2025-09-21,0.0042615200454659795,1.0,0.9878601793436481
2025-09-28,-0.0005,0.0,0.9873662492539763
2025-10-05,0.01095116235134952,-1.0,0.9981790573497997
2025-10-12,-0.004745016756316024,-1.0,0.9934426809968712
2025-10-19,-0.0005,0.0,0.9929459596563728
2025-10-26,0.004695664875780431,-1.0,0.9976085011226792
2025-11-02,-0.0005,0.0,0.9971096968721179
2025-11-09,-0.0,0.0,0.9971096968721179
2025-11-16,0.00032853033980120275,1.0,0.9974372776596505
2025-11-23,-0.0005,0.0,0.9969385590208207
2025-11-30,-0.0,0.0,0.9969385590208207
2025-12-07,-0.0,0.0,0.9969385590208207
2025-12-14,-0.0,0.0,0.9969385590208207
2025-12-21,0.006956337249930059,-1.0,1.003873599854829
2025-12-28,-0.0005,0.0,1.0033716630549017
2026-01-04,-0.00400142764080305,1.0,0.9993567439483553
2026-01-11,0.01459412890387669,-1.0,1.013941485090496
2026-01-18,0.01275907314480819,-1.0,1.026878438663321
2026-01-25,-0.0005,0.0,1.0263649994439894
2026-02-01,0.0,0.0,1.0263649994439894
2026-02-08,-0.0,0.0,1.0263649994439894
2026-02-15,-0.010317810116042398,-1.0,1.0157751602699743
2026-02-22,-0.0001733640557677664,-1.0,1.0155990613684418
2026-03-01,-0.04681161020377857,-1.0,0.968057233984339
2026-03-08,0.010074706555522436,1.0,0.9778101265456819
2026-03-15,-0.0005,0.0,0.9773212214824091
2026-03-22,0.0,0.0,0.9773212214824091
2026-03-29,-0.01293478546244668,1.0,0.9646797811546378
2026-04-05,-0.027146759282937808,1.0,0.9384918513505157
2026-04-12,0.005168547172696731,-1.0,0.9433424907554124
2026-04-19,0.008423075466018837,1.0,0.9512883357453474
2026-04-26,0.006707883100070447,1.0,0.9576694666959877
2026-05-03,-0.011105312031884392,1.0,0.9470342484449205
2026-05-10,0.004301118752853087,1.0,0.9511075552105009
2026-05-17,0.004517543461529458,1.0,0.9554042249277533
2026-05-24,-0.008204083010908182,1.0,0.9475660093574737
2026-05-31,-0.006230293200577737,-1.0,0.9416623952922752
2026-06-07,-0.011600788932698796,-1.0,0.93073836859863
2026-06-14,-0.007445803326167362,1.0,0.9238082737579267
2026-06-21,-0.02282899483874651,-1.0,0.9027186594443156
2026-06-28,0.0043379135854529,1.0,0.9066345749809609
2026-07-05,-0.0034007091309186097,-1.0,0.9035513745034166
2026-07-12,-0.0040530087843716565,1.0,0.8998892728454232
2026-07-19,0.019218085844834514,1.0,0.9171834221418123
2026-07-26,-0.01787897375868714,1.0,0.9007851238054359
2026-08-02,0.009453470664031356,-1.0,0.9093006695479264
2026-08-09,-0.0025075759525565074,1.0,0.9070205290553246
2026-08-16,0.009048161412746171,1.0,0.9152273972068916
