ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2025-06-24,PPO TP adaptativo (h1/h2/h3),-1.0,321.7682674367333,take_profit,3.812554416758529,103.81255441675853
2025-06-27,PPO TP adaptativo (h1/h2/h3),-1.0,337.75158524854413,trailing_stop,1.150592087908485,104.96314650466701
2025-07-02,PPO TP adaptativo (h1/h2/h3),-1.0,330.3734700649634,cierre_periodo,-0.6656360344128882,104.29751047025412
2025-07-07,PPO TP adaptativo (h1/h2/h3),-1.0,362.1056075565957,stop_loss,-3.128925314107609,101.16858515614652
2025-07-10,PPO TP adaptativo (h1/h2/h3),-1.0,358.6941242247574,trailing_stop,1.2094824635135153,102.37806761966003
2025-07-15,PPO TP adaptativo (h1/h2/h3),-1.0,259.5289564930789,cierre_periodo,0.9464338084491314,103.32450142810916
2025-07-18,PPO TP adaptativo (h1/h2/h3),-1.0,290.70616991342007,cierre_periodo,4.286226253679214,107.61072768178838
2025-07-23,PPO TP adaptativo (h1/h2/h3),-1.0,322.4978434664908,cierre_periodo,4.523173814571068,112.13390149635944
2025-07-28,PPO TP adaptativo (h1/h2/h3),1.0,344.54069757828984,take_profit,5.418589276562315,117.55249077292176
2025-07-31,PPO TP adaptativo (h1/h2/h3),0.0,0.0,plano,0.0,117.55249077292176
2025-08-05,PPO TP adaptativo (h1/h2/h3),1.0,251.27830927819497,cierre_periodo,0.7975248387474967,118.35001561166925
2025-08-08,PPO TP adaptativo (h1/h2/h3),-1.0,277.10348425287145,take_profit,1.3880066455223932,119.73802225719164
2025-08-13,PPO TP adaptativo (h1/h2/h3),-1.0,298.5678624828642,trailing_stop,-2.4136485477168867,117.32437370947476
2025-08-18,PPO TP adaptativo (h1/h2/h3),-1.0,308.9264774384244,cierre_periodo,-0.6957078133011522,116.6286658961736
2025-08-21,PPO TP adaptativo (h1/h2/h3),-1.0,340.84437272713905,cierre_periodo,1.28465212677289,117.91331802294648
2025-08-26,PPO TP adaptativo (h1/h2/h3),-1.0,361.4079703133935,cierre_periodo,-2.137353811845208,115.77596421110128
2025-08-29,PPO TP adaptativo (h1/h2/h3),-1.0,391.60261405702005,cierre_periodo,-2.152599408154916,113.62336480294637
2025-09-03,PPO TP adaptativo (h1/h2/h3),-1.0,417.3842293441127,cierre_periodo,2.7578534406879274,116.3812182436343
2025-09-08,PPO TP adaptativo (h1/h2/h3),-1.0,454.5135988218624,cierre_periodo,2.5012833421909773,118.88250158582527
2025-09-11,PPO TP adaptativo (h1/h2/h3),-1.0,495.9130917882361,trailing_stop,7.654095103506144,126.53659668933142
2025-09-16,PPO TP adaptativo (h1/h2/h3),-1.0,452.4091800788132,cierre_periodo,-2.1241807606208285,124.41241592871059
2025-09-19,PPO TP adaptativo (h1/h2/h3),-1.0,480.4180479185748,take_profit,2.4588099977134656,126.87122592642405
2025-09-24,PPO TP adaptativo (h1/h2/h3),-1.0,517.5993491907116,stop_loss,-3.8061367777927044,123.06508914863134
2025-09-29,PPO TP adaptativo (h1/h2/h3),-1.0,529.8808688053733,cierre_periodo,-0.02207751002744165,123.0430116386039
2025-10-02,PPO TP adaptativo (h1/h2/h3),-1.0,564.1790573727978,trailing_stop,3.5369865462941403,126.57999818489805
2025-10-07,PPO TP adaptativo (h1/h2/h3),-1.0,467.4945482646603,cierre_periodo,5.334139289810369,131.9141374747084
2025-10-10,PPO TP adaptativo (h1/h2/h3),1.0,511.91147911274277,take_profit,5.102794224887415,137.01693169959583
2025-10-15,PPO TP adaptativo (h1/h2/h3),1.0,542.8150468244631,cierre_periodo,-0.11295884631507744,136.90397285328075
2025-10-20,PPO TP adaptativo (h1/h2/h3),-1.0,576.7201883364813,cierre_periodo,6.255400873083637,143.15937372636438
2025-10-23,PPO TP adaptativo (h1/h2/h3),-1.0,614.8550239000919,trailing_stop,7.95857810813677,151.11795183450116
2025-10-28,PPO TP adaptativo (h1/h2/h3),-1.0,554.9114724863834,cierre_periodo,-1.2516327072934172,149.86631912720773
2025-10-31,PPO TP adaptativo (h1/h2/h3),1.0,606.7175967981261,stop_loss,-4.799348372215288,145.06697075499244
2025-11-05,PPO TP adaptativo (h1/h2/h3),1.0,522.4657687787975,stop_loss,-4.352009122649793,140.71496163234264
2025-11-10,PPO TP adaptativo (h1/h2/h3),-1.0,506.55252720256016,cierre_periodo,0.005800401735265803,140.7207620340779
2025-11-13,PPO TP adaptativo (h1/h2/h3),-1.0,528.7031720362431,cierre_periodo,3.4980821795046944,144.2188442135826
2025-11-18,PPO TP adaptativo (h1/h2/h3),1.0,541.0232828413018,cierre_periodo,3.702060271629065,147.92090448521165
2025-11-21,PPO TP adaptativo (h1/h2/h3),1.0,585.6730355531561,cierre_periodo,3.0286360234409813,150.94954050865263
2025-11-26,PPO TP adaptativo (h1/h2/h3),-1.0,612.1438657330048,cierre_periodo,4.532372522944,155.48191303159663
2025-12-01,PPO TP adaptativo (h1/h2/h3),-1.0,652.2221693519142,cierre_periodo,6.412737532307646,161.8946505639043
2025-12-04,PPO TP adaptativo (h1/h2/h3),-1.0,708.0151607483402,cierre_periodo,-3.2685255892682394,158.62612497463604
2025-12-09,PPO TP adaptativo (h1/h2/h3),-1.0,752.2573371862279,cierre_periodo,6.912540779667991,165.53866575430402
2025-12-12,PPO TP adaptativo (h1/h2/h3),1.0,765.4845139483315,trailing_stop,-5.282303635394962,160.25636211890907
2026-01-07,PPO TP adaptativo (h1/h2/h3),1.0,670.670053620318,cierre_periodo,0.9008117679420066,161.15717388685107
2026-01-12,PPO TP adaptativo (h1/h2/h3),-1.0,740.227642599588,cierre_periodo,10.626174087319606,171.78334797417068
2026-01-15,PPO TP adaptativo (h1/h2/h3),-1.0,754.2292621549844,cierre_periodo,-5.091822844167037,166.69152513000364
2026-01-20,PPO TP adaptativo (h1/h2/h3),1.0,795.8113602439113,stop_loss,-5.398651434022056,161.2928736959816
2026-01-23,PPO TP adaptativo (h1/h2/h3),-1.0,734.3226968304274,cierre_periodo,9.32547683069516,170.61835052667675
2026-01-28,PPO TP adaptativo (h1/h2/h3),-1.0,800.1114217222862,trailing_stop,-4.5659395144059545,166.0524110122708
2026-02-02,PPO TP adaptativo (h1/h2/h3),1.0,792.6990800398719,stop_loss,-5.37792187038808,160.6744891418827
2026-02-05,PPO TP adaptativo (h1/h2/h3),1.0,810.6155475939985,take_profit,3.6193703474924885,164.2938594893752
2026-02-10,PPO TP adaptativo (h1/h2/h3),1.0,743.0221209122155,cierre_periodo,3.696055181012399,167.9899146703876
2026-02-13,PPO TP adaptativo (h1/h2/h3),-1.0,824.4146196593763,stop_loss,-5.451904749941242,162.53800992044637
2026-02-18,PPO TP adaptativo (h1/h2/h3),-1.0,829.9715334404895,take_profit,3.6605729319651394,166.1985828524115
2026-02-23,PPO TP adaptativo (h1/h2/h3),-1.0,893.4930360373805,cierre_periodo,10.178637643615058,176.37722049602655
2026-02-26,PPO TP adaptativo (h1/h2/h3),-1.0,955.8452162026739,stop_loss,-5.291316614880947,171.0859038811456
2026-03-03,PPO TP adaptativo (h1/h2/h3),-1.0,764.7718102798324,stop_loss,-5.132577116434439,165.95332676471116
2026-03-06,PPO TP adaptativo (h1/h2/h3),-1.0,579.4733685524712,stop_loss,-4.9785998029413125,160.97472696176985
2026-03-11,PPO TP adaptativo (h1/h2/h3),-1.0,430.3992202942153,stop_loss,-4.829241808853044,156.1454851529168
2026-03-16,PPO TP adaptativo (h1/h2/h3),-1.0,402.66282651009624,cierre_periodo,0.6940189722827792,156.83950412519957
2026-03-19,PPO TP adaptativo (h1/h2/h3),1.0,431.44157199032054,trailing_stop,0.8706850158499836,157.71018914104954
2026-03-24,PPO TP adaptativo (h1/h2/h3),1.0,400.6577696357799,cierre_periodo,7.43727495825138,165.14746409930092
2026-03-27,PPO TP adaptativo (h1/h2/h3),-1.0,441.5545545090126,cierre_periodo,0.697498956891937,165.84496305619285
2026-04-01,PPO TP adaptativo (h1/h2/h3),-1.0,476.27293760327433,take_profit,6.041697162525544,171.8866602187184
2026-04-06,PPO TP adaptativo (h1/h2/h3),-1.0,505.92426883618026,cierre_periodo,12.18352870174468,184.07018892046307
2026-04-09,PPO TP adaptativo (h1/h2/h3),-1.0,508.2436391328326,cierre_periodo,1.3254937639742528,185.39568268443733
2026-04-14,PPO TP adaptativo (h1/h2/h3),-1.0,561.339986307137,cierre_periodo,5.501192954442801,190.89687563888015
2026-04-17,PPO TP adaptativo (h1/h2/h3),-1.0,619.1793534949022,trailing_stop,-2.2713292071236078,188.62554643175653
2026-04-22,PPO TP adaptativo (h1/h2/h3),-1.0,602.4931389171284,cierre_periodo,-2.8167657980289604,185.80878063372757
2026-04-27,PPO TP adaptativo (h1/h2/h3),1.0,649.5664061763058,cierre_periodo,5.735148869168099,191.54392950289565
2026-04-30,PPO TP adaptativo (h1/h2/h3),-1.0,656.5212509798986,trailing_stop,-2.2524313757000085,189.29149812719564
2026-05-05,PPO TP adaptativo (h1/h2/h3),-1.0,647.0734751344097,cierre_periodo,15.081726613931544,204.3732247411272
2026-05-08,PPO TP adaptativo (h1/h2/h3),-1.0,704.7380932676888,stop_loss,-6.131196742233821,198.24202799889338
2026-05-13,PPO TP adaptativo (h1/h2/h3),-1.0,644.3638590391404,take_profit,14.498936015879366,212.74096401477274
2026-05-18,PPO TP adaptativo (h1/h2/h3),-1.0,561.7064934217049,cierre_periodo,-0.0,212.74096401477274
2026-05-21,PPO TP adaptativo (h1/h2/h3),1.0,606.1363810236819,cierre_periodo,-0.9917317809756593,211.74923223379707
2026-05-26,PPO TP adaptativo (h1/h2/h3),-1.0,670.954927053818,cierre_periodo,3.959462468516089,215.70869470231315
2026-05-29,PPO TP adaptativo (h1/h2/h3),-1.0,751.9845075560489,cierre_periodo,0.9874732611341811,216.69616796344732
2026-06-03,PPO TP adaptativo (h1/h2/h3),-1.0,832.5222520305842,stop_loss,-6.500885038903482,210.19528292454385
2026-06-08,PPO TP adaptativo (h1/h2/h3),-1.0,696.1304962148354,stop_loss,-6.305858487736392,203.88942443680745
2026-06-11,PPO TP adaptativo (h1/h2/h3),1.0,704.0397580729566,stop_loss,-6.468702612140713,197.42072182466674
2026-06-16,PPO TP adaptativo (h1/h2/h3),-1.0,663.8312505771528,trailing_stop,-2.710019285270483,194.71070253939627
2026-06-19,PPO TP adaptativo (h1/h2/h3),-1.0,639.475130402091,stop_loss,-5.841321076181959,188.8693814632143
2026-06-24,PPO TP adaptativo (h1/h2/h3),1.0,658.0650945421128,cierre_periodo,5.808801906134143,194.67818336934843
2026-06-29,PPO TP adaptativo (h1/h2/h3),1.0,740.3168750152415,cierre_periodo,2.4650790709363077,197.14326244028473
2026-07-02,PPO TP adaptativo (h1/h2/h3),-1.0,823.6581673398567,trailing_stop,-2.541754582591862,194.60150785769287
2026-07-07,PPO TP adaptativo (h1/h2/h3),-1.0,851.0823147498126,trailing_stop,-4.831052644069842,189.77045521362302
2026-07-10,PPO TP adaptativo (h1/h2/h3),-1.0,815.1299771258773,cierre_periodo,1.6796043845397275,191.45005959816274
2026-07-15,PPO TP adaptativo (h1/h2/h3),-1.0,871.494506591915,trailing_stop,-4.871068961071884,186.57899063709087
2026-07-20,PPO TP adaptativo (h1/h2/h3),-1.0,847.8849175956403,cierre_periodo,-1.7793454929700105,184.79964514412086
2026-07-23,PPO TP adaptativo (h1/h2/h3),-1.0,925.4784668540822,stop_loss,-5.5439893543236405,179.25565578979723
2026-07-28,PPO TP adaptativo (h1/h2/h3),1.0,894.1000083851808,stop_loss,-5.824719677886497,173.43093611191074
2026-07-31,PPO TP adaptativo (h1/h2/h3),-1.0,815.7181701688842,cierre_periodo,8.930476848205323,182.36141296011607
2026-08-05,PPO TP adaptativo (h1/h2/h3),-1.0,832.6112089249134,cierre_periodo,1.7845900585706644,184.14600301868674
2026-08-10,PPO TP adaptativo (h1/h2/h3),-1.0,914.6428980770544,cierre_periodo,-1.5937608450479814,182.55224217363877
2026-08-13,PPO TP adaptativo (h1/h2/h3),-1.0,989.3009282053551,cierre_periodo,-0.7575428280477807,181.794699345591
2026-08-18,PPO TP adaptativo (h1/h2/h3),1.0,1077.5432756441203,take_profit,5.608783721498428,187.40348306708944
2026-08-21,PPO TP adaptativo (h1/h2/h3),-1.0,1091.8258081058866,take_profit,5.999204889423275,193.40268795651272
2026-08-26,PPO TP adaptativo (h1/h2/h3),-1.0,1079.8573134144467,stop_loss,-5.802080638695446,187.60060731781726
2026-08-31,PPO TP adaptativo (h1/h2/h3),-1.0,962.039449465368,stop_loss,-5.628018219534521,181.97258909828275
2026-09-03,PPO TP adaptativo (h1/h2/h3),-1.0,1012.9749135388021,take_profit,6.74204787139034,188.71463696967308
