ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,cierre_periodo,3,1.5382490104232962,101.5382490104233
2025-06-25,-1.0,cierre_periodo,3,5.487300150442725,107.02554916086602
2025-06-30,-1.0,stop_loss,1,-3.2107664748259435,103.81478268604008
2025-07-03,-1.0,stop_loss,3,-3.1144434805812,100.70033920545887
2025-07-08,-1.0,stop_loss,3,-3.021010176163761,97.67932902929512
2025-07-11,-1.0,trailing_stop,2,1.5450197716719523,99.22434880096706
2025-07-16,1.0,cierre_periodo,3,-1.0606597410181746,98.1636890599489
2025-07-21,-1.0,cierre_periodo,3,4.408478099460173,102.57216715940906
2025-07-24,-1.0,trailing_stop,3,0.6977064079803919,103.26987356738945
2025-07-29,-1.0,stop_loss,2,-3.098096207021687,100.17177736036777
2025-08-01,1.0,stop_loss,1,-3.13247163765958,97.03930572270819
2025-08-06,1.0,take_profit,1,1.1826971883981705,98.22200291110636
2025-08-11,1.0,trailing_stop,2,-2.725499364967639,95.49650354613873
2025-08-14,-1.0,stop_loss,1,-2.98775908922023,92.50874445691849
2025-08-19,1.0,cierre_periodo,3,1.6393169898995315,94.14806144681802
2025-08-22,-1.0,take_profit,1,2.822286142496813,96.97034758931483
2025-08-27,1.0,cierre_periodo,3,-0.18155844906990923,96.78878914024492
2025-09-01,-1.0,cierre_periodo,3,-0.8524551980154641,95.93633394222945
2025-09-04,1.0,take_profit,1,0.24847898487991363,96.18481292710936
2025-09-09,-1.0,cierre_periodo,3,6.858618125174548,103.0434310522839
2025-09-12,-1.0,trailing_stop,2,2.225360337000539,105.26879138928444
2025-09-17,-1.0,stop_loss,2,-3.1580637416785593,102.11072764760588
2025-09-22,-1.0,take_profit,2,0.9431267846402329,103.05385443224611
2025-09-25,-1.0,stop_loss,1,-3.091615632967412,99.9622387992787
2025-09-30,-1.0,cierre_periodo,3,1.5647246471858898,101.52696344646458
2025-10-03,-1.0,take_profit,1,2.554260756943793,104.08122420340837
2025-10-08,-1.0,take_profit,1,0.9994435938658395,105.0806677972742
2025-10-13,-1.0,stop_loss,1,-3.1524200339181636,101.92824776335604
2025-10-16,-1.0,cierre_periodo,3,3.7244204872103652,105.6526682505664
2025-10-21,-1.0,cierre_periodo,3,1.611878279620018,107.26454653018642
2025-10-24,-1.0,trailing_stop,2,4.819376737543737,112.08392326773016
2025-10-29,-1.0,cierre_periodo,3,6.0046564093330135,118.08857967706317
2025-11-03,-1.0,stop_loss,1,-3.5426573903119274,114.54592228675124
2025-11-06,-1.0,cierre_periodo,3,2.691144717536427,117.23706700428767
2025-11-11,-1.0,cierre_periodo,3,3.6364014036387484,120.87346840792641
2025-11-14,-1.0,trailing_stop,3,2.042899818082053,122.91636822600846
2025-11-19,-1.0,trailing_stop,3,-2.825165559377427,120.09120266663103
2025-11-24,-1.0,take_profit,3,4.217001118872741,124.30820378550378
2025-11-27,-1.0,cierre_periodo,3,-1.8959237440231482,122.41228004148063
2025-12-02,-1.0,cierre_periodo,3,6.884551346033845,129.2968313875145
2025-12-05,-1.0,stop_loss,3,-4.170762081430598,125.12606930608389
2025-12-10,-1.0,take_profit,2,1.7705777772631088,126.896647083347
2026-01-05,-1.0,take_profit,2,2.048977849734032,128.94562493308104
2026-01-08,-1.0,cierre_periodo,3,6.958535155332136,135.90416008841316
2026-01-13,-1.0,cierre_periodo,3,0.7483533948360503,136.6525134832492
2026-01-16,1.0,cierre_periodo,3,1.1648217416255806,137.8173352248748
2026-01-21,1.0,stop_loss,1,-4.13452005674628,133.6828151681285
2026-01-26,-1.0,take_profit,1,0.3918464557061774,134.0746616238347
2026-01-29,-1.0,trailing_stop,2,-1.5559059697817368,132.51875565405294
2026-02-03,-1.0,trailing_stop,3,1.2638676840931635,133.7826233381461
2026-02-06,-1.0,take_profit,1,2.5966829653970005,136.3793063035431
2026-02-11,-1.0,trailing_stop,3,-3.332368953667294,133.0469373498758
2026-02-16,-1.0,cierre_periodo,3,0.6071321862520284,133.65406953612782
