estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,modelo,"chequeo_alineacion_corr(objetivo,retorno_realizado)",rmse,rmse_predecir_cero,acierto_direccion_%,corr_forecast_retorno,pct_dias_saturado,costo
TFT panel (corregido),-9.946161328862434,-18.249438952894415,-0.6461969479202008,0.9168947326851843,-2.166614112000544,0.9267782573027441,300,TFT panel (corregido),1.0,0.008537289833319722,0.007835930022617017,48.66666666666667,0.0881393918054223,98.0,bruto
TFT panel (corregido),-42.468350467583285,-44.80790190900631,-3.6725316236741583,0.928697554397992,-5.28398279593348,-2.11739557198182,300,TFT panel (corregido),1.0,0.008537289833319722,0.007835930022617017,48.66666666666667,0.0881393918054223,98.0,ida+vuelta 0.15%
TFT panel (corregido),-21.64425273154378,-27.00173114299771,-1.5754707026384838,0.9187692020078385,-3.0822476427292673,-0.064126363459397,300,TFT panel (corregido),1.0,0.008537289833319722,0.007835930022617017,48.66666666666667,0.0881393918054223,98.0,rotacion 0.15%
TFT solo_clp (corregido),-7.50101424802605,-13.435190677852393,-0.4644678418092855,0.9167112689537484,-2.130354939708974,1.2920480541914425,300,TFT solo_clp (corregido),1.0,0.009540677668328909,0.007835930022617017,48.333333333333336,0.07203354439015339,99.33333333333333,bruto
TFT solo_clp (corregido),-40.911522500816474,-42.97601790712565,-3.488861726076048,0.9275165372682745,-5.093746888432763,-1.8813302719438731,300,TFT solo_clp (corregido),1.0,0.009540677668328909,0.007835930022617017,48.333333333333336,0.07203354439015339,99.33333333333333,ida+vuelta 0.15%
TFT solo_clp (corregido),-23.307115653702482,-26.482144243322626,-1.7097686885198273,0.919169288876504,-3.28947860037364,-0.08423189268990122,300,TFT solo_clp (corregido),1.0,0.009540677668328909,0.007835930022617017,48.333333333333336,0.07203354439015339,99.33333333333333,rotacion 0.15%
