moneda,commodity,regimen,rezago,correlacion,p_valor,n_obs
BRL,Soja,2020 (shock COVID),-2,-0.018084277869607743,0.7716487626091356,260
BRL,Soja,2020 (shock COVID),-1,0.15052586770089144,0.01493168677867439,261
BRL,Soja,2020 (shock COVID),0,0.10367402873683335,0.09401229109682083,262
BRL,Soja,2020 (shock COVID),1,0.15459362610827584,0.012398328332899609,261
BRL,Soja,2020 (shock COVID),2,0.061552697254337735,0.3228280800705126,260
BRL,Soja,2020 (shock COVID),3,0.038485053430855024,0.5375045606673345,259
BRL,Soja,2022 (guerra/inflacion),-2,-0.051063982300407,0.414066027459925,258
BRL,Soja,2022 (guerra/inflacion),-1,-0.04738192711279981,0.4476862105356517,259
BRL,Soja,2022 (guerra/inflacion),0,0.07563071282963861,0.22422347259422115,260
BRL,Soja,2022 (guerra/inflacion),1,0.3403041324846161,1.923132979104868e-08,259
BRL,Soja,2022 (guerra/inflacion),2,0.026762822830518413,0.6687502426988928,258
BRL,Soja,2022 (guerra/inflacion),3,0.006442321142377446,0.9181408514335196,257
BRL,Platino,2014-2016 (crash petroleo),-2,0.017360906399618414,0.6280780011569647,781
BRL,Platino,2014-2016 (crash petroleo),-1,0.03542601544424068,0.3224732102962931,782
BRL,Platino,2014-2016 (crash petroleo),0,0.09811909002572537,0.0059991387616610764,783
BRL,Platino,2014-2016 (crash petroleo),1,0.2131937910856798,1.7266831986164702e-09,782
BRL,Platino,2014-2016 (crash petroleo),2,0.03680776739469286,0.30425835937567086,781
BRL,Platino,2014-2016 (crash petroleo),3,-0.007941512098414594,0.8247481741585772,780
BRL,Platino,2020 (shock COVID),-2,0.007886368528362707,0.8992941051125318,260
BRL,Platino,2020 (shock COVID),-1,-0.003753568143192269,0.9518769643250541,261
BRL,Platino,2020 (shock COVID),0,0.0707969659275061,0.253494313998987,262
BRL,Platino,2020 (shock COVID),1,0.1953261939506207,0.0015189215262243845,261
BRL,Platino,2020 (shock COVID),2,0.12544869986352725,0.04327523243207071,260
BRL,Platino,2020 (shock COVID),3,0.08692718476890261,0.1630654499953966,259
BRL,Platino,2022 (guerra/inflacion),-2,-0.045252903818977626,0.4692434351473602,258
BRL,Platino,2022 (guerra/inflacion),-1,-0.10808214057707306,0.0825473848332317,259
BRL,Platino,2022 (guerra/inflacion),0,0.0978928503853294,0.11533646631583895,260
