configuracion,ventanas,n_obs,rmse,rmse_naive_cero,acierto_direccion_%,correlacion
TFT panel (14 monedas pooled),5,300,0.00783454083610526,0.0076812344481213424,47.66666666666667,-0.0748118278944839
"TFT solo-CLP (control, 1 ventana)",1,60,0.0063512967223704345,0.005311035513063618,48.333333333333336,-0.09133284649706358
