modelo,RMSE,MAE,MAPE,mejora_%_vs_Naive
RWD,3.7183176676431913,3.7183176676431913,0.0042031985961214725,87.01705389020795
AutoARIMA,3.718317667643305,3.718317667643305,0.004203198596121601,87.01705389020755
Naive,28.6400146484375,28.6400146484375,0.03237476733382816,0.0
