ds,Original,Estrategia (a)
2015,-0.5025535165635309,1.2266479209213976
2016,6.810935785176508,6.43673883899627
2017,-5.506394369693135,-4.103465016014307
2018,0.4367131433667071,1.6688074600628378
2019,1.8814098806174018,3.5524234857532866
2020,-0.8530418259359962,9.326402523484045
2021,1.985398566711094,1.1647638533271776
2022,8.458035596203883,8.755137341918552
2023,2.4625344342074085,1.161203284648371
2024,-2.850765358588858,-2.933968922942165
2025,0.03640220708140962,-0.6174033930806289
2026,3.302935391501216,-0.9192251497089798
