ds,Original: carry + momentum (81),NUEVA (a): carry completo c/ trailing pata larga + momentum baja vol
2015-01-30,0.0221063138617865,0.02531465506154901
2015-02-27,-0.006477203974950218,-0.009497454507718354
2015-03-31,0.008432688672120185,0.009068209286554484
2015-04-30,-0.01462510523555409,-0.01628754183888773
2015-05-29,0.0010521738682608777,0.0008383579124554606
2015-06-30,-0.005438309715403419,-0.014820825652596533
2015-07-31,0.011434322704884554,0.017340435154171597
2015-08-31,-0.007729421972615647,-0.007471816410750858
2015-09-30,-0.00951647122452276,-0.007956660188844783
2015-10-30,-0.006183862398478053,-0.002320665175608804
2015-11-30,0.0140421141481521,0.019343771651091704
2015-12-31,-0.011392083017965085,-0.0003158998386213794
2016-01-29,0.011039653920746467,0.007540749678333478
2016-02-29,-0.00035315081191375454,0.0011054678001053376
2016-03-31,-0.019645208720614142,-0.008521181428116397
2016-04-29,0.012692194818055108,0.01721889674311708
2016-05-31,-0.018617666178253094,-0.021948088360489372
2016-06-30,0.037923856347203896,0.03205095979432793
2016-07-29,0.011100488254057269,0.010584578503079025
2016-08-31,-0.003978388523150832,-0.00359798051153155
2016-09-30,0.015427038239850501,0.007669981387579468
2016-10-31,0.02012729947277528,0.023774487334821737
2016-11-30,-0.006164071757452474,0.0005408521348053998
2016-12-30,0.007988535780038093,-0.0027053650658345214
2017-01-31,-0.015743999575701495,-0.019261391893600033
2017-02-28,0.016318773231706652,0.018327486251687067
2017-03-31,-0.018679178203784806,-0.012975114005235122
2017-04-28,-0.0012177808693654626,-0.007184347923450158
2017-05-31,-0.01344739743599624,-0.01942194942402542
2017-06-30,-0.0015388844524113195,-0.0008128543853237229
2017-07-31,0.018416886098998154,0.02381538714782675
2017-08-31,0.001276256204834008,0.0015588546152158354
2017-09-29,-0.005353747936405457,-0.003424188036454272
2017-10-31,-0.022435489446847475,-0.026761566003348208
2017-11-30,0.004586087513283364,0.005562593728282129
2017-12-29,-0.01768576550751945,-8.690752843752589e-07
2018-01-31,0.020762453821708864,0.013032600853670244
2018-02-28,-0.002755591910453332,-0.005358561572199451
2018-03-30,0.015193406591269644,0.026403380358006063
2018-04-30,-0.013438689788883145,-0.008834733646006267
2018-05-31,-0.02425503274978136,-0.023540446879567346
2018-06-29,-0.020338988370278397,-0.006032436876264556
2018-07-31,0.013156781980133765,0.014015558590391093
2018-08-31,-0.0022804232500033715,-0.011260309345864321
2018-09-28,0.003413954253392262,0.0038641124356743883
2018-10-31,0.0115462008119188,0.01046705381376593
2018-11-30,0.0056321041832157175,0.014089901488107773
2018-12-31,-0.0011712298469078375,-0.00915206516119889
2019-01-31,0.01809193189911778,0.018670685875163573
2019-02-28,-0.0013766957355948488,-0.0022479284864919766
2019-03-29,-0.003146635958138952,0.0056858723648780425
2019-04-30,0.0335095594589783,0.04063275557665246
2019-05-31,-0.02308932494675847,-0.01228617813958455
2019-06-28,-0.02130172110396872,-0.021783415487984452
2019-07-31,0.028387371965342474,0.0329984106372532
2019-08-30,-0.002088419277413674,-0.0043248831361812875
2019-09-30,0.006540662406045917,0.006281602093408844
2019-10-31,-0.010259273340106706,-0.018176731468318445
2019-11-29,0.004599764523679763,0.002654982575902297
2019-12-31,-0.009482479778403769,-0.011091407785238433
2020-01-31,0.017654256846552904,0.010454577097254421
2020-02-28,0.0011507817510479188,0.01209528575050455
2020-03-31,-0.03230317037566564,0.06328384393558176
2020-04-30,-0.013452973790661666,-0.019127524236967414
2020-05-29,0.010405348364991936,0.016766576648754906
2020-06-30,-0.014272252981131345,-0.015372752321653424
2020-07-31,-0.027384791046137946,-0.0223947915421355
2020-08-31,0.00410906639918126,-0.00690059497713054
2020-09-30,-0.004815716341024216,-0.002826873919448707
2020-10-30,0.01025508806146447,0.01190856927696983
2020-11-30,0.024621175658050387,0.025240623117873683
2020-12-31,0.017302460552821985,0.01938470214146284
2021-01-29,-0.010278643879005676,-0.011187462005995644
2021-02-26,-0.002561770376104843,-0.004769831989837117
2021-03-31,0.017125568237411234,0.012962553584044967
2021-04-30,0.0005368933070578957,-0.005192794480213814
2021-05-28,0.013695413798914981,0.018700729040142767
