ds,estrategia,precio_entrada,precio_salida,take_profit,stop_loss,posicion,notional,razon_cierre,pnl,capital
2024-09-22,PPO + ent_coef alto,930.3599853515624,930.3599853515624,928.9508,,0.0,0.0,plano,0.0,100.0
2024-09-29,PPO + ent_coef alto,905.4000244140624,905.4000244140624,905.1515,,0.0,0.0,plano,0.0,100.0
2024-10-06,PPO + ent_coef alto,920.3900146484376,920.3900146484376,922.59076,,0.0,0.0,plano,0.0,100.0
2024-10-13,PPO + ent_coef alto,929.5900268554688,929.5900268554688,938.4075,,0.0,0.0,plano,0.0,100.0
2024-10-20,PPO + ent_coef alto,945.9099731445312,945.9099731445312,952.7051,,0.0,0.0,plano,0.0,100.0
2024-10-27,PPO + ent_coef alto,946.4600219726562,946.4600219726562,946.77325,,0.0,0.0,plano,0.0,100.0
2024-11-03,PPO + ent_coef alto,960.9400024414062,960.9400024414062,968.7854,,0.0,0.0,plano,0.0,100.0
2024-11-10,PPO + ent_coef alto,957.1799926757812,957.1799926757812,945.5063,,0.0,0.0,plano,0.0,100.0
2024-11-17,PPO + ent_coef alto,975.0800170898438,975.0800170898438,988.68933,,0.0,0.0,plano,0.0,100.0
2024-11-24,PPO + ent_coef alto,973.0900268554688,973.0900268554688,979.36786,,0.0,0.0,plano,0.0,100.0
2024-12-01,PPO + ent_coef alto,977.4400024414062,977.4400024414062,984.50586,,0.0,0.0,plano,0.0,100.0
2024-12-08,PPO + ent_coef alto,969.6799926757812,969.6799926757812,972.4077,,0.0,0.0,plano,0.0,100.0
2024-12-15,PPO + ent_coef alto,976.3900146484376,976.3900146484376,989.0462,,0.0,0.0,plano,0.0,100.0
2024-12-22,PPO + ent_coef alto,991.1500244140624,991.1500244140624,988.33325,,0.0,0.0,plano,0.0,100.0
2024-12-29,PPO + ent_coef alto,988.6400146484376,988.6400146484376,1004.06964,,0.0,0.0,plano,0.0,100.0
2025-01-05,PPO + ent_coef alto,1004.1300048828124,1004.1300048828124,998.60046,,0.0,0.0,plano,0.0,100.0
2025-01-12,PPO + ent_coef alto,1006.0700073242188,1006.0700073242188,1002.8771,,0.0,0.0,plano,0.0,100.0
2025-01-19,PPO + ent_coef alto,1013.0599975585938,1013.0599975585938,1012.88965,,0.0,0.0,plano,0.0,100.0
2025-01-26,PPO + ent_coef alto,987.0499877929688,987.0499877929688,981.3819,,0.0,0.0,plano,0.0,100.0
2025-02-02,PPO + ent_coef alto,983.77001953125,983.77001953125,983.2201,,0.0,0.0,plano,0.0,100.0
2025-02-09,PPO + ent_coef alto,962.0700073242188,962.0700073242188,961.9705,,0.0,0.0,plano,0.0,100.0
2025-02-16,PPO + ent_coef alto,952.4400024414062,952.4400024414062,953.4141,,0.0,0.0,plano,0.0,100.0
2025-02-23,PPO + ent_coef alto,942.2899780273438,942.2899780273438,944.97797,,0.0,0.0,plano,0.0,100.0
2025-03-02,PPO + ent_coef alto,952.239990234375,952.239990234375,967.3932,,0.0,0.0,plano,0.0,100.0
2025-03-09,PPO + ent_coef alto,928.510009765625,928.510009765625,912.6079,,0.0,0.0,plano,0.0,100.0
2025-03-16,PPO + ent_coef alto,937.7000122070312,937.7000122070312,948.28674,,0.0,0.0,plano,0.0,100.0
2025-03-23,PPO + ent_coef alto,926.5499877929688,926.5499877929688,907.11005,,0.0,0.0,plano,0.0,100.0
2025-03-30,PPO + ent_coef alto,932.72998046875,932.72998046875,928.71454,,0.0,0.0,plano,0.0,100.0
2025-04-06,PPO + ent_coef alto,949.0599975585938,949.0599975585938,955.709,,0.0,0.0,plano,0.0,100.0
2025-04-13,PPO + ent_coef alto,988.8900146484376,988.8900146484376,993.58826,,0.0,0.0,plano,0.0,100.0
2025-04-20,PPO + ent_coef alto,968.9000244140624,968.9000244140624,981.00934,,0.0,0.0,plano,0.0,100.0
2025-04-27,PPO + ent_coef alto,936.739990234375,936.739990234375,937.3368,,0.0,0.0,plano,0.0,100.0
2025-05-04,PPO + ent_coef alto,947.260009765625,947.260009765625,950.91394,,0.0,0.0,plano,0.0,100.0
2025-05-11,PPO + ent_coef alto,941.010009765625,941.010009765625,939.4128,,0.0,0.0,plano,0.0,100.0
2025-05-18,PPO + ent_coef alto,938.9199829101562,938.9199829101562,936.59,,0.0,0.0,plano,0.0,100.0
2025-05-25,PPO + ent_coef alto,942.4500122070312,942.4500122070312,940.5426,,0.0,0.0,plano,0.0,100.0
2025-06-01,PPO + ent_coef alto,938.4299926757812,938.4299926757812,930.8038,,0.0,0.0,plano,0.0,100.0
2025-06-08,PPO + ent_coef alto,930.260009765625,930.260009765625,930.856,,0.0,0.0,plano,0.0,100.0
2025-06-15,PPO + ent_coef alto,929.6099853515624,929.6099853515624,934.66327,,0.0,0.0,plano,0.0,100.0
2025-06-22,PPO + ent_coef alto,940.5800170898438,940.5800170898438,941.3875,,0.0,0.0,plano,0.0,100.0
2025-06-29,PPO + ent_coef alto,930.75,930.75,927.9206,,0.0,0.0,plano,0.0,100.0
2025-07-06,PPO + ent_coef alto,927.2899780273438,927.2899780273438,930.8342,,0.0,0.0,plano,0.0,100.0
2025-07-13,PPO + ent_coef alto,949.5599975585938,949.5599975585938,944.83875,,0.0,0.0,plano,0.0,100.0
2025-07-20,PPO + ent_coef alto,964.4500122070312,964.4500122070312,973.44934,,0.0,0.0,plano,0.0,100.0
2025-07-27,PPO + ent_coef alto,949.75,949.75,946.6913,,0.0,0.0,plano,0.0,100.0
2025-08-03,PPO + ent_coef alto,972.2000122070312,972.2000122070312,955.2231,,0.0,0.0,plano,0.0,100.0
2025-08-10,PPO + ent_coef alto,969.8300170898438,969.8300170898438,971.11774,,0.0,0.0,plano,0.0,100.0
2025-08-17,PPO + ent_coef alto,965.510009765625,965.510009765625,955.2491,,0.0,0.0,plano,0.0,100.0
2025-08-24,PPO + ent_coef alto,970.4299926757812,970.4299926757812,978.6774,,0.0,0.0,plano,0.0,100.0
2025-08-31,PPO + ent_coef alto,967.8200073242188,967.8200073242188,972.56866,,0.0,0.0,plano,0.0,100.0
2025-09-07,PPO + ent_coef alto,971.739990234375,971.739990234375,986.53436,,0.0,0.0,plano,0.0,100.0
2025-09-14,PPO + ent_coef alto,952.3400268554688,952.3400268554688,960.5877,,0.0,0.0,plano,0.0,100.0
2025-09-21,PPO + ent_coef alto,955.0599975585938,955.0599975585938,975.6964,,0.0,0.0,plano,0.0,100.0
2025-09-28,PPO + ent_coef alto,959.1300048828124,959.1300048828124,957.6279,,0.0,0.0,plano,0.0,100.0
2025-10-05,PPO + ent_coef alto,961.469970703125,961.469970703125,955.6463,,0.0,0.0,plano,0.0,100.0
2025-10-12,PPO + ent_coef alto,950.4600219726562,950.4600219726562,945.3773,,0.0,0.0,plano,0.0,100.0
2025-10-19,PPO + ent_coef alto,954.969970703125,954.969970703125,953.2874,,0.0,0.0,plano,0.0,100.0
2025-10-26,PPO + ent_coef alto,946.9400024414062,946.9400024414062,941.96924,,0.0,0.0,plano,0.0,100.0
