estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,costo,pct_dias_saturado
Kelly diario (solo CLP),11.072047615047943,-7.5734332288708845,0.7899224743023413,0.9170823095696918,-0.7450247725231366,2.381243389606885,300,bruto,96.66666666666667
Kelly diario (solo CLP),-28.485659957800348,-30.543242678075433,-2.265467909070056,0.9211698584291483,-3.9428763747666706,-0.6876420187388027,300,ida+vuelta 0.15%,96.66666666666667
"Kelly diario (panel pooled, 14 pares)",18.885703391542762,-6.089684953644225,1.2607280855817358,0.9179591814688481,-0.2570533441102962,2.81388121801712,300,bruto,95.33333333333334
"Kelly diario (panel pooled, 14 pares)",-23.424672413166935,-25.647845397067904,-1.789664631822116,0.9194227351028424,-3.4312632608808764,-0.26106354355702427,300,ida+vuelta 0.15%,95.33333333333334
