ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,take_profit,6,3.6370261249956304,103.63702612499563
2025-07-18,-1.0,take_profit,4,4.695785833460827,108.33281195845646
2025-08-15,-1.0,trailing_stop,13,-1.5201619454535102,106.81265001300295
2025-09-12,-1.0,trailing_stop,2,2.3067616479914212,109.11941166099437
2025-10-10,-1.0,trailing_stop,2,-1.7336226307426412,107.38578903025173
2025-11-07,-1.0,trailing_stop,2,2.061725891352778,109.44751492160451
2025-12-05,-1.0,stop_loss,3,-3.530477431219691,105.91703749038481
2026-01-23,-1.0,trailing_stop,6,3.5580603335788505,109.47509782396367
2026-02-20,-1.0,take_profit,3,1.0654768357789466,110.54057465974262
2026-03-20,-1.0,stop_loss,1,-3.4734692179868643,107.06710544175576
2026-04-17,-1.0,trailing_stop,3,-1.2739058347506715,105.79319960700508
2026-05-15,-1.0,stop_loss,3,-3.1737959882101396,102.61940361879493
2026-06-12,-1.0,take_profit,2,2.738983685083573,105.3583873038785
2026-07-10,-1.0,trailing_stop,6,-1.7694601119796394,103.58892719189886
2026-08-07,-1.0,trailing_stop,8,-1.5143297752913174,102.07459741660755
