ds,estrategia,precio_entrada,precio_salida,take_profit,stop_loss,posicion,notional,razon_cierre,pnl,capital
2024-09-22,PPO + las 3 combinadas,930.3599853515624,914.576207612711,928.9508,914.576207612711,0.05613463371992111,176.8321882273156,stop_loss,-0.25681999527342125,99.74318000472658
2024-09-29,PPO + las 3 combinadas,905.4000244140624,905.1515,905.1515,920.2424934855951,-0.07910206913948059,182.53191671045158,take_profit,-0.0873026741660259,99.65587733056056
2024-10-06,PPO + las 3 combinadas,920.3900146484376,922.59076,922.59076,905.0550286889062,0.34006646275520325,179.43728407341823,take_profit,0.05618777276880192,99.71206510332937
2024-10-13,PPO + las 3 combinadas,929.5900268554688,938.4075,938.4075,915.608732001846,0.7776592969894409,198.89003611106872,take_profit,1.3676393338746116,101.07970443720397
2024-10-20,PPO + las 3 combinadas,945.9099731445312,946.4600219726562,952.7051,930.6200913571043,0.757843017578125,187.59916231976905,cierre_semana,-0.011126982765940013,101.06857745443803
2024-10-27,PPO + las 3 combinadas,946.4600219726562,946.77325,946.77325,927.2552720158025,0.40125852823257446,149.42767011262404,take_profit,-0.05487054677021591,101.01370690766781
2024-11-03,PPO + las 3 combinadas,960.9400024414062,957.1799926757812,968.7854,941.6570676312829,0.7216480374336243,151.01660517699253,cierre_semana,-0.5019334793834677,100.51177342828434
2024-11-10,PPO + las 3 combinadas,957.1799926757812,964.3075317809829,945.5063,975.9377444350644,-0.41907644271850586,153.86896007881458,trailing_stop,-0.557099218510467,99.95467420977387
2024-11-17,PPO + las 3 combinadas,975.0800170898438,973.0900268554688,988.68933,951.4701874765136,1.0,123.84308616312198,cierre_semana,-0.3146664745129339,99.64000773526094
2024-11-24,PPO + las 3 combinadas,973.0900268554688,977.4400024414062,979.36786,951.4501895342943,0.7494940757751465,134.41695013313756,cierre_semana,0.38314761459119684,100.02315534985213
2024-12-01,PPO + las 3 combinadas,977.4400024414062,969.6799926757812,984.50586,957.7146687199319,0.8870922923088074,148.69198350178567,cierre_semana,-1.12154330565838,98.90161204419375
2024-12-08,PPO + las 3 combinadas,969.6799926757812,972.4077,972.4077,948.346891754572,0.5987119674682617,134.86494269657334,take_profit,0.15970372371181926,99.06131576790557
2024-12-15,PPO + las 3 combinadas,976.3900146484376,989.0462,989.0462,956.1338216820315,1.0,143.24875318002015,take_profit,1.7851979427977354,100.8465137107033
2024-12-22,PPO + las 3 combinadas,991.1500244140624,988.33325,988.33325,969.1938361860933,0.2597748935222626,136.57291988293747,take_profit,-0.16911290178864552,100.67740080891465
2024-12-29,PPO + las 3 combinadas,988.6400146484376,1004.06964,1004.06964,966.6415293509182,1.0,135.73712780358866,take_profit,2.0505698942576047,102.72797070317226
2025-01-05,PPO + las 3 combinadas,1004.1300048828124,1006.0700073242188,998.60046,1026.7232016868745,-0.11136804521083832,136.96898046570135,cierre_semana,-0.09795550918325177,102.63001519398901
2025-01-12,PPO + las 3 combinadas,1006.0700073242188,1002.8771,1002.8771,986.1548346833835,0.2342391163110733,155.53916905473088,take_profit,-0.1933960649872938,102.43661912900171
2025-01-19,PPO + las 3 combinadas,1013.0599975585938,995.5228954473796,1012.88965,995.5228954473796,0.5098027586936951,177.5226724460558,stop_loss,-1.655435466919636,100.78118366208207
2025-01-26,PPO + las 3 combinadas,987.0499877929688,981.3819,981.3819,1005.229647394964,-0.05760014057159424,164.15499786228378,take_profit,-0.02778059403845881,100.75340306804361
2025-02-02,PPO + las 3 combinadas,983.77001953125,983.2201,983.2201,961.270655822309,0.12333720177412033,132.1613072080353,take_profit,-0.07519244939609486,100.67821061864751
2025-02-09,PPO + las 3 combinadas,962.0700073242188,952.4400024414062,961.9705,941.3749198517933,0.018884558230638504,140.40938984625527,cierre_semana,-0.09674603297442311,100.58146458567309
2025-02-16,PPO + las 3 combinadas,952.4400024414062,932.0161666416966,953.4141,932.0161666416966,0.12811815738677979,140.71471879474385,stop_loss,-0.45694671669677506,100.12451786897631
2025-02-23,PPO + las 3 combinadas,942.2899780273438,944.97797,944.97797,918.3705786060265,0.34331777691841125,118.33030764811741,take_profit,0.05672210243535904,100.18123997141167
2025-03-02,PPO + las 3 combinadas,952.239990234375,929.1799530953608,967.3932,929.1799530953608,1.0,124.10636946977955,stop_loss,-3.0674903838772334,97.11374958753444
2025-03-09,PPO + las 3 combinadas,928.510009765625,936.3650456071506,912.6079,950.4299038609735,-1.0,123.40993280213858,trailing_stop,-1.1057318860524332,96.008017701482
2025-03-16,PPO + las 3 combinadas,937.7000122070312,926.5499877929688,948.28674,912.7274060276267,0.4445527493953705,108.15056953675024,cierre_semana,-0.625769776791525,95.38224792469047
2025-03-23,PPO + las 3 combinadas,926.5499877929688,932.72998046875,907.11005,950.8031112214185,-1.0,109.31757418092329,cierre_semana,-0.7837957108105811,94.5984522138799
2025-03-30,PPO + las 3 combinadas,932.72998046875,928.71454,928.71454,956.2965721411244,-0.09890840202569962,112.32190090846878,take_profit,-0.008333758256948792,94.59011845562294
2025-04-06,PPO + las 3 combinadas,949.0599975585938,955.709,955.709,922.4717119123416,0.5368274450302124,101.29088289287436,take_profit,0.33030448266920365,94.92042293829215
2025-04-13,PPO + las 3 combinadas,988.8900146484376,968.9000244140624,993.58826,955.6949780160156,0.35589104890823364,84.83122895987748,cierre_semana,-0.6527072450687162,94.26771569322344
2025-04-20,PPO + las 3 combinadas,968.9000244140624,939.0298747985025,981.00934,939.0298747985025,0.9208778142929077,91.73304440602176,stop_loss,-2.650137961781839,91.6175777314416
2025-04-27,PPO + las 3 combinadas,936.739990234375,937.3368,937.3368,963.450271656149,-0.13381695747375488,96.39192584412842,take_profit,-0.056414010825590374,91.56116372061601
2025-05-04,PPO + las 3 combinadas,947.260009765625,941.010009765625,950.91394,923.9317184875199,0.0867987871170044,111.53696746089467,cierre_semana,-0.11964530605554094,91.44151841456046
2025-05-11,PPO + las 3 combinadas,941.010009765625,939.4128,939.4128,961.6414615180778,-0.22423146665096283,125.12069218692707,take_profit,-0.014939905463139114,91.42657850909733
