variante,tramo,n,rezago_-2,rezago_-1,rezago_0,rezago_1,rezago_2,rezago_3
original,2010-2026,4325,-0.009167148954582715,-0.048048780233183236,-0.01833378329669406,-0.25436667739082924,-0.06770902125550635,-0.03390555833256857
original,tramo test (ultimas 300 filas),300,-0.2100947805804386,0.006435228035799607,-0.07119637208561713,-0.24452287181119836,0.09320199809229725,-0.09098327680844731
corregido,2010-2026,4219,-0.04653243503285616,-0.018626875517764346,-0.25399348719936643,-0.07790302285085506,-0.02522432985210341,0.019091162803449798
corregido,tramo test (ultimas 300 filas),300,-0.008157166495634785,-0.06411286079088849,-0.24250740835516818,0.09091313637370675,-0.09237522282585293,0.04232011822178928
