dias_holding,estrategia,n_decisiones,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
1,Umbral cobre (holding=1d),300,632.3448055701314,532.3448055701314,4.39291592319214,-13.531874392713217,60.0,290
1,PPO (holding=1d),300,497.1306605824561,397.1306605824561,3.876027247025544,-8.821762830390567,58.862876254180605,299
1,Buy-and-hold,300,98.82301272803278,-1.1769872719672225,-0.015726686282416507,-13.150199048505106,50.0,300
2,Umbral cobre (holding=2d),150,325.06337395776814,225.06337395776814,3.3075807470792795,-19.688637103534646,58.9041095890411,146
2,PPO (holding=2d),150,275.21949898094164,175.21949898094164,2.8692313236013387,-10.878303555379997,60.0,150
3,Umbral cobre (holding=3d),100,163.77276620829713,63.77276620829713,1.5873997331151455,-16.61055383843111,51.041666666666664,96
3,PPO (holding=3d),100,138.16698925456618,38.16698925456619,1.1334129797265462,-13.192402408186975,53.0,100
5,Umbral cobre (holding=5d),60,213.7230164844342,113.7230164844342,2.5891329204781406,-8.340419180428293,65.0,60
5,PPO (holding=5d),60,148.98172249483693,48.98172249483692,1.3132182968765516,-18.563311677873617,51.66666666666667,60
