N,h,n_decisiones,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones,dias_reales_promedio,%_cierre_periodo,%_trailing_stop,%_take_profit,%_stop_loss
3,1,100,114.73762544634485,14.737625446344849,0.5746050171746643,-19.187053521428243,52.0,100,2.35,42.0,18.0,17.0,23.0
3,2,100,98.25723110696201,-1.7427688930379936,0.06162302866601945,-28.88941852152239,50.0,100,2.3,41.0,20.0,18.0,21.0
3,3,100,111.27652345537165,11.276523455371645,0.481842044222438,-22.58758625669769,51.0,100,2.35,42.0,19.0,19.0,20.0
3,4,100,128.042539995877,28.042539995877004,0.8994183096031809,-25.925081361201542,53.0,100,2.43,41.0,21.0,16.0,22.0
3,5,100,142.73086039023093,42.73086039023093,1.221736581686969,-17.18483665974403,52.0,100,2.38,46.0,18.0,17.0,19.0
5,1,60,177.07370034464424,77.07370034464425,2.127274766865261,-15.728437320155065,58.333333333333336,60,3.316666666666667,38.333333333333336,26.666666666666668,13.333333333333334,21.666666666666668
5,2,60,162.90477971521915,62.90477971521915,1.8302931538350808,-18.936910159930022,60.0,60,3.066666666666667,31.666666666666664,25.0,20.0,23.333333333333332
5,3,60,189.2840512830514,89.28405128305141,2.3750235097593317,-8.867293704339607,56.666666666666664,60,3.283333333333333,33.33333333333333,28.333333333333332,20.0,18.333333333333332
5,4,60,178.55934933969158,78.55934933969158,2.2127042227479063,-8.179705625740851,61.66666666666667,60,3.1666666666666665,30.0,30.0,20.0,20.0
5,5,60,154.37013442643342,54.37013442643342,1.673734029140987,-19.414017541935248,56.666666666666664,60,3.2333333333333334,33.33333333333333,26.666666666666668,16.666666666666664,23.333333333333332
7,1,40,149.95376886569724,49.95376886569724,1.955713784484634,-11.999205676214286,60.0,40,3.825,12.5,55.00000000000001,17.5,15.0
7,2,40,129.13477751348046,29.134777513480458,1.2679852058620735,-12.275909710895771,55.00000000000001,40,3.65,15.0,45.0,20.0,20.0
7,3,40,147.09961664801915,47.09961664801916,2.167032468888148,-6.29781708874323,70.0,40,3.475,10.0,40.0,35.0,15.0
7,4,40,174.83982177469872,74.83982177469872,2.7284689527200454,-6.2978170887432405,67.5,40,3.85,12.5,52.5,22.5,12.5
7,5,40,137.5901293176049,37.590129317604884,1.4967612822843885,-6.29781708874323,57.49999999999999,40,3.65,10.0,50.0,20.0,20.0
