estrategia,n_decisiones,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Umbral cobre,100,366.10658095205963,266.10658095205963,3.725413880715471,-6.064253126074104,66.3265306122449,98
PPO baseline (TP=h1 siempre),100,190.124835082804,90.124835082804,2.1264523208331934,-12.631424086322784,57.99999999999999,100
PPO TP adaptativo (h1/h2/h3),100,188.71463696967308,88.71463696967308,2.04322780596893,-19.965850000095354,54.54545454545454,99
