ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2020-12-09,744.4000244140625,742.7000122070312,746.8316,748.2137,749.78516,0.006447027360039249,-1.7164425753819668,37.81822862856375,743.4000244140625,803.5999755859375,0.0039988454471531765,0.009496400942806571,1
2020-12-10,742.7000122070312,734.2999877929688,748.2137,749.78516,754.0047,0.00627489055808769,-1.757805773214118,35.66309498287079,742.7000122070312,803.5999755859375,0.01765956801103442,0.02630060449627686,2
2020-12-11,734.2999877929688,733.7999877929688,749.78516,754.0047,754.6117,0.00678278766229047,-2.184723256182009,25.168929019912696,734.2999877929688,803.5999755859375,-0.013108925112561077,0.002845757153371549,3
2020-12-14,733.7999877929688,734.9000244140625,754.0047,754.6117,753.2313,0.00656879550861741,-2.3217784473073255,10.400011718735698,733.7999877929688,803.5999755859375,-0.0005676568532849705,0.0038477910283128596,4
2020-12-15,734.9000244140625,735.7000122070312,754.6117,753.2313,754.28015,0.006369646198286566,-2.1625665079698493,12.35302213419341,733.7999877929688,803.5999755859375,0.004532594732826386,0.012593059330743893,5
2020-12-16,735.7000122070312,733.7000122070312,731.3832,729.5845,729.5443,0.006173306690791004,-1.8402257125802235,16.588851684739524,733.7999877929688,803.5999755859375,0.004512075897879891,0.013112886307093197,1
2020-12-17,733.7000122070312,721.4000244140625,729.5845,729.5443,729.5199,0.006025961950951057,-1.6070309807122287,12.93309539516342,733.7000122070312,803.5999755859375,0.012026430542292521,0.00742192617644431,2
2020-12-18,721.4000244140625,724.7999877929688,729.5443,729.5199,728.7627,0.007342660350203862,-2.0955941372175317,6.015059159344176,721.4000244140625,803.5999755859375,0.008719203163225152,0.029653818787127317,3
2020-12-21,724.7999877929688,725.0999755859375,729.5199,728.7627,728.77997,0.007203608760129677,-2.0042193786308538,13.252966272552683,721.4000244140625,803.5999755859375,-0.015413769301266707,0.014480374434948994,4
2020-12-22,725.0999755859375,722.2000122070312,728.7627,728.77997,730.21643,0.006971271271509792,-1.7474059643741295,14.315291221565431,721.4000244140625,803.5999755859375,-0.015512951902100029,-0.005652973075548363,5
2020-12-23,722.2000122070312,713.5999755859375,728.1321,726.4715,728.0879,0.006834126223630506,-1.6005921058252088,14.649630354354443,721.4000244140625,803.5999755859375,0.00961822368998747,-0.0005627054297451403,1
2020-12-24,713.5999755859375,714.2999877929688,726.4715,728.0879,729.42487,0.007333667467197072,-1.8905373475422795,13.717641005977327,713.5999755859375,803.5999755859375,0.002249690773362123,-0.010286333630522511,2
2020-12-25,714.2999877929688,714.2999877929688,728.0879,729.42487,728.1265,0.007099462559593749,-1.8412190165609221,17.155705824243512,713.5999755859375,803.5999755859375,0.0,-0.01887833602031982,3
2020-12-28,714.2999877929688,711.5,729.42487,728.1265,729.1584,0.006871460324500864,-1.622318832362108,14.651134402252907,713.5999755859375,803.5999755859375,0.0028050483012747717,-0.0008396364453597725,4
2020-12-29,711.5,714.9000244140625,728.1265,729.1584,729.2239,0.006735947426540204,-1.4835942241691527,13.846127017513737,711.5,803.5999755859375,-0.004773267568748166,0.009948859280917885,5
2020-12-30,714.9000244140625,711.0,713.5517,715.41504,717.121,0.006633029033240012,-1.0033425809196483,20.550868005043156,711.5,803.5999755859375,-0.0028184884850533864,-0.002533801471429239,1
2020-12-31,711.0,710.0,715.41504,717.121,718.321,0.006586716513071315,-0.7977892345608293,22.71664972834361,711.0,803.5999755859375,-0.00821884864248363,-0.012921349593837747,2
2021-01-01,710.0,710.0,717.121,718.321,717.7492,0.006391122960322223,-0.588295798818324,22.45372561596747,710.0,803.5999755859375,0.0,-0.012921349593837747,3
2021-01-04,710.0,703.7999877929688,718.321,717.7492,717.51605,0.006190429838415128,-0.32215627451224726,20.42750729957696,710.0,803.5999755859375,0.011037337127536937,-0.004761893631251935,4
2021-01-05,703.7999877929688,695.4000244140625,717.7492,717.51605,717.7709,0.006428949022122187,-0.42939958832900516,16.421026932565795,703.7999877929688,803.5999755859375,0.024328744190622302,0.02462710273713657,5
2021-01-06,695.4000244140625,696.0,703.6903,702.5854,702.2522,0.006982707802114979,-0.9044672155138631,14.471230227257024,695.4000244140625,803.5999755859375,0.0026061400085380447,0.030200427053907554,1
2021-01-07,696.0,712.2999877929688,702.5854,702.2522,699.7169,0.0067620845469237925,-1.008759623370441,19.905149521842503,695.4000244140625,803.5999755859375,0.01238864164946358,0.051650529650207104,2
2021-01-08,712.2999877929688,703.3304443359375,702.2522,699.7169,698.7957,0.008891601623160933,0.12904714168736042,38.6569822698885,695.4000244140625,793.0,-0.0059709326787447245,0.04538990462171073,3
