moneda,commodity,regimenes_sharpe_positivo,sharpe_promedio,sharpe_minimo
BRL,Oro,3,1.5927266777566809,0.00872780899168439
BRL,Platino,3,3.497679338764295,2.3025951551373267
BRL,Soja,3,3.179422756268275,1.11946037196233
BRL,WTI (petroleo),3,3.087042187831679,1.8615277097242187
NOK,Oro,3,2.9447999455656504,0.5099346460769649
NOK,WTI (petroleo),3,3.9229170715472876,2.8352929815202708
ZAR,Platino,3,4.209295180380461,2.5309432308150086
ZAR,Oro,3,2.67044901906435,0.0024257960949737568
ZAR,WTI (petroleo),3,2.873722216488693,0.8247546931712489
NOK,Platino,2,3.4818534699281685,-0.0599847852009199
