feature,correlacion_con_retorno_futuro,acierto_direccion_%
copper_mom_4s,-0.08169466614390164,43.452380952380956
copper_ret_1s,-0.049755967387755874,47.32142857142857
mom_4s,-0.042006236938311375,50.297619047619044
mom_12s,-0.041594440949076696,50.595238095238095
rate_diff,0.0328277169772162,50.297619047619044
