ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,take_profit,6,3.6036767646318943,103.6036767646319
2025-07-10,1.0,trailing_stop,2,-3.0538092912725356,100.54986747335937
2025-07-30,1.0,take_profit,1,2.8250434049976896,103.37491087835706
2025-08-19,1.0,trailing_stop,4,-1.150019737445823,102.22489114091124
2025-09-12,-1.0,trailing_stop,2,2.207682875813358,104.4325740167246
2025-10-02,-1.0,take_profit,2,3.4963118367207375,107.92888585344534
2025-10-22,-1.0,trailing_stop,4,6.2651550739167226,114.19404092736205
2025-11-11,-1.0,trailing_stop,6,5.074250955675765,119.26829188303782
2025-12-05,-1.0,stop_loss,3,-3.8472688306792184,115.4210230523586
2026-01-15,-1.0,trailing_stop,12,9.377921208746125,124.79894426110474
2026-02-04,1.0,trailing_stop,3,0.31825268397631556,125.11719694508105
2026-02-24,-1.0,take_profit,1,-0.21041309980141626,124.90678384527963
2026-03-20,-1.0,stop_loss,1,-3.924892467221121,120.9818913780585
2026-04-09,-1.0,trailing_stop,9,2.3959986576956633,123.37789003575416
2026-04-29,-1.0,stop_loss,1,-3.7013367010726355,119.67655333468153
2026-05-19,-1.0,take_profit,4,1.0977850594479257,120.77433839412946
2026-06-12,-1.0,take_profit,1,1.2079749123788475,121.9823133065083
2026-07-02,-1.0,trailing_stop,3,-1.3178905345939198,120.66442277191439
2026-07-22,1.0,trailing_stop,4,3.4595672957648396,124.12399006767923
2026-08-11,1.0,trailing_stop,10,1.7408077673054485,125.86479783498469
