N,sharpe_promedio,drawdown_promedio,stoploss_promedio,n_decisiones
3,0.6478449962706543,-22.75479526411878,21.0,100
5,2.0438059364697136,-14.22527287042016,21.333333333333332,60
7,1.9231923388478578,-8.633713330667952,16.5,40
10,1.3326859099410107,-10.878074464487876,23.33333333333333,30
12,0.7036174420977112,-9.997508825883866,17.6,25
14,1.6201648185890598,-5.251392261017154,16.0,20
20,0.34918840648112964,-7.870200788186592,20.0,15
