feature,correlacion_con_retorno_futuro,acierto_direccion_%
ema_50_rel,-0.07582165878370578,52.17391304347826
ema_5_rel,-0.06937915646058962,52.508361204013376
sma_50_rel,-0.06817626355860244,50.50167224080268
bb_width,-0.06646295190723625,50.836120401337794
sma_10_rel,-0.062266202079978246,51.50501672240802
ema_10_rel,-0.06025975346413796,52.508361204013376
ema_20_rel,-0.057896299767997074,52.508361204013376
adx,-0.05709884848695061,50.836120401337794
sma_5_rel,-0.05650924028764167,51.83946488294314
sma_20_rel,-0.047876147855821026,53.84615384615385
cci,0.006696339022286471,51.83946488294314
bb_pctb,-0.004210944739783035,51.50501672240802
