estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Buy-and-hold,99.1304477892764,-0.8695522107236009,0.002219538170783,-15.443311608795652,47.0,100
Umbral simple (Opcion A),84.02925462331585,-15.970745376684148,-0.9430475322612571,-20.825995342843274,51.47058823529412,68
Kelly incondicional,48.50178149879415,-51.49821850120585,-3.773883562891286,-52.51214438206573,29.0,100
Kelly condicional (7 features),47.14270545079983,-52.85729454920016,-4.1158129084721295,-53.55289876333585,25.0,100
Kelly condicional (7 + 5 nuevas),46.78778808690759,-53.21221191309241,-4.783713102677999,-52.777919220477024,25.0,100
PPO (RL),100.0,0.0,,0.0,,0
