frecuencia,variable,origen,correlacion,p_valor,n,corr_mitad_1,corr_mitad_2,q_valor_fdr,umbral_r,estable_mitades,sobrevive
semanal,vix_log,nueva (69),-0.07630863041520164,0.032874494439378156,782,-0.0974900222066013,-0.06552289148521546,0.3944939332725379,0.11,True,False
semanal,vix_cambio_1,nueva (69),-0.005967545887836793,0.8677590334081268,781,-0.043633933726863736,0.020678856456655088,0.9627358567795892,0.11,False,False
semanal,spx_ret_1,nueva (69),0.028463018749018056,0.4270061684737101,781,-0.01800797110195331,0.05659179397753601,0.9627358567795892,0.11,False,False
semanal,eem_ret_1,nueva (69),-0.018473061604196095,0.6062230546896109,781,-0.07196465944406352,0.027849705409721443,0.9627358567795892,0.11,False,False
semanal,ech_ret_1,nueva (69),0.016726556994414808,0.6406926216211489,781,-0.07238220171695436,0.06983825734948033,0.9627358567795892,0.11,False,False
semanal,wti_ret_1,nueva (69),0.004698910701492167,0.8956899323928144,781,-0.08869972193289026,0.06482561574055246,0.9627358567795892,0.11,False,False
semanal,dxy_mom_4,nueva (69),0.014264130944178862,0.6911868559020511,778,-0.006504829225027431,0.03134431413473292,0.9627358567795892,0.11,False,False
semanal,ust2y_cambio_1,nueva (69),0.06417924319316858,0.07304444781905911,781,0.029579261221217828,0.07894808396193498,0.43826668691435466,0.11,True,False
semanal,carry_cl_us_3m,nueva (69),0.003769886891788273,0.9161743862102051,782,0.03722950408680796,-0.005926447109504082,0.9627358567795892,0.11,False,False
mensual,vix_log,nueva (69),-0.16268463327000068,0.02910992737243797,180,-0.17129445623832612,-0.16904621982037707,0.3944939332725379,0.14907119849998599,True,False
mensual,vix_cambio_1,nueva (69),-0.03408155494627059,0.6506083291157028,179,0.06426614761421058,-0.09400135572279225,0.9627358567795892,0.14948701855038718,False,False
mensual,spx_ret_1,nueva (69),0.11102962138387275,0.13896749588755972,179,0.07249182366111523,0.1335943327210207,0.5898468550061852,0.14948701855038718,True,False
mensual,eem_ret_1,nueva (69),0.044280445979034175,0.5561495344233095,179,-0.003933811061496069,0.08158653271231954,0.9627358567795892,0.14948701855038718,False,False
mensual,ech_ret_1,nueva (69),0.13493752931044692,0.07171249061944375,179,0.019540336774029003,0.19376399998986676,0.43826668691435466,0.14948701855038718,True,False
mensual,wti_ret_1,nueva (69),0.02143688200525553,0.7757748691080032,179,-0.08699146811829347,0.06334873136787836,0.9627358567795892,0.14948701855038718,False,False
mensual,dxy_mom_3,nueva (69),-0.025793344991808964,0.7332665709506853,177,-0.036962980601453074,-0.015799982510062007,0.9627358567795892,0.15032920560056579,True,False
mensual,ust2y_cambio_1,nueva (69),0.0035166932203882714,0.9627358567795892,179,-0.05879982169746124,0.017845509402862683,0.9627358567795892,0.14948701855038718,False,False
mensual,carry_cl_us_3m,nueva (69),0.004479842463808152,0.9524065445269494,180,0.12948595952465125,-0.03187948699602988,0.9627358567795892,0.14907119849998599,False,False
semanal,cobre_ret_1,re-verificada (68),0.0431391016635011,0.2285079365132632,781,,,0.7834557823311881,0.11,False,False
semanal,cobre_mom_4,re-verificada (68),0.017022510097367,0.6354472341513129,778,,,0.9627358567795892,0.11,False,False
semanal,rate_diff,re-verificada (68),-0.0024617073463974,0.9452046842085416,782,,,0.9627358567795892,0.11,False,False
mensual,cobre_ret_1,re-verificada (68),0.1087105927018502,0.1474617137515463,179,,,0.5898468550061852,0.14948701855038718,False,False
mensual,cobre_mom_3,re-verificada (68),0.0197831215165245,0.7938163743763136,177,,,0.9627358567795892,0.15032920560056579,False,False
mensual,rate_diff,re-verificada (68),-0.0089773993991492,0.904793875534543,180,,,0.9627358567795892,0.14907119849998599,False,False
