estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,sharpe_bruto,ic95_bruto,retorno_bruto_%,operaciones,apalancamiento_mediano,breakeven_spread_%,spread_%,n_decisiones,exp,par,N,h,coincidencia_con_cobre_%,sharpe_min_semillas,sharpe_max_semillas,n_semillas
Umbral cobre,-65.51801433071567,-66.80163622169755,-2.366509773102003,0.9215931572610075,-4.067542427883413,-0.730049439747314,300.0,1.6598510896843077,"[0.12, 3.23]",86.23523815376333,290.0,3.749766587714386,0.061892191831651296,0.15,300.0,diario,clp,1,1,,,,
Umbral simple (forecast),-30.548879530333583,-48.38695333599667,-1.1060864938561188,0.9176268552920362,-3.4583143676246175,1.119959147059139,300.0,1.350131713110671,"[-0.84, 3.39]",43.34991651566342,133.0,3.4839637396068963,0.08210237732374367,0.15,300.0,diario,clp,1,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.5025246038500758,,,,,,0.0,300.0,diario,clp,1,1,,-0.984750798904344,2.112744657519399,
"Umbral cobre, salida al cierre (sin TP/SL)",-70.04099972945012,-72.30372327585644,-1.9852834892050286,0.920091798438712,-3.4341677303721867,-0.5440974017104367,300.0,1.1166783943013243,"[-0.33, 2.62]",61.99973165895174,290.0,3.749766587714386,0.05401635244313125,0.15,300.0,diario,clp,1,1,,,,
"Control: azar, salida al cierre (300 sorteos, bruto)",,,,,,,,0.03297293540707654,,,,,,0.0,300.0,diario,clp,1,1,,-1.538218967031293,1.5710192717890266,
Buy-and-hold (sin apalancar),-0.014074119873452862,-10.958673602627922,0.06175151261684752,0.9165186061480244,-1.351765226948983,1.4021744130638933,300.0,,,,,,,0.0,300.0,diario,clp,1,1,,,,
PPO seed=7,-13.866941691170442,-33.57671769629446,-0.2138314548047504,0.9165567120942962,-2.21624787834791,1.5642208050689765,300.0,0.7783652416373215,"[-1.19, 2.52]",27.35313499749299,251.0,5.296594441740039,0.02353328673960137,0.03,300.0,diario,nzd,1,1,46.21513944223107,,,
PPO seed=42,10.726115216539146,-32.41485116871928,0.43777174014461073,0.916689373139805,-1.6065235456793774,2.3370411426053352,300.0,1.3585605947671713,"[-0.64, 3.19]",52.76164258550964,203.0,5.39463199232709,0.04425524472344741,0.03,300.0,diario,nzd,1,1,44.33497536945813,,,
PPO seed=123,-19.622324752970087,-36.28805691486833,-0.3649313656156606,0.9166362191018586,-2.3643621275756197,1.4183307292484622,300.0,0.7527927908077453,"[-1.19, 2.51]",26.795200467084122,285.0,5.397593895458457,0.020203397408432088,0.03,300.0,diario,nzd,1,1,44.56140350877193,,,
PPO (resumen semillas),-7.587717075867128,,-0.04699702675860009,,,,,0.9632395424040795,,,,,,0.03,,diario,nzd,1,1,,-0.3649313656156606,0.43777174014461073,3.0
Umbral cobre,-29.014494470508424,-45.201934982301694,-0.5787102558286853,0.9168195983581878,-2.333120125180195,1.0298680568956888,300.0,0.44888940393555626,"[-1.25, 2.02]",12.491111281062949,290.0,5.363148350477502,0.013104360383549361,0.03,300.0,diario,nzd,1,1,,,,
Umbral simple (forecast),-13.429001903441184,-37.186602109928266,-0.3210725155880106,0.9166088656566898,-2.4345041761940416,1.5988450605753444,300.0,0.33726236661628256,"[-1.75, 2.23]",6.715736795640548,136.0,5.242009479381921,0.015359141790201954,0.03,300.0,diario,nzd,1,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.5356916099511924,,,,,,0.0,300.0,diario,nzd,1,1,,-0.8726167036159018,1.9792679057707563,
"Umbral cobre, salida al cierre (sin TP/SL)",-47.98664715503468,-60.81490667890118,-1.0328649042071112,0.9174846137768405,-2.8091153958256454,0.7042795443495008,300.0,-0.15084154004706124,"[-1.91, 1.58]",-17.529832571908887,290.0,5.363148350477502,-0.005129931692730107,0.03,300.0,diario,nzd,1,1,,,,
"Control: azar, salida al cierre (300 sorteos, bruto)",,,,,,,,0.05954302498444227,,,,,,0.0,300.0,diario,nzd,1,1,,-1.4033195849530222,1.4492870370658328,
Buy-and-hold (sin apalancar),-3.0627096493131445,-8.342982812658729,-0.2652522485141175,0.916579109838445,-2.0227161588372455,1.5905135044712622,300.0,,,,,,,0.0,300.0,diario,nzd,1,1,,,,
PPO seed=7,-0.269600246741708,-7.073008798279112,0.005778621637924308,0.9165151997147821,-1.8354307163976873,1.72174125848138,150.0,0.5139962527069498,"[-1.49, 1.87]",4.257603911747454,7.0,4.373462077036871,0.15171161257311191,0.15,150.0,multidia,clp,2,1,57.14285714285714,,,
