estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,sharpe_bruto,ic95_bruto,retorno_bruto_%,operaciones,apalancamiento_mediano,breakeven_spread_%,spread_%,n_decisiones,exp,par,N,h,coincidencia_con_cobre_%,sharpe_min_semillas,sharpe_max_semillas,n_semillas
Umbral simple (forecast),29.53548696691721,-10.339601959779577,1.3691505951895167,0.9249980781615523,-0.4558787982183161,2.699382046342564,60.0,1.8466993721950564,"[0.20, 3.04]",44.410837472469076,20.0,3.502791478985928,0.5249601832223041,0.15,60.0,multidia,clp_h5,5,2,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.0472630825157125,,,,,,0.0,60.0,multidia,clp_h5,5,2,,-0.40972097179733824,2.4177879769029245,
PPO seed=42,-31.622639639668837,-44.5066886779714,-1.3535981877147536,0.9248073135063715,-4.557068261424109,0.8357082323617817,60.0,-0.020853143410283995,"[-2.80, 1.98]",-3.2959001543217736,60.0,3.751684199241085,-0.0023667571049710502,0.15,60.0,multidia,clp_h5,5,4,51.66666666666667,,,
PPO (resumen semillas),-31.622639639668837,,-1.3535981877147536,,,,,-0.020853143410283995,,,,,,0.15,,multidia,clp_h5,5,4,,-1.3535981877147536,-1.3535981877147536,1.0
Umbral cobre,2.7152190227291095,-20.524394683395386,0.2106803527326259,0.9167169056431195,-1.3133387596032429,1.3389769982610673,60.0,1.389116103971815,"[0.11, 2.43]",44.953751170505505,60.0,3.751684199241085,0.1766647175453545,0.15,60.0,multidia,clp_h5,5,4,,,,
Umbral simple (forecast),28.930191508840288,-10.339601959779577,1.3356409035608643,0.9245897136174549,-0.5378885917088271,2.6836566641798543,60.0,1.8099270874036573,"[0.16, 3.02]",43.73477724635813,20.0,3.502791478985928,0.518914950925902,0.15,60.0,multidia,clp_h5,5,4,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.0336944315647687,,,,,,0.0,60.0,multidia,clp_h5,5,4,,-0.3503252631427679,2.3787598800499543,
PPO seed=42,-5.4713199803896995,-25.529766919303675,-0.179427137242136,0.9488953715872663,-2.3926195916648028,1.840228872917752,40.0,0.8710742962549486,"[-1.24, 2.84]",17.441513625956915,38.0,3.799340636893863,0.12436393817597671,0.15,40.0,multidia,clp_h5,7,1,57.89473684210527,,,
PPO (resumen semillas),-5.4713199803896995,,-0.179427137242136,,,,,0.8710742962549486,,,,,,0.15,,multidia,clp_h5,7,1,,-0.179427137242136,-0.179427137242136,1.0
Umbral cobre,16.897158796479573,-11.710316878242411,0.9268308157382987,0.954325778763482,-0.9132102655125868,3.120901221291963,40.0,2.176203315860627,"[0.41, 4.44]",46.68080938982002,40.0,3.7119592713464953,0.2629932942129276,0.15,40.0,multidia,clp_h5,7,1,,,,
Umbral simple (forecast),9.118820177749543,-7.712622507879452,0.6533390149839895,0.9514912760274017,-0.6504253837683203,2.1628439527039856,40.0,1.0515181288279785,"[-0.19, 2.39]",16.015275901473537,11.0,3.4482897363896723,0.386373028708534,0.15,40.0,multidia,clp_h5,7,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.45681119614396476,,,,,,0.0,40.0,multidia,clp_h5,7,1,,-1.1450969467057754,1.7854123686694126,
PPO seed=42,-3.8485818181186016,-17.53803684222188,-0.11404696304359585,0.948768983405467,-1.50995970648547,1.2325647033838574,40.0,1.0534641829348703,"[-0.30, 2.42]",20.741455973025435,40.0,3.7119592713464953,0.13537919564158413,0.15,40.0,multidia,clp_h5,7,2,65.0,,,
PPO (resumen semillas),-3.8485818181186016,,-0.11404696304359585,,,,,1.0534641829348703,,,,,,0.15,,multidia,clp_h5,7,2,,-0.11404696304359585,-0.11404696304359585,1.0
Umbral cobre,5.829019728549212,-13.280098861879052,0.3918417700758725,0.9496942927383014,-1.3403169711830958,2.4794528101745383,40.0,1.651223742269854,"[0.02, 3.79]",32.860475769317766,40.0,3.7119592713464953,0.197119168935309,0.15,40.0,multidia,clp_h5,7,2,,,,
Umbral simple (forecast),6.113476230736969,-7.926176382483696,0.4866774261622931,0.9502424356258772,-0.6556684956441476,1.9820759883519656,40.0,0.9153891721501219,"[-0.21, 2.28]",12.833105369471664,11.0,3.4482897363896723,0.3156555960461298,0.15,40.0,multidia,clp_h5,7,2,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.014905436125523981,,,,,,0.0,40.0,multidia,clp_h5,7,2,,-1.579276601194123,1.3996658263797261,
PPO seed=42,-7.200922606585724,-21.919444933184597,-0.291788371457895,0.9492440443170953,-2.0125260262707263,1.162959855854171,40.0,0.8664699127227526,"[-0.74, 2.28]",16.55669320336457,40.0,3.7119592713464953,0.11227057324964017,0.15,40.0,multidia,clp_h5,7,4,65.0,,,
PPO (resumen semillas),-7.200922606585724,,-0.291788371457895,,,,,0.8664699127227526,,,,,,0.15,,multidia,clp_h5,7,4,,-0.291788371457895,-0.291788371457895,1.0
Umbral cobre,8.222040670768038,-15.253140438038459,0.5072256990623766,0.9503767536468717,-1.5145918799221898,2.721758316749847,40.0,1.744447100269539,"[-0.11, 4.03]",35.85558859844613,40.0,3.7119592713464953,0.21226749078771318,0.15,40.0,multidia,clp_h5,7,4,,,,
Umbral simple (forecast),5.519537187247181,-7.5111561461656535,0.4511702363289787,0.9500233851210529,-0.6577319290852087,1.9129463397765663,40.0,0.8871290957653111,"[-0.22, 2.24]",12.20433000452723,11.0,3.4482897363896723,0.30140943707499235,0.15,40.0,multidia,clp_h5,7,4,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.09607497383399682,,,,,,0.0,40.0,multidia,clp_h5,7,4,,-1.5543555840768941,1.5035764867053827,
PPO seed=7,-48.76790855367524,-54.84612705903395,-1.7764068319892352,0.9250827563865245,-4.202908181272954,0.0891418379860188,100.0,-0.11400000057101654,"[-2.21, 1.56]",-8.422031539952958,100.0,3.751684199241085,-0.010201970369339532,0.15,100.0,tpadapt,clp_h3,3,0,46.0,,,
PPO seed=42,-27.127641233221677,-42.65427341000674,-0.7463646603648626,0.9180333877540662,-2.963488101016425,1.1151724645988308,100.0,0.8918019280531247,"[-1.06, 2.61]",30.000294312001753,100.0,3.751684199241085,0.08137329804201004,0.15,100.0,tpadapt,clp_h3,3,0,52.0,,,
PPO seed=123,-14.147102592397943,-38.038208901231485,-0.2755515838870269,0.9167222280368864,-2.059310207354808,1.2636045242787715,100.0,1.336040242440907,"[-0.33, 2.84]",52.95934682722678,100.0,3.751684199241085,0.12426753160794383,0.15,100.0,tpadapt,clp_h3,3,0,56.00000000000001,,,
PPO (resumen semillas),-30.014217459764954,,-0.9327743587470415,,,,,0.7046140566410051,,,,,,0.15,,tpadapt,clp_h3,3,0,,-1.7764068319892352,-0.2755515838870269,3.0
Umbral cobre,-30.243994968994226,-38.386815038784725,-0.8638759329015455,0.9185485333596873,-2.6366079578878914,0.7049662580447571,100.0,0.6803794398205059,"[-0.91, 2.12]",20.9400423940167,95.0,3.755240150692861,0.06604404510781582,0.15,100.0,tpadapt,clp_h3,3,0,,,,
Umbral simple (forecast),14.15834498641706,-12.613504035713275,0.6263881035185513,0.917584770079118,-1.51567520744804,2.2293235604396067,100.0,1.3642516221848786,"[-0.60, 2.81]",38.087463851423166,34.0,3.4938358404053624,0.2747434845593732,0.15,100.0,tpadapt,clp_h3,3,0,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.3220716908565662,,,,,,0.0,100.0,tpadapt,clp_h3,3,0,,-0.2272386830469544,2.598782967958091,
