seed,horizonte_elegido,n,r_medio_%,r_total_%,pct_stop_loss
123,1,52,-0.13278393684890777,-6.9047647161432035,25.0
123,2,24,-0.5651652491396447,-13.563965979351472,20.833333333333336
123,3,24,0.44001841804867053,10.560442033168092,25.0
42,1,52,-0.6127323724875826,-31.8620833693543,30.76923076923077
42,2,24,-0.7863043336795985,-18.871304008310364,25.0
42,3,24,1.01286130140483,24.30867123371592,16.666666666666664
7,1,52,-0.8481588247292454,-44.104258885920764,32.69230769230769
7,2,24,-0.9957204645088104,-23.897291148211448,29.166666666666668
7,3,24,0.2631571129242436,6.315770710181846,20.833333333333336
