moneda,commodity,rezago,correlacion,p_valor,n_obs,p_valor_fdr,sobrevive_fdr,supera_umbral_r,hallazgo_real
ZAR,WTI (petroleo),2,-0.011186441650202016,0.46230405304085775,4320,0.6427283241136978,False,False,False
BRL,Oro,-2,-0.010992672817535265,0.46999191860370976,4322,0.6427283241136978,False,False,False
BRL,WTI (petroleo),3,0.010812644833254701,0.4774484631303912,4319,0.6427283241136978,False,False,False
NOK,Hierro,2,0.011009000382595696,0.4784755301735306,4147,0.6427283241136978,False,False,False
ZAR,Hierro,2,-0.010161764421391623,0.5134351948947216,4138,0.6682186012495537,False,False,False
BRL,Platino,2,0.009922520738454878,0.5143025249243758,4322,0.6682186012495537,False,False,False
ZAR,WTI (petroleo),-2,-0.009797225619495708,0.5197255787496529,4320,0.6682186012495537,False,False,False
BRL,WTI (petroleo),2,-0.008594279547648388,0.5722637849028079,4320,0.7181561413238546,False,False,False
ZAR,Platino,-1,0.008361515013150593,0.5825826049184989,4323,0.7181561413238546,False,False,False
ZAR,Platino,-2,0.008086586108355474,0.5950843912157897,4322,0.7181561413238546,False,False,False
NOK,Hierro,3,-0.008186930529753432,0.5981923744022704,4146,0.7181561413238546,False,False,False
ZAR,Oro,-2,0.008012472869402123,0.5984634511032122,4322,0.7181561413238546,False,False,False
ZAR,Soja,-1,-0.007818242175265873,0.6073184787897153,4323,0.7191929354088734,False,False,False
ZAR,Platino,3,0.005421406121586779,0.7216369347139316,4321,0.8434717418734267,False,False,False
NOK,Platino,-2,0.0047648991900994895,0.753385736510598,4350,0.8637645702082277,False,False,False
BRL,Hierro,2,-0.004786586968514635,0.7581933449605555,4139,0.8637645702082277,False,False,False
ZAR,Hierro,3,0.004548137225545761,0.7699448078618342,4137,0.8661879088445635,False,False,False
BRL,Platino,-2,0.003185743839310104,0.8341540509452966,4322,0.9268378343836629,False,False,False
NOK,Soja,2,-0.0029024447336720043,0.8482319892870805,4350,0.9309863297053323,False,False,False
NOK,Soja,-2,0.0013744767773806825,0.9277890097182762,4350,0.9915009630611823,False,False,False
NOK,Soja,-1,-0.0008498467645204266,0.9553086758019003,4351,0.9915009630611823,False,False,False
BRL,Soja,2,0.0008391275247671052,0.9560190366221799,4322,0.9915009630611823,False,False,False
BRL,Platino,-1,-0.0008018619621162031,0.9579655171935981,4323,0.9915009630611823,False,False,False
NOK,Oro,0,0.0006575592548427739,0.9654093627613399,4352,0.9915009630611823,False,False,False
NOK,WTI (petroleo),-2,-0.0005806399080110125,0.9694676083264894,4348,0.9915009630611823,False,False,False
BRL,Hierro,3,0.00031871757654901664,0.9836476680352911,4138,0.9946998890244517,False,False,False
BRL,Soja,3,6.502380713345891e-05,0.9965906028207052,4321,0.9965906028207052,False,False,False
