estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones,factor_escala,pct_dias_saturado
MomTrans x1.0,136.64422064028597,36.644220640285965,5.28909391344069,-1.6290132444770067,61.016949152542374,295,1.0,2.3728813559322033
MomTrans x1.5,154.53708861876572,54.537088618765715,5.39228302284374,-2.0584017154228307,61.016949152542374,295,1.5,15.593220338983052
MomTrans x2.0,168.28449662480307,68.28449662480307,5.359361327919924,-2.2574261267487628,61.016949152542374,295,2.0,30.16949152542373
MomTrans x2.7,181.9549455198329,81.9549455198329,5.419335131746622,-2.520287263415266,61.35593220338983,295,2.7,42.3728813559322
MomTrans x3.0,185.31306869263523,85.31306869263521,5.42394272389273,-2.541957627807112,61.35593220338983,295,3.0,47.11864406779661
