ds,estrategia,precio_entrada,precio_salida,take_profit,stop_loss,posicion,notional,razon_cierre,pnl,capital
2025-06-26,Umbral simple (forecast),0.729288233063904,0.729288233063904,0.72765946,,0.0,0.0,plano,0.0,100.0
2025-06-27,Umbral simple (forecast),0.7329712314789201,0.7329712314789201,0.7309072,,0.0,0.0,plano,0.0,100.0
2025-06-30,Umbral simple (forecast),0.7309193598558482,0.7309193598558482,0.73017097,,0.0,0.0,plano,0.0,100.0
2025-07-01,Umbral simple (forecast),0.7350022610108072,0.7329068080604819,0.73144096,0.7378050029255285,-1.0,786.7320110534279,cierre_dia,1.849565752819312,101.84956575281932
2025-07-02,Umbral simple (forecast),0.7329068080604819,0.7356811298783128,0.7287111,0.7356811298783128,-1.0,807.1836474609894,stop_loss,-3.0554869725845593,98.79407878023476
2025-07-03,Umbral simple (forecast),0.735992200522106,0.7367567731830135,0.72999525,0.7388044416895163,-1.0,775.6625457585727,cierre_dia,-0.8057835071569796,97.98829527307778
2025-07-04,Umbral simple (forecast),0.7367567731830135,0.7367567731830135,0.73595273,,0.0,0.0,plano,0.0,97.98829527307778
2025-07-07,Umbral simple (forecast),0.7351157517455323,0.7351157517455323,0.73840016,,0.0,0.0,plano,0.0,97.98829527307778
2025-07-08,Umbral simple (forecast),0.731780526418084,0.731614524304055,0.7378185,0.729027707016248,1.0,781.4453020410657,cierre_dia,-0.5679910634115675,97.42030420966621
2025-07-09,Umbral simple (forecast),0.731614524304055,0.7307804854633747,0.73953193,0.7289162770800993,1.0,792.4489893563692,cierre_dia,-0.9033899880675593,96.51691422159865
2025-07-10,Umbral simple (forecast),0.7307804854633747,0.7322627487454973,0.74003744,0.7281318943929139,1.0,798.9078972997137,cierre_dia,1.6204480901187417,98.1373623117174
2025-07-11,Umbral simple (forecast),0.7322627487454973,0.7322627487454973,0.73104507,,0.0,0.0,plano,0.0,98.1373623117174
2025-07-14,Umbral simple (forecast),0.7307804854633747,0.7307804854633747,0.73040116,,0.0,0.0,plano,0.0,98.1373623117174
2025-07-15,Umbral simple (forecast),0.7296766552404175,0.7296766552404175,0.73061836,,0.0,0.0,plano,0.0,98.1373623117174
2025-07-16,Umbral simple (forecast),0.7290542883588342,0.7290542883588342,0.72963214,,0.0,0.0,plano,0.0,98.1373623117174
2025-07-17,Umbral simple (forecast),0.7304975513821366,0.7304975513821366,0.7302533,,0.0,0.0,plano,0.0,98.1373623117174
2025-07-18,Umbral simple (forecast),0.7280192819132779,0.7280192819132779,0.73104227,,0.0,0.0,plano,0.0,98.1373623117174
