ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2025-07-15,0.0010330792166959,0.0010342972696862,0.0103752241068805,0.15895553,0.14476686708269473,1,42
2025-07-16,0.0010342972696862,0.0010336665263334,0.0102125430556687,0.21223381,0.19636842734776563,1,42
2025-07-17,0.0010336665263334,0.0010368603736253,0.0101798419721349,0.15857968,0.14719650648109311,1,42
2025-07-18,0.0010368603736253,0.0010380012090585,0.010195644442041,0.0695743,0.06448001624808061,1,42
2025-07-21,0.0010380012090585,0.0010486357302911,0.0101950399258468,0.0233833,0.021672443480741727,1,42
2025-07-22,0.0010486357302911,0.0010523768146177,0.0103349267207608,-0.054621853,-0.049940174454795615,1,42
2025-07-23,0.0010523768146177,0.0010547855648114,0.0098856370154179,-0.06781052,-0.06481617746503461,1,42
2025-07-24,0.0010547855648114,0.0010529086601737,0.0099069771213738,-0.053022962,-0.05057243026191042,1,42
2025-07-25,0.0010529086601737,0.0010673468223109,0.0097622966596328,0.05465317,0.052899843329870314,1,42
2025-07-28,0.0010673468223109,0.0010432315165946,0.0098401061026245,-0.1792961,-0.17217182270529427,1,42
2025-07-29,0.0010432315165946,0.0010414063256789,0.0106844576126209,0.12499927,0.11054675352837515,1,42
2025-07-30,0.0010414063256789,0.0010189213774418,0.0106273087626153,0.041755613,0.037126377186441996,1,42
2025-07-31,0.0010189213774418,0.0010285949263977,0.0114778744857806,0.27467284,0.22612327171607635,1,42
2025-08-01,0.0010285949263977,0.001056062792421,0.0118061321131562,-0.1213228,-0.09710146984017883,1,42
2025-08-04,0.001056062792421,0.0010348966859303,0.0134358590735313,-0.56130844,-0.3947545452974235,1,42
2025-08-05,0.0010348966859303,0.0010348217780971,0.0139245899051566,0.014295455,0.009700778075824385,1,42
2025-08-06,0.0010348217780971,0.0010263252681857,0.0139247520082229,-0.057458922,-0.038990700047754755,1,42
2025-08-07,0.0010263252681857,0.0010311085266268,0.0139737109966559,0.050168175,0.03392403891289617,1,42
2025-08-08,0.0010311085266268,0.0010332926592074,0.0140372206500102,-0.020596331,-0.013864357571680868,1,42
2025-08-11,0.0010332926592074,0.001032321999277,0.0136996956724895,0.19429594,0.13401204317048473,1,42
2025-08-12,0.001032321999277,0.0010456423124675,0.0117279733505573,-0.012278556,-0.00989271084427296,1,42
2025-08-13,0.0010456423124675,0.001049736521515,0.0120752476352777,-0.13135661,-0.10278906062697218,1,42
2025-08-14,0.001049736521515,0.0010357220431539,0.0120947368685996,0.04811572,0.037590800419470875,1,42
2025-08-15,0.0010357220431539,0.0010377750366711,0.0124864902101161,0.44747984,0.3386289814589341,1,42
2025-08-18,0.0010377750366711,0.0010376780888736,0.0124923266520225,-0.002867607,-0.0021690386490690597,1,42
2025-08-19,0.0010376780888736,0.0010383784918756,0.0122596936391838,0.15458284,0.11914413507942558,1,42
2025-08-20,0.0010383784918756,0.0010354432005306,0.0122259989837858,-0.16383888,-0.12662621500727078,1,42
2025-08-21,0.0010354432005306,0.0010304710360844,0.0122144243532942,-0.2298856,-0.17784012629990892,1,42
2025-08-22,0.0010304710360844,0.0010421877393329,0.0122443903733964,0.24641456,0.19016045129725864,1,42
2025-08-25,0.0010421877393329,0.0010393605800931,0.0121084213324472,-0.49981558,-0.39004369786315524,1,42
2025-08-26,0.0010393605800931,0.0010351431216148,0.0109989218851824,-0.13786958,-0.1184429893326407,1,42
2025-08-27,0.0010351431216148,0.0010328764758789,0.0110284009295025,0.050793655,0.043519903108017025,1,42
2025-08-28,0.0010328764758789,0.0010332499766818,0.0098189461288071,0.14666027,0.14113625646137767,1,42
