modelo,RMSE,MAE,MAPE,mejora_%_vs_mejor_baseline_RMSE
NBEATS,33.09420645733601,30.816680908203107,0.032785131624629725,20.65130799903473
Naive,41.70731189486201,35.39834594726572,0.03809525506366085,0.0
NHITS,42.57438208444588,35.11370849609373,0.03773587979682241,-2.078940478757362
AutoARIMA,44.26374125822708,38.769563075002395,0.04164210545469977,-6.129451281371121
