estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones
Buy-and-hold,99.1304477892764,-0.8695522107236009,0.002219538170783,-15.443311608795652,47.0,100
Umbral simple (Opcion A),84.02925462331585,-15.970745376684148,-0.9430475322612571,-20.825995342843274,51.47058823529412,68
PPO + las 3 combinadas,83.17601652198411,-16.82398347801589,-1.3641681690402114,-20.97659793624431,33.0,100
PPO + accion continua,83.17770013381246,-16.82229986618754,-1.5072525322087948,-20.615689175928598,31.0,100
PPO base,100.0,0.0,,0.0,,0
PPO + ent_coef alto,100.0,0.0,,0.0,,0
PPO + exceso sobre buy-and-hold,100.0,0.0,,0.0,,0
