exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
multidia,clp,3,1,Umbral cobre,0.0,2.112519249028832,121.02820220184536
multidia,clp,3,1,Umbral cobre,0.02,1.9288596999153425,105.05102814689731
multidia,clp,3,1,Umbral cobre,0.05,1.6527127168122238,83.20365501211884
multidia,clp,3,1,Umbral cobre,0.1,1.1908420257361798,51.79455127595971
multidia,clp,3,1,Umbral cobre,0.15,0.7271511860474192,25.722538860456766
multidia,clp,3,1,Umbral cobre,0.2,0.2618898309778862,4.088874844896795
multidia,clp,3,1,Umbral cobre,0.3,-0.6723215891872777,-28.73332959793845
multidia,clp,5,1,PPO seed=7,0.0,1.6978901391957122,74.26765775588377
multidia,clp,5,1,PPO seed=7,0.02,1.5710660541079615,66.52906777337625
multidia,clp,5,1,PPO seed=7,0.05,1.3805290147740874,55.55016568398645
multidia,clp,5,1,PPO seed=7,0.1,1.062214318501583,38.81159668336056
multidia,clp,5,1,PPO seed=7,0.15,0.7430398155028819,23.84606073064144
multidia,clp,5,1,PPO seed=7,0.2,0.42310073729624714,10.468741329411602
multidia,clp,5,1,PPO seed=7,0.3,-0.2186836984978171,-12.167663987174738
multidia,clp,5,1,Umbral cobre,0.0,0.6867180840904868,18.3574961462603
multidia,clp,5,1,Umbral cobre,0.02,0.5417411682043746,13.365260567775671
multidia,clp,5,1,Umbral cobre,0.05,0.32430452852373604,6.262075626846597
multidia,clp,5,1,Umbral cobre,0.1,-0.037851808388750345,-4.617833282131323
multidia,clp,5,1,Umbral cobre,0.15,-0.3994494432564533,-14.402310785510464
multidia,clp,5,1,Umbral cobre,0.2,-0.7601896532216468,-23.19977935687091
multidia,clp,5,1,Umbral cobre,0.3,-1.477923979038084,-38.215657778732805
multidia,clp_h3,3,1,PPO seed=7,0.0,-0.00433996561715343,-4.879008577421917
multidia,clp_h3,3,1,PPO seed=7,0.02,-0.22793883148570912,-11.947744290406826
