ds,estrategia,precio_entrada,precio_salida,posicion,notional,razon_cierre,pnl,capital
2025-06-25,Umbral cobre,935.4400024414062,936.9299926757812,-1.0,309.46205965515526,cierre_periodo,-0.6476492774889363,99.35235072251106
2025-06-26,Umbral cobre,936.9299926757812,930.75,-1.0,318.3275752648795,cierre_periodo,2.099689516841968,101.45204023935302
2025-06-27,Umbral cobre,930.75,919.1043090820312,-1.0,330.07171059465855,cierre_periodo,4.129909344454069,105.58194958380709
2025-06-30,Umbral cobre,919.1043090820312,931.1400146484376,1.0,332.02965377026453,cierre_periodo,4.181926002688416,109.7638755864955
2025-07-01,Umbral cobre,931.1400146484376,928.1300048828124,-1.0,334.9686015193765,cierre_periodo,0.9153375583479648,110.67921314484347
2025-07-02,Umbral cobre,928.1300048828124,925.760009765625,-1.0,348.3648969030842,cierre_periodo,0.8895554505470833,111.56876859539055
2025-07-03,Umbral cobre,925.760009765625,927.2899780273438,1.0,362.66835778301777,cierre_periodo,0.4180339846546291,111.98680258004518
2025-07-04,Umbral cobre,927.2899780273438,930.0,1.0,376.73408268912914,cierre_periodo,1.1010122681450254,113.0878148481902
2025-07-07,Umbral cobre,930.0,940.9400024414062,1.0,392.6242507440355,cierre_periodo,4.618613184618331,117.70642803280853
2025-07-08,Umbral cobre,940.9400024414062,943.22998046875,-1.0,396.90266539523554,cierre_periodo,-1.1643985561029235,116.54202947670561
2025-07-09,Umbral cobre,943.22998046875,948.9400024414062,1.0,406.02820483704045,cierre_periodo,2.2549548119977714,118.79698428870338
2025-07-10,Umbral cobre,948.9400024414062,949.5599975585938,-1.0,421.19577113992915,cierre_periodo,-0.4857884358839232,118.31119585281947
2025-07-11,Umbral cobre,949.5599975585938,937.8051147460938,-1.0,434.3346937140769,cierre_periodo,5.376757065523929,123.6879529183434
2025-07-14,Umbral cobre,937.8051147460938,940.1811,1.0,431.82385796410114,take_profit,0.8781395990749319,124.56609251741833
2025-07-15,Umbral cobre,967.97998046875,966.8400268554688,-1.0,315.7757199087605,cierre_periodo,0.2139893277558057,124.78008184517414
2025-07-16,Umbral cobre,966.8400268554688,967.4299926757812,1.0,327.8581956531679,cierre_periodo,0.036129985343347826,124.81621183051749
2025-07-17,Umbral cobre,967.4299926757812,964.4500122070312,1.0,339.98129647732327,cierre_periodo,-1.0472464477150685,123.76896538280242
2025-07-18,Umbral cobre,964.4500122070312,963.3900146484376,-1.0,348.2272005504475,cierre_periodo,0.2086122826087247,123.97757766541115
2025-07-21,Umbral cobre,963.3900146484376,953.6199951171876,-1.0,361.24822703634976,cierre_periodo,3.6635237859119063,127.64110145132305
2025-07-22,Umbral cobre,953.6199951171876,950.22998046875,-1.0,371.0959748850914,cierre_periodo,1.319205550720549,128.9603070020436
2025-07-23,Umbral cobre,950.22998046875,948.0599975585938,-1.0,386.48024966356667,cierre_periodo,0.8825816424663324,129.84288864450994
2025-07-24,Umbral cobre,948.0599975585938,949.75,1.0,402.1395008016927,cierre_periodo,0.5157801745942734,130.35866881910422
2025-07-25,Umbral cobre,949.75,940.8585753828336,1.0,417.7333252263475,stop_loss,-3.910760064573133,126.44790875453108
2025-07-28,Umbral cobre,936.902587890625,958.5599975585938,1.0,388.5216701482247,cierre_periodo,8.98105425690833,135.4289630114394
2025-07-29,Umbral cobre,958.5599975585938,960.239990234375,-1.0,362.65346132121886,cierre_periodo,-0.8169209140378734,134.61204209740154
2025-07-30,Umbral cobre,960.239990234375,968.0975,1.0,373.3064284292237,take_profit,2.8680611663406643,137.4801032637422
2025-07-31,Umbral cobre,981.4299926757812,972.2000122070312,1.0,345.50756179545255,cierre_periodo,-3.249368850530908,134.23073441321128
2025-08-01,Umbral cobre,972.2000122070312,956.5645,-1.0,341.21449424528384,take_profit,5.317011887829639,139.54774630104092
2025-08-04,Umbral cobre,946.9133911132812,959.6349805042533,-1.0,311.6111335095621,stop_loss,-4.186432389031228,135.36131391200968
2025-08-05,Umbral cobre,966.280029296875,966.3499755859376,1.0,289.346162534225,cierre_periodo,-0.1237281277234655,135.2375857842862
2025-08-06,Umbral cobre,966.3499755859376,974.3499755859376,-1.0,299.9325462654755,cierre_periodo,-2.632980119817954,132.60460566446827
2025-08-07,Umbral cobre,974.3499755859376,969.8300170898438,1.0,300.9365721688321,cierre_periodo,-1.5464972800215182,131.05810838444674
2025-08-08,Umbral cobre,969.8300170898438,967.780029296875,-1.0,306.85807927633135,cierre_periodo,0.49519526112117174,131.55330364556792
2025-08-11,Umbral cobre,967.780029296875,968.6900024414062,1.0,318.9745245379986,cierre_periodo,0.14043445788685618,131.6937381034548
2025-08-12,Umbral cobre,968.6900024414062,966.3482,-1.0,330.98484649757586,take_profit,0.6346615162395814,132.32839961969438
2025-08-13,Umbral cobre,956.3499755859376,952.6199951171876,1.0,329.96208451954317,cierre_periodo,-1.4519075462646198,130.87649207342977
2025-08-14,Umbral cobre,952.6199951171876,956.30176,1.0,336.7664046042364,take_profit,1.3015627727090902,132.17805484613888
2025-08-15,Umbral cobre,965.510009765625,963.5999755859376,-1.0,336.2324785260785,cierre_periodo,0.49704053778758,132.67509538392645
2025-08-18,Umbral cobre,963.5999755859376,963.6900024414062,1.0,349.3464193745224,cierre_periodo,-0.14203460403931942,132.53306077988714
2025-08-19,Umbral cobre,963.6900024414062,963.0399780273438,1.0,361.65635179059683,cierre_periodo,-0.24394302895028488,132.28911775093684
2025-08-20,Umbral cobre,963.0399780273438,965.77001953125,-1.0,373.98943227967305,cierre_periodo,-1.2471860845576215,131.0419316663792
2025-08-21,Umbral cobre,965.77001953125,970.4299926757812,-1.0,382.966783136675,cierre_periodo,-1.8478673893093271,129.19406427706988
2025-08-22,Umbral cobre,970.4299926757812,959.52001953125,-1.0,388.2073519454602,cierre_periodo,4.364386731861427,133.5584510089313
2025-08-25,Umbral cobre,959.52001953125,962.1300048828124,-1.0,396.0345122252077,cierre_periodo,-1.0772513908838595,132.48119961804744
2025-08-26,Umbral cobre,962.1300048828124,962.78326,1.0,406.058978421118,take_profit,0.07267140795239307,132.55387102599983
2025-08-27,Umbral cobre,966.0499877929688,968.1699829101562,1.0,418.429086862985,cierre_periodo,0.9182419463255118,133.47211297232533
2025-08-28,Umbral cobre,968.1699829101562,967.8200073242188,-1.0,435.7890983770685,cierre_periodo,-0.06036483050085786,133.4117481418245
2025-08-29,Umbral cobre,967.8200073242188,965.9600219726562,-1.0,451.25419316737384,cierre_periodo,0.8672337653392783,134.27898190716377
2025-09-01,Umbral cobre,965.9600219726562,965.9600219726562,0.0,0.0,plano,0.0,134.27898190716377
2025-09-02,Umbral cobre,966.9600219726562,973.1400146484376,-1.0,486.36461735072083,cierre_periodo,-3.351614616822694,130.92736729034107
2025-09-03,Umbral cobre,973.1400146484376,967.9099731445312,1.0,480.94877661214576,cierre_periodo,-2.8252844105753088,128.10208287976576
2025-09-04,Umbral cobre,967.9099731445312,971.0348,1.0,478.80834381651897,take_profit,1.5457978664271557,129.64788074619293
2025-09-05,Umbral cobre,971.739990234375,966.7100219726562,1.0,497.8161743409199,cierre_periodo,-2.5768205304601413,127.07106021573279
2025-09-08,Umbral cobre,966.7100219726562,970.0399780273438,-1.0,496.2615596947607,cierre_periodo,-1.9575670615175556,125.11349315421523
2025-09-09,Umbral cobre,970.0399780273438,966.6699829101562,-1.0,502.71125672541604,cierre_periodo,1.7464584129460377,126.85995156716127
2025-09-10,Umbral cobre,966.6699829101562,961.3900146484376,-1.0,523.0907075041513,cierre_periodo,2.8571305434634158,129.7170821106247
2025-09-11,Umbral cobre,961.3900146484376,952.3400268554688,-1.0,541.1090647414376,cierre_periodo,5.093698037175434,134.81078014780013
2025-09-12,Umbral cobre,952.3400268554688,945.2673186222684,1.0,544.5680682133979,stop_loss,-4.316607438540754,130.49417270925937
2025-09-15,Umbral cobre,939.7928466796876,947.3552281863161,-1.0,486.5034510810566,stop_loss,-4.158076906818276,126.3360958024411
2025-09-16,Umbral cobre,951.0700073242188,947.260009765625,1.0,451.69232468506635,cierre_periodo,-2.03533089115595,124.30076491128514
2025-09-17,Umbral cobre,947.260009765625,951.6400146484376,1.0,455.83912598290016,cierre_periodo,1.87982020961453,126.18058512089968
2025-09-18,Umbral cobre,951.6400146484376,955.0599975585938,1.0,473.8383994839207,cierre_periodo,1.7028699964969527,127.88345511739664
2025-09-19,Umbral cobre,955.0599975585938,954.9400024414062,-1.0,493.8214519022491,cierre_periodo,-0.18486628566236002,127.69858883173427
2025-09-22,Umbral cobre,954.9400024414062,955.7899780273438,-1.0,510.54639855495435,cierre_periodo,-0.45442852236850806,127.24416030936577
2025-09-23,Umbral cobre,955.7899780273438,948.0900268554688,-1.0,526.5400117499586,cierre_periodo,4.241865340418103,131.48602564978387
2025-09-24,Umbral cobre,948.0900268554688,952.010009765625,-1.0,536.4264497883029,cierre_periodo,-2.217914392265298,129.26811125751857
2025-09-25,Umbral cobre,952.010009765625,959.1300048828124,1.0,539.918887943407,cierre_periodo,3.7680441551508603,133.03615541266942
2025-09-26,Umbral cobre,959.1300048828124,959.510009765625,-1.0,553.3991664726682,cierre_periodo,-0.4959549337450885,132.54020047892433
2025-09-29,Umbral cobre,959.510009765625,964.9400024414062,-1.0,570.6778182770433,cierre_periodo,-3.229540434113962,129.31066004481036
2025-09-30,Umbral cobre,964.9400024414062,961.260009765625,1.0,562.8635709178604,cierre_periodo,-2.428025162457604,126.88263488235276
2025-10-01,Umbral cobre,961.260009765625,959.5499877929688,-1.0,564.0903494266315,cierre_periodo,0.7214365911806726,127.60407147353344
2025-10-02,Umbral cobre,959.5499877929688,961.469970703125,-1.0,585.0925119771887,cierre_periodo,-1.1707233996640618,126.43334807386938
2025-10-03,Umbral cobre,961.469970703125,961.31696,-1.0,598.065071258741,take_profit,0.09517755089208321,126.52852562476147
2025-10-06,Umbral cobre,947.3361206054688,960.91327,1.0,515.8171870945974,take_profit,7.134744190529183,133.66326981529065
2025-10-07,Umbral cobre,961.4299926757812,959.1099853515624,-1.0,493.6550074096294,cierre_periodo,0.9444014381344028,134.60767125342505
2025-10-08,Umbral cobre,959.1099853515624,951.5560882956805,1.0,512.7296307416095,stop_loss,-4.294594952973584,130.31307630045146
2025-10-09,Umbral cobre,950.469970703125,950.4600219726562,-1.0,488.43012233804563,cierre_periodo,-0.23910258019672542,130.07397372025474
2025-10-10,Umbral cobre,950.4600219726562,947.030029296875,1.0,504.7704632414709,cierre_periodo,-2.0739863004122046,127.99998741984254
