ds,y,nhits_h1,nhits_h2,nhits_h3,nhits_h4,nhits_h5,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,dias_desde_refit,copper_ret_1d,copper_mom_5d,y_next,ds_salida,ds_reloj,retorno_1d,nhits_h1_rel,nhits_h2_rel,macd_rel,rsi_norm,posicion_en_rango,stop_loss_largo,precio_salida_largo,razon_cierre_largo,dias_hasta_salida_largo,fecha_salida_largo,stop_loss_corto,precio_salida_corto,razon_cierre_corto,dias_hasta_salida_corto,fecha_salida_corto,pos_ppo,ventana,umbral_simple_train,signo_cobre_train,exp,par,N,h,seed,spread
2025-06-19,942.760009765625,927.4731,926.2268,930.8969,929.06866,931.60254,0.0100107803215849,1.2248149096221628,51.99635077782349,913.9111328125,1000.8300170898438,4,0.0092271403652984,0.0091646887840573,940.5800170898438,2025-06-20,2025-06-18,-0.002394358251768512,-0.016215059619918922,-0.01753702914248051,0.0012991799577144326,0.5199635077782349,0.3319057439931352,933.3222464118861,938.4008959427682,trailing_stop,4,2025-06-25,952.197773119364,936.9299926757812,cierre_periodo,5,2025-06-26,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-06-26,936.9299926757812,939.7993,931.65247,934.5805,938.1007,938.1161,0.0093632181227002,0.9653318049528326,53.69865072236071,913.9111328125,1000.8300170898438,4,0.0094070229135028,0.0140351536768969,930.75,2025-06-27,2025-06-25,0.0015915556783957833,0.0030624564766299164,-0.005632782296475709,0.001030313697393696,0.5369865072236071,0.264831515667319,928.1573127886579,928.1573127886579,stop_loss,2,2025-06-30,945.7026725629045,931.65247,take_profit,1,2025-06-27,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-07-03,925.760009765625,929.28766,922.6541,933.21454,932.81274,930.3591,0.0092289911320696,-0.938822057337212,48.24840552086324,913.9111328125,1000.8300170898438,4,0.0198104563833506,0.0480358347047375,927.2899780273438,2025-07-04,2025-07-02,-0.0025567821063194863,0.003810545062610834,-0.0033549837245738807,-0.001014109539658009,0.48248405520863236,0.13632108892835298,917.2161788450734,948.9400024414062,cierre_periodo,5,2025-07-10,934.3038406861766,934.3038406861766,stop_loss,3,2025-07-08,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-07-10,948.9400024414062,932.7169,915.8985,922.77893,924.3786,926.77454,0.0084614086200716,1.8574836845011669,55.10805339793512,913.9111328125,968.9500122070312,4,-0.0363479501751166,0.0571955456428253,949.5599975585938,2025-07-11,2025-07-09,0.006035440110820269,-0.01709602545963696,-0.034819379893774094,0.001957430058509795,0.5510805339793512,0.6364386414521872,940.9106333248178,941.5253824099763,trailing_stop,2,2025-07-14,956.9693715579947,945.7402670279536,trailing_stop,3,2025-07-15,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-07-17,967.4299926757812,954.22943,942.5471,950.7356,948.9182,948.40955,0.0110138010346851,4.120564243833078,69.0010313639614,913.9111328125,967.97998046875,4,-0.0089654190685415,0.0097363778614061,964.4500122070312,2025-07-18,2025-07-16,0.0006100139408149794,-0.01364497976672223,-0.025720613237303628,0.004259289328456885,0.6900103136396141,0.9898280097170672,956.7749112214633,956.7749112214633,stop_loss,3,2025-07-22,978.0850741300992,948.0599975585938,cierre_periodo,5,2025-07-24,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-07-24,948.0599975585938,968.6223,956.6304,974.0748,976.177,977.43396,0.0096864064623589,0.2300175033111049,62.17473435655254,913.9111328125,967.97998046875,4,0.0170557647717516,0.0543072974086223,949.75,2025-07-25,2025-07-23,-0.002286251184457641,0.021688819794482908,0.009039936779820283,0.00024261914214652742,0.6217473435655254,0.6315811456386082,938.8767030715383,940.5503354623747,trailing_stop,2,2025-07-28,957.2432920456494,945.9778071725696,trailing_stop,3,2025-07-29,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-07-31,981.4299926757812,958.22876,963.05927,966.70807,969.9684,963.7141,0.0119372296122248,1.3853436188276715,63.05136582956575,913.9111328125,981.4299926757812,4,-0.0059962980094913,-0.0388265576652868,972.2000122070312,2025-08-01,2025-07-30,0.02182744125418941,-0.023640231956357064,-0.018718322053410192,0.0014115562283262364,0.6305136582956575,1.0,969.7144375048864,969.7144375048864,stop_loss,2,2025-08-04,993.1455478466762,963.05927,take_profit,2,2025-08-04,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-08-07,974.3499755859376,980.4688,975.94946,987.5638,985.71594,984.52545,0.0132191914770074,0.9449351165864311,53.602396489484086,913.9111328125,981.4299926757812,4,0.0061679125353316,-0.2116697201650832,969.8300170898438,2025-08-08,2025-08-06,0.008244494786100927,0.006279904107743977,0.0016415912702215248,0.000969810786948686,0.5360239648948408,0.8951401563329129,961.4698566930496,961.4698566930496,stop_loss,4,2025-08-13,987.2300944788257,952.6199951171876,cierre_periodo,5,2025-08-14,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-08-14,952.6199951171876,961.6979,958.113,964.61523,957.93396,960.8422,0.0116588077329656,-1.504420857316533,51.00435214993134,913.9111328125,981.4299926757812,4,-0.0058951786648026,0.0207242278245734,965.510009765625,2025-08-15,2025-08-13,-0.003907851116358054,0.009529408294327963,0.005766207838348716,-0.001579245517654146,0.5100435214993134,0.5733044423894166,941.5135817515377,958.113,take_profit,1,2025-08-15,963.7264084828375,963.7264084828375,stop_loss,1,2025-08-15,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-08-21,965.77001953125,965.5494,960.2635,960.6089,962.7379,959.6863,0.0102652713579819,-0.8432516934379484,46.59944467290769,913.9111328125,981.4299926757812,4,0.0038483801407969,-0.0124943680125454,970.4299926757812,2025-08-22,2025-08-20,0.002830805865224568,-0.00022843899353708385,-0.005701688207222093,-0.0008731392323062921,0.46599444672907686,0.7680652016897044,955.8561282113582,960.4682654670399,trailing_stop,2,2025-08-25,975.6839108511417,960.2635,take_profit,2,2025-08-25,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-08-28,968.1699829101562,966.4863,962.32495,969.24164,964.4405,972.1715,0.0091883055452322,-0.4914957749849371,48.65081790258188,913.9111328125,981.4299926757812,4,-0.0081218210527722,-0.0025982560861105,967.8200073242188,2025-08-29,2025-08-27,0.0021920939688642336,-0.0017390364707397287,-0.006037196993638575,-0.0005076544239758223,0.4865081790258188,0.8036102832234555,959.2741412874554,967.9099731445312,cierre_periodo,5,2025-09-04,977.065824532857,967.9099731445312,cierre_periodo,5,2025-09-04,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-09-04,967.9099731445312,969.06464,977.1915,974.018,968.9941,968.3408,0.0080263064251563,-0.069172369870873,52.71366085070966,913.9111328125,981.4299926757812,4,-0.0024102020135148,0.032619678073096,971.739990234375,2025-09-05,2025-09-03,-0.005388891778737523,0.0011929486083478815,0.009589246017700474,-7.146570630546025e-05,0.5271366085070965,0.7997593626636076,960.1412311081084,963.9405073071755,trailing_stop,5,2025-09-11,975.678715180954,961.3900146484376,cierre_periodo,5,2025-09-11,1.0,1,0.012040467483262773,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-09-11,961.3900146484376,967.32587,971.5873,968.6354,968.2182,971.5953,0.0071917340087035,-0.8425886821431847,41.78480106939426,919.1043090820312,981.4299926757812,4,0.0108276966747339,-0.0018645656890414,952.3400268554688,2025-09-12,2025-09-10,-0.005476988752608318,0.006174242774648567,0.01060681429616405,-0.0008764275364887201,0.4178480106939426,0.6784635663530333,954.4759533844624,954.4759533844624,stop_loss,1,2025-09-12,968.3040759124128,946.5515868562902,trailing_stop,3,2025-09-16,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-09-18,951.6400146484376,957.193,955.79285,956.42615,956.2584,960.73,0.007988836611279,-2.567529941547688,39.37961874588864,919.1043090820312,981.4299926757812,4,-0.0134725631556488,0.0046153643004296,955.0599975585938,2025-09-19,2025-09-17,0.004613210378986846,0.005835174294991996,0.004363872144548906,-0.002698005445363923,0.39379618745888645,0.5220272557053676,944.037518058656,948.1543280581853,trailing_stop,4,2025-09-24,959.2425112382192,952.010009765625,cierre_periodo,5,2025-09-25,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-09-25,952.010009765625,964.5515,964.7896,966.3045,964.27026,962.816,0.0071826406231079,-0.9270552176146504,36.68406665381436,927.2899780273438,981.4299926757812,4,0.0359897946923935,0.0397068374754148,959.1300048828124,2025-09-26,2025-09-24,0.004126086412236591,0.01317369576551261,0.013423798177837598,-0.0009737872586475029,0.3668406665381436,0.45659447820254107,945.172063995877,964.7896,take_profit,3,2025-09-30,958.847955535373,958.847955535373,stop_loss,1,2025-09-26,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-10-02,959.5499877929688,957.76263,956.3563,954.20154,953.91705,952.5438,0.0065427638635636,0.9759368424864084,55.43375063478397,936.902587890625,981.4299926757812,4,0.0052930013391957,0.0164124287691581,961.469970703125,2025-10-03,2025-10-01,-0.0017805222032345658,-0.0018627042006220558,-0.0033283183092049427,0.0010170776456692272,0.5543375063478397,0.5086171092076207,953.271878807554,955.1792997229071,trailing_stop,2,2025-10-06,965.8280967783835,956.3563,take_profit,2,2025-10-06,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-10-09,950.469970703125,953.12274,949.4879,949.4671,950.5825,952.711,0.0080039950654555,-0.0474409889236004,46.81326206399155,936.902587890625,981.4299926757812,4,-0.0003962463037207,0.0446123325356926,950.4600219726562,2025-10-10,2025-10-08,-0.009049187576854082,0.002791008005137284,-0.0010332474811366528,-4.9913190722380415e-05,0.4681326206399155,0.3046973628479433,942.8624137477536,959.1199951171876,cierre_periodo,5,2025-10-16,958.0775276584965,949.4879,take_profit,2,2025-10-13,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-10-16,959.1199951171876,948.2666,945.0904,950.5605,950.1378,952.0503,0.0073361018850017,0.4496283329090742,49.99298029345814,936.902587890625,981.4299926757812,4,-0.0017081338268076,-0.0146650578058743,954.969970703125,2025-10-17,2025-10-15,-0.0018020916611495943,-0.01131599296484428,-0.014627570260875855,0.00046879257569240596,0.4999298029345814,0.49896029947761644,952.0837931130657,953.6025979591315,trailing_stop,3,2025-10-21,966.1561971213097,949.75,cierre_periodo,5,2025-10-23,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-10-23,949.75,954.3151,952.0335,953.05725,953.53217,953.66565,0.0069850306899156,-0.4080533012879903,42.64816238517778,939.7928466796876,974.3499755859376,4,0.0062683731636311,-0.0022124207828875,946.9400024414062,2025-10-24,2025-10-22,-0.0012627056966049096,0.0048066333245591255,0.002404316925506716,-0.0004296428547386052,0.4264816238517778,0.2881360123210796,943.1159671022526,943.1159671022526,stop_loss,2,2025-10-27,956.3840328977473,937.456598686862,trailing_stop,3,2025-10-28,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-10-30,940.510009765625,948.5615,942.7875,948.64124,947.2067,951.4478,0.0076591835556507,-1.5116647577658535,43.09432613117736,930.953857421875,973.1400146484376,4,0.0179299066835026,0.0549284499159023,942.02001953125,2025-10-31,2025-10-29,-0.0016891084300092924,0.008560770380722959,0.002421548107651266,-0.0016072819449763859,0.43094326131177363,0.2265234136503181,933.3064709649033,934.8049152885626,trailing_stop,2,2025-11-03,947.7135485663468,935.9038124563398,trailing_stop,3,2025-11-04,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-11-06,943.4199829101562,948.13135,946.7576,950.90845,951.8372,949.5007,0.0080939129623803,-0.1039849013214269,43.143157578924274,928.7900390625,973.1400146484376,4,0.0074830367750562,-0.0516862869797078,942.0,2025-11-07,2025-11-05,-0.003143209303989009,0.004993923358831822,0.0035377850271395223,-0.00011022121982265621,0.43143157578924274,0.3298749019445927,935.7840236815111,935.7840236815111,stop_loss,2,2025-11-10,951.0559421388014,929.52001953125,cierre_periodo,5,2025-11-13,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
2025-11-13,929.52001953125,944.5523,943.2774,940.41425,942.9271,942.4633,0.0079848638788438,-0.5887935000709756,40.61634283001391,928.7900390625,973.1400146484376,4,0.0080884026144595,0.0254886428107165,929.3800048828124,2025-11-14,2025-11-12,-0.006551759512937208,0.016172088984517635,0.014800520892156457,-0.0006334382129476886,0.40616342830013913,0.016459546123886944,922.0979287026328,922.0979287026328,stop_loss,2,2025-11-17,936.9421103598672,925.5894224358743,trailing_stop,4,2025-11-19,1.0,2,0.011754227329548103,-1.0,multidia,clp_h5,5,2,42,0.0015
