Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-23 00:00:00+01:00,927.9000244140625,930.0,921.7000122070312,927.9000244140625,927.9000244140625,0,0.0,0.0
2024-09-24 00:00:00+01:00,922.3099975585938,922.3300170898438,910.2000122070312,922.3099975585938,922.3099975585938,0,0.0,0.0
2024-09-25 00:00:00+01:00,913.22998046875,914.780029296875,912.4600219726562,913.22998046875,913.22998046875,0,0.0,0.0
2024-09-26 00:00:00+01:00,911.3699951171875,911.3699951171875,902.3099975585938,911.3699951171875,911.3699951171875,0,0.0,0.0
2024-09-27 00:00:00+01:00,905.4000244140625,905.4000244140625,897.1300048828125,905.4000244140625,905.4000244140625,0,0.0,0.0
2024-09-30 00:00:00+01:00,899.75,901.2999877929688,894.2000122070312,899.75,899.75,0,0.0,0.0
2024-10-01 00:00:00+01:00,897.4099731445312,903.8300170898438,891.841552734375,897.4099731445312,897.4099731445312,0,0.0,0.0
2024-10-02 00:00:00+01:00,903.72998046875,907.3499755859375,901.4299926757812,903.72998046875,903.72998046875,0,0.0,0.0
2024-10-03 00:00:00+01:00,911.1699829101562,920.4000244140625,911.1699829101562,911.1699829101562,911.1699829101562,0,0.0,0.0
2024-10-04 00:00:00+01:00,920.3900146484375,924.5999755859375,900.1033325195312,920.3900146484375,920.3900146484375,0,0.0,0.0
2024-10-07 00:00:00+01:00,923.8499755859375,928.469970703125,921.2000122070312,923.8499755859375,923.8499755859375,0,0.0,0.0
2024-10-08 00:00:00+01:00,925.8699951171875,935.3499755859375,925.8699951171875,925.8699951171875,925.8699951171875,0,0.0,0.0
2024-10-09 00:00:00+01:00,933.1900024414062,935.97998046875,932.9500122070312,933.1900024414062,933.1900024414062,0,0.0,0.0
2024-10-10 00:00:00+01:00,932.7999877929688,933.0800170898438,928.25,932.7999877929688,932.7999877929688,0,0.0,0.0
2024-10-11 00:00:00+01:00,929.5900268554688,929.5900268554688,925.3499755859375,929.5900268554688,929.5900268554688,0,0.0,0.0
2024-10-14 00:00:00+01:00,929.760009765625,929.760009765625,912.3783569335938,929.760009765625,929.760009765625,0,0.0,0.0
2024-10-15 00:00:00+01:00,926.3099975585938,938.1599731445312,926.0999755859375,926.3099975585938,926.3099975585938,0,0.0,0.0
2024-10-16 00:00:00+01:00,939.489990234375,940.780029296875,937.239990234375,939.489990234375,939.489990234375,0,0.0,0.0
2024-10-17 00:00:00+01:00,937.1300048828125,947.9299926757812,937.1300048828125,937.1300048828125,937.1300048828125,0,0.0,0.0
2024-10-18 00:00:00+01:00,945.9099731445312,952.1500244140625,943.6500244140625,945.9099731445312,945.9099731445312,0,0.0,0.0
2024-10-21 00:00:00+01:00,930.7589721679688,955.5499877929688,931.7484130859375,930.7589721679688,930.7589721679688,0,0.0,0.0
2024-10-22 00:00:00+01:00,951.75,951.75,939.5009765625,951.75,951.75,0,0.0,0.0
2024-10-23 00:00:00+01:00,948.5499877929688,954.0,941.823486328125,948.5499877929688,948.5499877929688,0,0.0,0.0
2024-10-24 00:00:00+01:00,944.8300170898438,946.3099975585938,940.489990234375,944.8300170898438,944.8300170898438,0,0.0,0.0
2024-10-25 00:00:00+01:00,946.4600219726562,949.25,946.3699951171875,946.4600219726562,946.4600219726562,0,0.0,0.0
2024-10-28 00:00:00+00:00,935.7185668945312,948.3099975585938,944.5499877929688,935.7185668945312,935.7185668945312,0,0.0,0.0
2024-10-29 00:00:00+00:00,946.4400024414062,950.5,944.739990234375,946.4400024414062,946.4400024414062,0,0.0,0.0
2024-10-30 00:00:00+00:00,955.75,960.219970703125,929.6116943359375,955.75,955.75,0,0.0,0.0
2024-10-31 00:00:00+00:00,961.3400268554688,961.3499755859375,960.989990234375,961.3400268554688,961.3400268554688,0,0.0,0.0
2024-11-01 00:00:00+00:00,960.9400024414062,960.9400024414062,960.47998046875,960.9400024414062,960.9400024414062,0,0.0,0.0
2024-11-04 00:00:00+00:00,947.4153442382812,959.780029296875,945.78564453125,947.4153442382812,947.4153442382812,0,0.0,0.0
2024-11-05 00:00:00+00:00,953.8599853515625,956.9299926757812,951.3800048828125,953.8599853515625,953.8599853515625,0,0.0,0.0
2024-11-06 00:00:00+00:00,956.0800170898438,974.2000122070312,956.0800170898438,956.0800170898438,956.0800170898438,0,0.0,0.0
2024-11-07 00:00:00+00:00,962.9400024414062,962.9400024414062,954.9500122070312,962.9400024414062,962.9400024414062,0,0.0,0.0
2024-11-08 00:00:00+00:00,957.1799926757812,971.0999755859375,957.1799926757812,957.1799926757812,957.1799926757812,0,0.0,0.0
2024-11-11 00:00:00+00:00,945.7733154296875,970.8099975585938,964.1500244140625,945.7733154296875,945.7733154296875,0,0.0,0.0
2024-11-12 00:00:00+00:00,968.6599731445312,985.75,966.2653198242188,968.6599731445312,968.6599731445312,0,0.0,0.0
2024-11-13 00:00:00+00:00,985.4099731445312,985.4099731445312,981.1599731445312,985.4099731445312,985.4099731445312,0,0.0,0.0
2024-11-14 00:00:00+00:00,979.4099731445312,983.7000122070312,974.0499877929688,979.4099731445312,979.4099731445312,0,0.0,0.0
2024-11-15 00:00:00+00:00,975.0800170898438,980.4000244140625,970.0800170898438,975.0800170898438,975.0800170898438,0,0.0,0.0
2024-11-18 00:00:00+00:00,961.9932861328125,980.72998046875,972.8699951171875,961.9932861328125,961.9932861328125,0,0.0,0.0
2024-11-19 00:00:00+00:00,972.3499755859375,977.1500244140625,970.3300170898438,972.3499755859375,972.3499755859375,0,0.0,0.0
2024-11-20 00:00:00+00:00,970.7899780273438,972.1400146484375,969.7999877929688,970.7899780273438,970.7899780273438,0,0.0,0.0
2024-11-21 00:00:00+00:00,972.75,973.6799926757812,969.4000244140625,972.75,972.75,0,0.0,0.0
2024-11-22 00:00:00+00:00,973.0900268554688,979.47998046875,973.0,973.0900268554688,973.0900268554688,0,0.0,0.0
2024-11-25 00:00:00+00:00,964.489013671875,977.25,959.14990234375,964.489013671875,964.489013671875,0,0.0,0.0
2024-11-26 00:00:00+00:00,975.7000122070312,977.0999755859375,973.3300170898438,975.7000122070312,975.7000122070312,0,0.0,0.0
2024-11-27 00:00:00+00:00,976.969970703125,977.260009765625,974.6900024414062,976.969970703125,976.969970703125,0,0.0,0.0
2024-11-28 00:00:00+00:00,976.8499755859375,978.0999755859375,974.9000244140625,976.8499755859375,976.8499755859375,0,0.0,0.0
2024-11-29 00:00:00+00:00,977.4400024414062,978.2999877929688,972.9500122070312,977.4400024414062,977.4400024414062,0,0.0,0.0
2024-12-02 00:00:00+00:00,973.6799926757812,980.8499755859375,972.9500122070312,960.9544067382812,960.9544067382812,0,0.0,0.0
2024-12-03 00:00:00+00:00,978.260009765625,978.260009765625,974.5999755859375,978.260009765625,978.260009765625,0,0.0,0.0
2024-12-04 00:00:00+00:00,972.0,975.3699951171875,971.8499755859375,972.0,972.0,0,0.0,0.0
2024-12-05 00:00:00+00:00,974.72998046875,974.72998046875,971.2000122070312,974.72998046875,974.72998046875,0,0.0,0.0
2024-12-06 00:00:00+00:00,969.6799926757812,972.739990234375,966.5,969.6799926757812,969.6799926757812,0,0.0,0.0
2024-12-09 00:00:00+00:00,957.8364868164062,972.5999755859375,967.9500122070312,957.8364868164062,957.8364868164062,0,0.0,0.0
2024-12-10 00:00:00+00:00,969.1799926757812,975.510009765625,969.0999755859375,969.1799926757812,969.1799926757812,0,0.0,0.0
2024-12-11 00:00:00+00:00,974.469970703125,976.6699829101562,973.1300048828125,974.469970703125,974.469970703125,0,0.0,0.0
2024-12-12 00:00:00+00:00,974.7000122070312,976.760009765625,972.8800048828125,974.7000122070312,974.7000122070312,0,0.0,0.0
2024-12-13 00:00:00+00:00,976.3900146484375,981.4500122070312,962.82421875,976.3900146484375,976.3900146484375,0,0.0,0.0
2024-12-16 00:00:00+00:00,965.2628784179688,984.6799926757812,964.2030639648438,965.2628784179688,965.2628784179688,0,0.0,0.0
2024-12-17 00:00:00+00:00,983.5700073242188,985.6799926757812,981.8200073242188,983.5700073242188,983.5700073242188,0,0.0,0.0
2024-12-18 00:00:00+00:00,982.1099853515625,993.5900268554688,982.1099853515625,982.1099853515625,982.1099853515625,0,0.0,0.0
2024-12-19 00:00:00+00:00,993.9199829101562,999.1099853515625,990.8300170898438,993.9199829101562,993.9199829101562,0,0.0,0.0
2024-12-20 00:00:00+00:00,991.1500244140625,993.25,988.6599731445312,991.1500244140625,991.1500244140625,0,0.0,0.0
2024-12-23 00:00:00+00:00,974.4860229492188,993.8499755859375,988.6500244140625,974.4860229492188,974.4860229492188,0,0.0,0.0
2024-12-24 00:00:00+00:00,989.97998046875,990.9500122070312,987.2000122070312,989.97998046875,989.97998046875,0,0.0,0.0
2024-12-25 00:00:00+00:00,990.1799926757812,988.97998046875,974.83544921875,990.1799926757812,990.1799926757812,0,0.0,0.0
2024-12-26 00:00:00+00:00,988.7899780273438,992.030029296875,987.6900024414062,988.7899780273438,988.7899780273438,0,0.0,0.0
2024-12-27 00:00:00+00:00,988.6400146484375,994.719970703125,988.6400146484375,988.6400146484375,988.6400146484375,0,0.0,0.0
2024-12-30 00:00:00+00:00,979.0533447265625,998.6500244140625,991.0800170898438,979.0533447265625,979.0533447265625,0,0.0,0.0
2024-12-31 00:00:00+00:00,993.3499755859375,993.9199829101562,981.5505981445312,993.3499755859375,993.3499755859375,0,0.0,0.0
2025-01-02 00:00:00+00:00,995.260009765625,1006.52001953125,994.8699951171875,993.3499755859375,993.3499755859375,0,0.0,0.0
2025-01-03 00:00:00+00:00,1004.1300048828125,1011.219970703125,1002.780029296875,1004.1300048828125,1004.1300048828125,0,0.0,0.0
2025-01-06 00:00:00+00:00,1010.3800048828125,1010.2999877929688,1003.6199951171875,1010.3800048828125,1010.3800048828125,0,0.0,0.0
