ds,sp500,vix
1997-01-31,786.1599731445312,19.47
1997-02-28,790.8200073242188,21.1
1997-03-31,757.1199951171875,22.14
1997-04-30,801.3400268554688,20.06
1997-05-30,848.280029296875,19.19
1997-06-30,885.1400146484375,21.53
1997-07-31,954.3099975585938,21.48
1997-08-29,899.469970703125,24.76
1997-09-30,947.280029296875,22.91
1997-10-31,914.6199951171876,35.09
1997-11-28,955.4000244140624,27.43
1997-12-31,970.4299926757812,24.01
1998-01-30,980.280029296875,21.47
1998-02-27,1049.3399658203125,18.55
1998-03-31,1101.75,24.22
1998-04-30,1111.75,21.18
1998-05-29,1090.8199462890625,21.32
1998-06-30,1133.8399658203125,19.71
1998-07-31,1120.6700439453125,24.8
1998-08-31,957.280029296875,44.28
1998-09-30,1017.010009765625,40.95
1998-10-30,1098.6700439453125,28.05
1998-11-30,1163.6300048828125,26.01
1998-12-31,1229.22998046875,24.42
1999-01-29,1279.6400146484375,26.25
1999-02-26,1238.3299560546875,27.88
1999-03-31,1286.3699951171875,23.26
1999-04-30,1335.1800537109375,25.07
1999-05-28,1301.8399658203125,25.39
1999-06-30,1372.7099609375,21.09
1999-07-30,1328.719970703125,24.64
1999-08-31,1320.4100341796875,24.45
1999-09-30,1282.7099609375,25.41
1999-10-29,1362.9300537109375,22.2
1999-11-30,1388.9100341796875,24.18
1999-12-31,1469.25,24.64
2000-01-31,1394.4599609375,24.95
2000-02-29,1366.4200439453125,23.37
2000-03-31,1498.5799560546875,24.11
2000-04-28,1452.4300537109375,26.2
2000-05-31,1420.5999755859375,23.65
2000-06-30,1454.5999755859375,19.54
2000-07-31,1430.8299560546875,20.74
2000-08-31,1517.6800537109375,16.84
2000-09-29,1436.510009765625,20.57
2000-10-31,1429.4000244140625,23.63
2000-11-30,1314.949951171875,29.65
2000-12-29,1320.280029296875,26.85
2001-01-31,1366.010009765625,22.02
2001-02-28,1239.93994140625,28.35
2001-03-30,1160.3299560546875,28.64
2001-04-30,1249.4599609375,25.48
2001-05-31,1255.8199462890625,22.64
2001-06-29,1224.3800048828125,19.06
2001-07-31,1211.22998046875,21.62
2001-08-31,1133.5799560546875,24.92
2001-09-28,1040.93994140625,31.93
2001-10-31,1059.780029296875,33.56
2001-11-30,1139.449951171875,23.84
2001-12-31,1148.0799560546875,23.8
2002-01-31,1130.199951171875,21.09
2002-02-28,1106.72998046875,21.59
2002-03-29,1147.3900146484375,17.4
2002-04-30,1076.9200439453125,21.91
2002-05-31,1067.1400146484375,19.98
2002-06-28,989.8200073242188,25.4
2002-07-31,911.6199951171876,32.03
2002-08-30,916.0700073242188,32.64
2002-09-30,815.280029296875,39.69
2002-10-31,885.760009765625,31.14
2002-11-29,936.3099975585938,27.5
2002-12-31,879.8200073242188,28.62
2003-01-31,855.7000122070312,31.17
2003-02-28,841.1500244140625,29.63
2003-03-31,848.1799926757812,29.15
2003-04-30,916.9199829101562,21.21
2003-05-30,963.5900268554688,19.47
2003-06-30,974.5,19.52
2003-07-31,990.3099975585938,19.49
2003-08-29,1008.010009765625,18.63
2003-09-30,995.969970703125,22.72
2003-10-31,1050.7099609375,16.1
2003-11-28,1058.199951171875,16.32
2003-12-31,1111.9200439453125,18.31
2004-01-30,1131.1300048828125,16.63
2004-02-27,1144.93994140625,14.55
2004-03-31,1126.2099609375,16.74
2004-04-30,1107.300048828125,17.19
2004-05-28,1120.6800537109375,15.5
2004-06-30,1140.8399658203125,14.34
2004-07-30,1101.719970703125,15.32
2004-08-31,1104.239990234375,15.29
2004-09-30,1114.5799560546875,13.34
2004-10-29,1130.199951171875,16.27
2004-11-30,1173.8199462890625,13.24
2004-12-31,1211.9200439453125,13.29
2005-01-31,1181.27001953125,12.82
2005-02-28,1203.5999755859375,12.08
2005-03-31,1180.5899658203125,14.02
2005-04-29,1156.8499755859375,15.31
2005-05-31,1191.5,13.29
2005-06-30,1191.3299560546875,12.04
2005-07-29,1234.1800537109375,11.57
2005-08-31,1220.3299560546875,12.6
