ds,copper,tasa_chile,tasa_us
2009-04-29,2.009999990463257,1.89,0.18
2009-04-30,2.052999973297119,1.89,0.2
2009-05-01,2.1015000343322754,1.2,0.22
2009-05-02,2.1015000343322754,1.2,0.22
2009-05-03,2.1015000343322754,1.2,0.22
2009-05-04,2.1449999809265137,1.2,0.22
2009-05-05,2.0845000743865967,1.2,0.2
2009-05-06,2.188499927520752,1.2,0.18
2009-05-07,2.1654999256134033,1.2,0.18
2009-05-08,2.1470000743865967,1.2,0.17
2009-05-09,2.1470000743865967,1.2,0.17
2009-05-10,2.1470000743865967,1.2,0.17
2009-05-11,2.0934998989105225,1.2,0.17
2009-05-12,2.0899999141693115,1.2,0.16
2009-05-13,2.0369999408721924,1.2,0.16
2009-05-14,2.0350000858306885,1.2,0.16
2009-05-15,2.0280001163482666,1.2,0.17
2009-05-16,2.0280001163482666,1.2,0.17
2009-05-17,2.0280001163482666,1.2,0.17
2009-05-18,2.075500011444092,1.2,0.16
2009-05-19,2.069499969482422,1.2,0.15
2009-05-20,2.1085000038146973,1.2,0.14
2009-05-21,2.053999900817871,1.2,0.17
2009-05-22,2.1024999618530273,1.2,0.17
2009-05-23,2.1024999618530273,1.2,0.17
2009-05-24,2.1024999618530273,1.2,0.17
2009-05-25,2.1024999618530273,1.2,0.17
2009-05-26,2.1475000381469727,1.2,0.18
2009-05-27,2.116499900817871,1.2,0.17
2009-05-28,2.135499954223633,1.2,0.17
2009-05-29,2.197499990463257,1.2,0.19
2009-05-30,2.197499990463257,1.2,0.19
2009-05-31,2.197499990463257,1.2,0.19
2009-06-01,2.319000005722046,1.08,0.21
2009-06-02,2.2964999675750732,1.08,0.2
2009-06-03,2.2114999294281006,1.08,0.21
2009-06-04,2.301500082015991,1.08,0.2
2009-06-05,2.2809998989105225,1.08,0.21
2009-06-06,2.2809998989105225,1.08,0.21
2009-06-07,2.2809998989105225,1.08,0.21
2009-06-08,2.246999979019165,1.08,0.21
2009-06-09,2.3585000038146973,1.08,0.18
2009-06-10,2.359999895095825,1.08,0.18
2009-06-11,2.437999963760376,1.08,0.17
2009-06-12,2.367500066757202,1.08,0.17
2009-06-13,2.367500066757202,1.08,0.17
2009-06-14,2.367500066757202,1.08,0.17
2009-06-15,2.2815001010894775,1.08,0.22
2009-06-16,2.252500057220459,1.08,0.22
2009-06-17,2.256500005722046,1.08,0.24
2009-06-18,2.2669999599456787,1.08,0.25
2009-06-19,2.245500087738037,1.08,0.25
2009-06-20,2.245500087738037,1.08,0.25
2009-06-21,2.245500087738037,1.08,0.25
2009-06-22,2.127000093460083,1.08,0.24
2009-06-23,2.194000005722046,1.08,0.24
2009-06-24,2.2660000324249268,1.08,0.21
2009-06-25,2.299999952316284,1.08,0.19
2009-06-26,2.2934999465942383,1.08,0.18
2009-06-27,2.2934999465942383,1.08,0.18
2009-06-28,2.2934999465942383,1.08,0.18
2009-06-29,2.3125,1.08,0.17
2009-06-30,2.257999897003174,1.08,0.22
2009-07-01,2.315000057220459,0.6,0.2
2009-07-02,2.2899999618530273,0.6,0.17
2009-07-03,2.2899999618530273,0.6,0.16
2009-07-04,2.2899999618530273,0.6,0.16
2009-07-05,2.2899999618530273,0.6,0.16
2009-07-06,2.250499963760376,0.6,0.18
2009-07-07,2.2139999866485596,0.6,0.18
2009-07-08,2.1480000019073486,0.6,0.16
2009-07-09,2.2265000343322754,0.6,0.15
2009-07-10,2.200500011444092,0.6,0.15
2009-07-11,2.200500011444092,0.6,0.15
2009-07-12,2.200500011444092,0.6,0.15
2009-07-13,2.2130000591278076,0.6,0.13
2009-07-14,2.2899999618530273,0.6,0.13
2009-07-15,2.382499933242798,0.6,0.14
2009-07-16,2.380000114440918,0.6,0.15
2009-07-17,2.4140000343322754,0.6,0.15
2009-07-18,2.4140000343322754,0.6,0.15
2009-07-19,2.4140000343322754,0.6,0.15
2009-07-20,2.4600000381469727,0.6,0.15
2009-07-21,2.44350004196167,0.6,0.14
2009-07-22,2.5179998874664307,0.6,0.14
2009-07-23,2.5190000534057617,0.6,0.15
2009-07-24,2.5169999599456787,0.6,0.15
2009-07-25,2.5169999599456787,0.6,0.15
2009-07-26,2.5169999599456787,0.6,0.15
2009-07-27,2.5399999618530273,0.6,0.16
2009-07-28,2.515000104904175,0.6,0.15
2009-07-29,2.4719998836517334,0.6,0.17
2009-07-30,2.556999921798706,0.6,0.17
2009-07-31,2.616499900817871,0.6,0.18
