ds,y
2010-01-01,5.770500183105469
2010-01-04,5.704999923706055
2010-01-05,5.713799953460693
2010-01-06,5.6666998863220215
2010-01-07,5.707399845123291
2010-01-08,5.654399871826172
2010-01-11,5.6066999435424805
2010-01-12,5.665900230407715
2010-01-13,5.631100177764893
2010-01-14,5.6305999755859375
2010-01-15,5.673999786376953
2010-01-18,5.63700008392334
2010-01-19,5.686999797821045
2010-01-20,5.770599842071533
2010-01-21,5.815400123596191
2010-01-22,5.8024001121521
2010-01-25,5.811299800872803
2010-01-26,5.847400188446045
2010-01-27,5.845799922943115
2010-01-28,5.887400150299072
2010-01-29,5.922599792480469
2010-02-01,5.850299835205078
2010-02-02,5.827000141143799
2010-02-03,5.862299919128418
2010-02-04,5.95389986038208
2010-02-05,5.985000133514404
2010-02-08,5.975900173187256
2010-02-09,5.896900177001953
2010-02-10,5.900199890136719
2010-02-11,5.889750003814697
2010-02-12,5.8979997634887695
2010-02-15,5.911900043487549
2010-02-16,5.847710132598877
2010-02-17,5.880899906158447
2010-02-18,5.996699810028076
2010-02-19,5.935999870300293
2010-02-22,5.900300025939941
2010-02-23,5.944900035858154
2010-02-24,5.927199840545654
2010-02-25,5.93179988861084
2010-02-26,5.906300067901611
2010-03-01,5.934500217437744
2010-03-02,5.921199798583984
2010-03-03,5.868500232696533
2010-03-04,5.922999858856201
2010-03-05,5.896999835968018
2010-03-08,5.895999908447266
2010-03-09,5.8942999839782715
2010-03-10,5.875699996948242
2010-03-11,5.861000061035156
2010-03-12,5.820000171661377
2010-03-15,5.868000030517578
2010-03-16,5.826000213623047
2010-03-17,5.817399978637695
2010-03-18,5.863100051879883
2010-03-19,5.9070000648498535
2010-03-22,5.919899940490723
2010-03-23,5.950399875640869
2010-03-24,6.030799865722656
2010-03-25,6.079400062561035
2010-03-26,6.039100170135498
2010-03-29,5.948999881744385
2010-03-30,5.984499931335449
2010-03-31,5.939499855041504
2010-04-01,5.915900230407715
2010-04-02,5.929999828338623
2010-04-05,5.935699939727783
2010-04-06,5.9506001472473145
2010-04-07,5.961100101470947
2010-04-08,5.944799900054932
2010-04-09,5.901000022888184
2010-04-12,5.882299900054932
2010-04-13,5.873700141906738
2010-04-14,5.8460001945495605
2010-04-15,5.849999904632568
2010-04-16,5.888800144195557
2010-04-19,5.905799865722656
2010-04-20,5.898499965667725
2010-04-21,5.906700134277344
2010-04-22,5.932199954986572
2010-04-23,5.885000228881836
2010-04-26,5.848700046539307
2010-04-27,5.942500114440918
2010-04-28,5.951600074768066
